award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1932,Venice Film Festival 1932,Volpi Cup for Best Actor,Fredric March,Dr. Jekyll and Mr. Hyde,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1932,Venice Film Festival 1932,Volpi Cup for Best Actress,Helen Hayes,The Sin of Madelon Claudet,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1934,Venice Film Festival 1934,Volpi Cup for Best Actor,Wallace Beery,Viva Villa!,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1934,Venice Film Festival 1934,Volpi Cup for Best Actress,Katharine Hepburn,Little Women,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1935,Venice Film Festival 1935,Volpi Cup for Best Actor,Pierre Blanchar,Crime and Punishment,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1935,Venice Film Festival 1935,Volpi Cup for Best Actress,Paula Wessely,Episode,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1936,Venice Film Festival 1936,Volpi Cup for Best Actor,Paul Muni,The Story of Louis Pasteur,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1936,Venice Film Festival 1936,Volpi Cup for Best Actress,Annabella,Veille d'armes,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1937,Venice Film Festival 1937,Volpi Cup for Best Actor,Emil Jannings,The Ruler,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1937,Venice Film Festival 1937,Volpi Cup for Best Actress,Bette Davis,Marked Woman,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1937,Venice Film Festival 1937,Volpi Cup for Best Actress,Kid Galahad,Kid Galahad,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1938,Venice Film Festival 1938,Volpi Cup for Best Actor,Leslie Howard,Pygmalion,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1938,Venice Film Festival 1938,Volpi Cup for Best Actress,Norma Shearer,Marie Antoinette,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1941,Venice Film Festival 1941,Volpi Cup for Best Actor,Ermete Zacconi,Don Buonaparte,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
,1941,Venice Film Festival 1941,Volpi Cup for Best Actress,Luise Ullrich,Annelie,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
,1942,Venice Film Festival 1942,Volpi Cup for Best Actor,Fosco Giachetti,Bengasi,,Winner,English,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
