award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,← 77th,,,Winner,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,WGA Awards,,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,79th →,,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Original Screenplay,Sinners,Ryan Coogler,,Winner,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Original Screenplay,Black Bag,David Koepp,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Original Screenplay,If I Had Legs I'd Kick You,Mary Bronstein,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Original Screenplay,Marty Supreme,Ronald Bronstein & Josh Safdie,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Original Screenplay,Weapons,Zach Cregger,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Adapted Screenplay,One Battle After Another,Paul Thomas Anderson; screen story by Paul Thomas Anderson; inspired by the novel Vineland by Thomas Pynchon,,Winner,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Bugonia,Will Tracy; based on the film Save the Green Planet by Jang Joon-hwan,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Frankenstein,Guillermo del Toro; based on the novel by Mary Shelley,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Hamnet,Chloé Zhao & Maggie O'Farrell; based on the novel by O'Farrell,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
,2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Train Dreams,Clint Bentley & Greg Kwedar; based on the novella by Denis Johnson,,Nominee,English,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
