year,ceremony,category,nominee,film,country,winner,source_url
1947,BAFTA 1947,Best British Film,,Odd Man Out,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1947,BAFTA 1947,Best Film,,The Best Years of Our Lives,United States,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best British Film,,The Fallen Idol,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,Laurence Olivier,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,David Lean,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,Jack Lee,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,"Michael Powell, Emeric Pressburger",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,Charles Frend,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best British Film,,Fergus McDonell,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1948,BAFTA 1948,Best Film,,Hamlet,United Kingdom,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Edward Dmytryk,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Carol Reed,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Maurice Cloche,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Jules Dassin,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Roberto Rossellini,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1948,BAFTA 1948,Best Film,,Alessandro Blasetti,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best British Film,,The Third Man,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,Robert Hamer,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,Henry Cornelius,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,Thorold Dickinson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,Charles Frend,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,"Michael Powell, Emeric Pressburger",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best British Film,,Alexander Mackendrick,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1949,BAFTA 1949,Best Film,,Bicycle Thieves (Ladri di biciclette),Italy,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,R. A. Stemmle,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,Wanda Jakubowska,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,Robert Wise,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,Carol Reed,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,John Huston,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1949,BAFTA 1949,Best Film,,Ted Tetzlaff,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best British Film,,The Blue Lamp,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best British Film,,Bernard Miles,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best British Film,,Roy Ward Baker,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best British Film,,"John Boulting, Roy Boulting",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best British Film,,Sidney Gilliat,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best British Film,,Jack Lee,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1950,BAFTA 1950,Best Film,,All About Eve,United States,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,John Huston,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,René Clair,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,Clarence Brown,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,Fred Zinnemann,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,"Stanley Donen, Gene Kelly",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1950,BAFTA 1950,Best Film,,Jean Cocteau,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best British Film,,The Lavender Hill Mob,,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Anthony Asquith,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,John Boulting,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Donald Swanson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Alexander Mackendrick,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Paul Rotha,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,"Maurice Cloche, Ralph Smart",,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best British Film,,Pat Jackson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
1951,BAFTA 1951,Best Film,,La Ronde,France,1,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Vincente Minnelli,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Anthony Asquith,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,William Wyler,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Luciano Emmer,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Henry Hathaway,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Alf Sjöberg,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Charles Crichton,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,John Boulting,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
1951,BAFTA 1951,Best Film,,Donald Swanson,,0,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
