year,ceremony,category,nominee,film,country,winner,source_url
1998,BIFA 1998,Best Actor,Ray Winstone,Nil by Mouth,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,BIFA 1998,Best Actor,Divorcing Jack,Dan Starkey,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,BIFA 1998,Best Actor,Love and Death on Long Island,Giles De'Ath,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,BIFA 1998,Best Actor,My Name Is Joe,Joe Kavanagh,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,BIFA 1998,Best Actor,Regeneration,William Rivers,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,BIFA 1998,Best Actress,Kathy Burke,Nil by Mouth,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,BIFA 1998,Best Actress,My Name Is Joe,Sarah Downie,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,BIFA 1998,Best Actress,My Son the Fanatic,Bettina/ Sandra,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,BIFA 1998,Best Actress,The Winter Guest,Frances,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,BIFA 1998,Best Actress,Under the Skin,Iris Kelly,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,BIFA 1998,Best British Independent Film,,My Name Is Joe,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1998,BIFA 1998,Best British Independent Film,,Shekhar Kapur,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1998,BIFA 1998,Best British Independent Film,,Guy Ritchie,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1998,BIFA 1998,Best British Independent Film,,Gary Oldman,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1998,BIFA 1998,Best British Independent Film,,Shane Meadows,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1999,BIFA 1999,Best Actor,Ian McKellen,Gods and Monsters,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,BIFA 1999,Best Actor,Little Voice,Ray Say,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,BIFA 1999,Best Actor,The Lost Son,Xavier Lombard,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,BIFA 1999,Best Actor,The Trench,Sgt. Telford Winter,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,BIFA 1999,Best Actor,The War Zone,Dad,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,BIFA 1999,Best Actress,Emily Watson,Hilary and Jackie,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,BIFA 1999,Best Actress,Hilary and Jackie,Hilary du Pré,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,BIFA 1999,Best Actress,Little Voice,LV,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,BIFA 1999,Best Actress,The War Zone,Jessie,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,BIFA 1999,Best Actress,Wonderland,Nadia,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,BIFA 1999,Best British Independent Film,,Wonderland,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1999,BIFA 1999,Best British Independent Film,,Bill Condon,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1999,BIFA 1999,Best British Independent Film,,Anand Tucker,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1999,BIFA 1999,Best British Independent Film,,Shane Meadows,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
1999,BIFA 1999,Best British Independent Film,,Tim Roth,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2000,BIFA 2000,Best Actor,Daniel Craig,Some Voices,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
