year,ceremony,category,nominee,film,country,winner,source_url
1973,Evening Standard British Film Awards 1973,Best Actor,Keith Michell – Henry VIII and His Six Wives,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1973,Evening Standard British Film Awards 1973,Best Actress,"Glenda Jackson – Mary, Queen of Scots",,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1973,Evening Standard British Film Awards 1973,Best Comedy,,The National Health – Jack Gold,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1973,Evening Standard British Film Awards 1973,Best Film,,Ryan's Daughter – David Lean,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1973,Evening Standard British Film Awards 1973,Best Newcomer – Actor,,Simon Ward,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1973,Evening Standard British Film Awards 1973,Best Newcomer – Actress,,Lynne Frederick,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Actor,Michael Caine – Sleuth,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Actress,Glenda Jackson – A Touch of Class,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Comedy,,The Three Musketeers – Richard Lester,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Film,,Live and Let Die – Guy Hamilton,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Newcomer – Actor,,Edward Fox,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1974,Evening Standard British Film Awards 1974,Best Newcomer – Actress,,Heather Wright,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
1975,Evening Standard British Film Awards 1975,Best Actor,Albert Finney – Murder on the Orient Express,,UK,1,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
