year,ceremony,category,nominee,film,country,winner,source_url
1980,London Critics Circle 1980,Director of the Year,Bad Timing,Nicolas Roeg,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1980,London Critics Circle 1980,Film of the Year,,Francis Ford Coppola,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1980,London Critics Circle 1980,Screenwriter of the Year,Breaking Away,Steve Tesich,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1981,London Critics Circle 1981,Director of the Year,Man of Iron,Andrzej Wajda,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1981,London Critics Circle 1981,Film of the Year,,Hugh Hudson,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1981,London Critics Circle 1981,Screenwriter of the Year,Chariots of Fire,Colin Welland,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1982,London Critics Circle 1982,Director of the Year,Missing,Costa Gavras,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1982,London Critics Circle 1982,Film of the Year,,Costa-Gavras,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1982,London Critics Circle 1982,Screenwriter of the Year,Missing,Costa-Gavras and Donald E. Stewart,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1983,London Critics Circle 1983,Director of the Year,Danton,Andrzej Wajda,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1983,London Critics Circle 1983,Film of the Year,,Martin Scorsese,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1983,London Critics Circle 1983,Screenwriter of the Year,Heat and Dust,Ruth Prawer Jhabvala,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1984,London Critics Circle 1984,Director of the Year,The Company of Wolves,Neil Jordan,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1984,London Critics Circle 1984,Film of the Year,,Wim Wenders,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1984,London Critics Circle 1984,Screenwriter of the Year,The Right Stuff,Philip Kaufman,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1985,London Critics Circle 1985,Director of the Year,The Killing Fields°,Roland Joffé,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1985,London Critics Circle 1985,Film of the Year,,Woody Allen,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1985,London Critics Circle 1985,Screenwriter of the Year,A Private Function,Alan Bennett,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
1986,London Critics Circle 1986,Director of the Year,Ran°,Akira Kurosawa,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Director_of_the_Year
1986,London Critics Circle 1986,Film of the Year,,James Ivory,,1,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Film_of_the_Year
1986,London Critics Circle 1986,Screenwriter of the Year,Hannah and Her Sisters,Woody Allen,,0,https://en.wikipedia.org/wiki/London_Film_Critics%27_Circle_Award_for_Screenwriter_of_the_Year
