year,ceremony,category,nominee,film,winner,source_url
2026,31st Critics' Choice Awards,Best Picture,One Battle After Another,,1,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Bugonia,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Frankenstein,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Hamnet,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Jay Kelly,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Marty Supreme,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Sentimental Value,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Sinners[a],,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Train Dreams,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Picture,Wicked: For Good,,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Director,Paul Thomas Anderson,One Battle After Another,1,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Director,Ryan Coogler,Sinners,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Director,Guillermo del Toro,Frankenstein,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
2026,31st Critics' Choice Awards,Best Director,Josh Safdie,Marty Supreme,0,https://en.wikipedia.org/wiki/31st_Critics'_Choice_Awards
