year,ceremony,category,nominee,film,winner,source_url
2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Ryan Coogler,Sinners,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Guillermo del Toro,Frankenstein,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Josh Safdie,Marty Supreme,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Chloé Zhao,Hamnet,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Geeta Gandbhir,The Perfect Neighbor,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Sara Khaki and Mohammadreza Eyni,Cutting Through Rocks,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Elizabeth Lo,Mistress Dispeller,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Laura Poitras and Mark Obenhaus,Cover-Up,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Hasan Hadi,The President's Cake,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Harry Lighton,Pillion,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Alex Russell,Lurker,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Eva Victor,"Sorry, Baby",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Liza Johnson,"The Diplomat for ""Amagansett"" (Netflix)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Janus Metz Pedersen,"Andor for ""Who Are You?"" (Disney+)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Ben Stiller,"Severance for ""Cold Harbor"" (Apple TV)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,John Wells,"The Pitt for ""7:00 A.M."" (HBO Max)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Lucia Aniello,"Hacks for ""A Slippery Slope"" (HBO Max)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Janicza Bravo,"The Bear for ""Worms"" (FX)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Christopher Storer,"The Bear for ""Bears"" (FX)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Mike White,"The White Lotus for ""Denials"" (HBO)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Jason Bateman,"Black Rabbit for ""The Black Rabbits"" (Netflix)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Antonio Campos,"The Beast in Me for ""Sick Puppy"" (Netflix)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Lesli Linka Glatter,"Zero Day for ""Episode 6"" (Netflix)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Television,Ally Pankiw,"Black Mirror for ""Common People"" (Netflix)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Jesse Armstrong,Mountainhead (HBO),1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Scott Derrickson,The Gorge (Apple TV),0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Michael Morris,Bridget Jones: Mad About the Boy (Peacock),0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Kyle Newacheck,Happy Gilmore 2 (Netflix),0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Yvonne De Mare,"The Late Show with Stephen Colbert for ""Julia Roberts; Sam Smith"" (CBS)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Andy Fisher,"Jimmy Kimmel Live! for ""Stephen Colbert; Kumail Nanjiani; Reneé Rapp"" (ABC)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Beth McCarthy-Miller,SNL50: The Homecoming Concert (Peacock),0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Paul Pennolino,"Last Week Tonight with John Oliver for ""Public Media"" (HBO)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Steve Milton,2025 Masters Tournament (CBS),1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Rich Russo,Super Bowl LIX (Fox),0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Lucinda M. Margolis,"Jeopardy! for ""Ep. 9341"" (Syndicated)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Adam Sandler,"The Price Is Right for ""10,000th Episode"" (CBS)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,"Rebecca Miller – Mr. Scorsese for ""All This Filming Isn't Healthy"" (Apple TV)",Marshall Curry,"SNL50: Beyond Saturday Night for ""Written By: A Week Inside the SNL Writers Room"" (Peacock)",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,"Rebecca Miller – Mr. Scorsese for ""All This Filming Isn't Healthy"" (Apple TV)",Susan Lacy and Jessica Levin,"Billy Joel: And So It Goes for ""Part Two"" (HBO)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,"Rebecca Miller – Mr. Scorsese for ""All This Filming Isn't Healthy"" (Apple TV)",Alex Stapleton,"Sean Combs: The Reckoning for ""Official Girl"" (Netflix)",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,"Rebecca Miller – Mr. Scorsese for ""All This Filming Isn't Healthy"" (Apple TV)",Matt Wolf,Pee-wee,0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Miles Jay,"ChatGPT's ""Dish"", ""Pull Up"", and ""Trip"", and Meta's ""Home for the Holidays"" and ""Secret Santa""",1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Spike Jonze,"Apple's ""Someday""",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Andreas Nilsson,"Andrex' ""Conquer the First School Poo"", Apple's ""Garrett"" and ""Big Flex"", and Virgin Media's ""Trunk Trucker""",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Limited and Anthology Series - Movies for Television,Steve Rogers,"Amazon's ""Bring a Book to Life"", Squarespace's ""A Tale",0,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Frank Capra Achievement Award,Gregory G. McCollum[12],,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Franklin J. Schaffner Achievement Award,David Charles[12],,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
2025,78th Directors Guild of America Awards,Franklin J. Schaffner Achievement Award,Official website,,1,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
1948,1948,Website - Feature Film,Howard Hawks,Red River,1,https://en.wikipedia.org/wiki/1st_Directors_Guild_of_America_Awards
1948,1948,Website - Feature Film,Anatole Litvak,The Snake Pit,0,https://en.wikipedia.org/wiki/1st_Directors_Guild_of_America_Awards
1948,1948,Website - Feature Film,Fred Zinnemann,The Search,0,https://en.wikipedia.org/wiki/1st_Directors_Guild_of_America_Awards
1948,1948,Special awards,1st Annual Directors Guild of America Awards,,1,https://en.wikipedia.org/wiki/1st_Directors_Guild_of_America_Awards
1949,1949,Website - Feature Film,Carol Reed,The Third Man,1,https://en.wikipedia.org/wiki/2nd_Directors_Guild_of_America_Awards
1949,1949,Website - Feature Film,Mark Robson,Champion,0,https://en.wikipedia.org/wiki/2nd_Directors_Guild_of_America_Awards
1949,1949,Website - Feature Film,Alfred L. Werker,Lost Boundaries,0,https://en.wikipedia.org/wiki/2nd_Directors_Guild_of_America_Awards
1949,1949,Special awards,2nd Annual Directors Guild of America Awards,,1,https://en.wikipedia.org/wiki/2nd_Directors_Guild_of_America_Awards
1950,1950,Website - Feature Film,John Huston,The Asphalt Jungle,1,https://en.wikipedia.org/wiki/3rd_Directors_Guild_of_America_Awards
1950,1950,Website - Feature Film,Vincente Minnelli,Father's Little Dividend,0,https://en.wikipedia.org/wiki/3rd_Directors_Guild_of_America_Awards
1950,1950,Website - Feature Film,Billy Wilder,Sunset Boulevard,0,https://en.wikipedia.org/wiki/3rd_Directors_Guild_of_America_Awards
1950,1950,Special awards,3rd Annual Directors Guild of America Awards,,1,https://en.wikipedia.org/wiki/3rd_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,László Benedek,Death of a Salesman,1,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Michael Gordon,Cyrano de Bergerac,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Alfred Hitchcock,Strangers on a Train,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Elia Kazan,A Streetcar Named Desire,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Henry King,David and Bathsheba,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Mervyn LeRoy,Quo Vadis,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Anatole Litvak,Decision Before Dawn,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Vincente Minnelli,An American in Paris,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,George Sidney,Show Boat,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,Richard Thorpe,The Great Caruso,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Website - Feature Film,William Wyler,Detective Story,0,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1951,1951,Special awards,4th Annual Directors Guild of America Awards,,1,https://en.wikipedia.org/wiki/4th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Charles Crichton,The Lavender Hill Mob,1,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,George Cukor,Pat and Mike,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Michael Curtiz,I'll See You in My Dreams,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Cecil B. DeMille,The Greatest Show on Earth,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Hugo Fregonese,My Six Convicts,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Howard Hawks,The Big Sky,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Elia Kazan,Viva Zapata!,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Gene Kelly and Stanley Donen,Singin' in the Rain,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Henry King,The Snows of Kilimanjaro,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Akira Kurosawa,Rashomon,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Albert Lewin,Pandora and the Flying Dutchman,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Joseph L. Mankiewicz,5 Fingers,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Vincente Minnelli,The Bad and the Beautiful,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
