year,ceremony,category,nominee,film,country,winner,source_url
1979,Bavarian Film Awards 1979,Best Acting,Birgit Doll,Birgit Doll,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1979,Bavarian Film Awards 1979,Best Directing,Dominik Graf,Dominik Graf,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1979,Bavarian Film Awards 1979,Best Screenplay,Reiner Kunze,Reiner Kunze,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Screenplay)
1980,Bavarian Film Awards 1980,Best Acting,Birgit Doll,Birgit Doll,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1980,Bavarian Film Awards 1980,Best Directing,Peter F. Bringmann,Peter F. Bringmann,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1980,Bavarian Film Awards 1980,Best Screenplay,"Judith Herzberg, Franz Weisz","Judith Herzberg, Franz Weisz",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Screenplay)
1981,Bavarian Film Awards 1981,Best Acting,Eva Mattes,Eva Mattes,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1981,Bavarian Film Awards 1981,Best Cinematography,Jost Vacano,Jost Vacano,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Cinematography)
1981,Bavarian Film Awards 1981,Best Directing,"Thomas Brasch, Wolfgang Petersen","Thomas Brasch, Wolfgang Petersen",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1982,Bavarian Film Awards 1982,Best Acting,Edith Clever,Edith Clever,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1982,Bavarian Film Awards 1982,Best Directing,Percy Adlon,Percy Adlon,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1982,Bavarian Film Awards 1982,Best Producing,"Franz Seitz, Michael Wiedemann","Franz Seitz, Michael Wiedemann",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1983,Bavarian Film Awards 1983,Best Acting,"Gustl Bayrhammer, Joachim Bernhard","Gustl Bayrhammer, Joachim Bernhard",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1983,Bavarian Film Awards 1983,Best Acting,Lena Stolze,Lena Stolze,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1983,Bavarian Film Awards 1983,Best Acting,"Susanne Herlet, Anja Jaenicke","Susanne Herlet, Anja Jaenicke",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1983,Bavarian Film Awards 1983,Best Directing,Peter Schamoni,Peter Schamoni,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1983,Bavarian Film Awards 1983,Best Producing,Karel Dirka,Karel Dirka,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1984,Bavarian Film Awards 1984,Best Acting,Marita Breuer,Marita Breuer,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1984,Bavarian Film Awards 1984,Best Cinematography,Robby Müller,Robby Müller,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Cinematography)
1984,Bavarian Film Awards 1984,Best Directing,Carl Schenkel,Carl Schenkel,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1984,Bavarian Film Awards 1984,Best Producing,"Bernd Eichinger, Dieter Geissler , Günter Rohrbach","Bernd Eichinger, Dieter Geissler , Günter Rohrbach",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1985,Bavarian Film Awards 1985,Best Acting,Christiane Hörbiger,Christiane Hörbiger,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1985,Bavarian Film Awards 1985,Best Acting,Jürgen Prochnow,Jürgen Prochnow,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1985,Bavarian Film Awards 1985,Best Cinematography,Xaver Schwarzenberger,Xaver Schwarzenberger,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Cinematography)
1985,Bavarian Film Awards 1985,Best Directing,Wolfram Paulus,Wolfram Paulus,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1985,Bavarian Film Awards 1985,Best Directing,Xaver Schwarzenberger,Xaver Schwarzenberger,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1986,Bavarian Film Awards 1986,Best Cinematography,Gerard Vandenberg,Gerard Vandenberg,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Cinematography)
1986,Bavarian Film Awards 1986,Best Directing,Peter Timm,Peter Timm,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1986,Bavarian Film Awards 1986,Best Producing,Bernd Eichinger,Bernd Eichinger,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1987,Bavarian Film Awards 1987,Best Acting,"Carola Höhn, Marianne Hoppe, Camilla Horn, Ortrud von der Recke, Fee von Reichlin, Marika Rökk, Rose Renée Roth","Carola Höhn, Marianne Hoppe, Camilla Horn, Ortrud von der Recke, Fee von Reichlin, Marika Rökk, Rose Renée Roth",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1987,Bavarian Film Awards 1987,Best Directing,Hans Noever,Hans Noever,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1987,Bavarian Film Awards 1987,Best Directing,Wim Wenders,Wim Wenders,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1987,Bavarian Film Awards 1987,Best Film Score,Milan Bor,Milan Bor,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Film_Score)
1987,Bavarian Film Awards 1987,Best Producing,"Werner Herzog, Lucki Stipetic","Werner Herzog, Lucki Stipetic",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1987,Bavarian Film Awards 1987,Best Screenplay,"Percy & Eleonore Adlon, Ulf Miehe, Klaus Richter","Percy & Eleonore Adlon, Ulf Miehe, Klaus Richter",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Screenplay)
1988,Bavarian Film Awards 1988,Best Acting,Ayse Romey,Ayse Romey,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1988,Bavarian Film Awards 1988,Best Acting,Dana Vávrová,Dana Vávrová,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1988,Bavarian Film Awards 1988,Best Acting,"Uwe Bohm, Klaus Maria Brandauer","Uwe Bohm, Klaus Maria Brandauer",Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1988,Bavarian Film Awards 1988,Best Acting,Werner Stocker,Werner Stocker,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1988,Bavarian Film Awards 1988,Best Cinematography,Jürgen Jürges,Jürgen Jürges,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Cinematography)
1988,Bavarian Film Awards 1988,Best Directing,Maria Theresia Wagner,Maria Theresia Wagner,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1988,Bavarian Film Awards 1988,Best Directing,Nico Hoffmann,Nico Hoffmann,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1988,Bavarian Film Awards 1988,Best Directing,Robert Sigl,Robert Sigl,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1988,Bavarian Film Awards 1988,Best Producing,Christian Wagner,Christian Wagner,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Producing)
1989,Bavarian Film Awards 1989,Best Acting,Anica Dobra,Anica Dobra,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1989,Bavarian Film Awards 1989,Best Acting,Claudia Messner,Claudia Messner,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1989,Bavarian Film Awards 1989,Best Acting,Jürgen Vogel,Jürgen Vogel,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1989,Bavarian Film Awards 1989,Best Acting,Ulrich Mühe,Ulrich Mühe,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Acting)
1989,Bavarian Film Awards 1989,Best Directing,Berthold Mittermayr,Berthold Mittermayr,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
1989,Bavarian Film Awards 1989,Best Directing,Uli Edel,Uli Edel,Germany,1,https://en.wikipedia.org/wiki/Bavarian_Film_Awards_(Best_Directing)
