year,ceremony,category,nominee,film,country,winner,source_url
1951,Berlin IFF 1951,Golden Bear,,Four in a Jeep (Drama),,1,https://en.wikipedia.org/wiki/Golden_Bear
1951,Berlin IFF 1951,Golden Bear,,...Sans laisser d'adresse,,1,https://en.wikipedia.org/wiki/Golden_Bear
1951,Berlin IFF 1951,Golden Bear,,James Algar,,1,https://en.wikipedia.org/wiki/Golden_Bear
1951,Berlin IFF 1951,Golden Bear,,Justice est faite,,1,https://en.wikipedia.org/wiki/Golden_Bear
1951,Berlin IFF 1951,Golden Bear,,Wilfred Jackson,,1,https://en.wikipedia.org/wiki/Golden_Bear
1952,Berlin IFF 1952,Golden Bear,,One Summer of Happiness,,1,https://en.wikipedia.org/wiki/Golden_Bear
1953,Berlin IFF 1953,Golden Bear,,The Wages of Fear,,1,https://en.wikipedia.org/wiki/Golden_Bear
1954,Berlin IFF 1954,Golden Bear,,Hobson's Choice,,1,https://en.wikipedia.org/wiki/Golden_Bear
1955,Berlin IFF 1955,Golden Bear,,Die Ratten,,1,https://en.wikipedia.org/wiki/Golden_Bear
1956,Berlin IFF 1956,Golden Bear,,Invitation to the Dance,,1,https://en.wikipedia.org/wiki/Golden_Bear
1956,Berlin IFF 1956,Silver Bear Best Actor,Burt Lancaster,Trapeze,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1956,Berlin IFF 1956,Silver Bear Best Actress,Elsa Martinelli,Donatella,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1956,Berlin IFF 1956,Silver Bear Best Director,Robert Aldrich,Autumn Leaves,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1957,Berlin IFF 1957,Golden Bear,,12 Angry Men,,1,https://en.wikipedia.org/wiki/Golden_Bear
1957,Berlin IFF 1957,Silver Bear Best Actor,Pedro Infante,Tizoc,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1957,Berlin IFF 1957,Silver Bear Best Actress,Yvonne Mitchell,Woman in a Dressing Gown,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1957,Berlin IFF 1957,Silver Bear Best Director,Mario Monicelli,Fathers and Sons,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1958,Berlin IFF 1958,Golden Bear,,Wild Strawberries,,1,https://en.wikipedia.org/wiki/Golden_Bear
1958,Berlin IFF 1958,Silver Bear Best Actor,Sidney Poitier,The Defiant Ones,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1958,Berlin IFF 1958,Silver Bear Best Actress,Anna Magnani,Wild Is the Wind,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
