year,ceremony,category,nominee,film,country,winner,source_url
1951,German Film Awards 1951,Best Director,Josef von Báky,Two Times Lotte,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1951,German Film Awards 1951,Best Fiction Film,,Two Times Lotte,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1952,German Film Awards 1952,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1952,German Film Awards 1952,Best Fiction Film,,No award given.,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1953,German Film Awards 1953,Best Director,Rudolf Jugert,Nights on the Road (aka The Mistress),Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1953,German Film Awards 1953,Best Fiction Film,,Nights on the Road aka The Mistress,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1954,German Film Awards 1954,Best Actress,Ruth Leuwerik,Geliebtes Leben,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1954,German Film Awards 1954,Best Director,Helmut Käutner,The Last Bridge,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1954,German Film Awards 1954,Best Fiction Film,,No Way Back,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1955,German Film Awards 1955,Best Actress,Therese Giehse,"Kinder, Mütter und ein General",Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1955,German Film Awards 1955,Best Director,Alfred Weidenmann,Canaris,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1955,German Film Awards 1955,Best Fiction Film,,Canaris: Master Spy,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1956,German Film Awards 1956,Best Actress,Lilli Palmer,Teufel in Seide,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1956,German Film Awards 1956,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1956,German Film Awards 1956,Best Fiction Film,,No award given.,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1957,German Film Awards 1957,Best Actress,Lilli Palmer,"Anastasia, die letzte Zarentochter",Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1957,German Film Awards 1957,Best Director,Helmut Käutner,The Captain from Köpenick,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1957,German Film Awards 1957,Best Fiction Film,,The Captain from Köpenick,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1958,German Film Awards 1958,Best Actress,Liselotte Pulver,Das Wirtshaus im Spessart,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1958,German Film Awards 1958,Best Director,Robert Siodmak,The Devil Strikes at Night,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1958,German Film Awards 1958,Best Fiction Film,,The Devil Strikes at Night,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1959,German Film Awards 1959,Best Actress,No Prize Awarded,No Prize Awarded,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1959,German Film Awards 1959,Best Director,Frank Wisbar,"Stalingrad: Dogs, Do You Want to Live Forever? (aka Battle Inferno)",Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1959,German Film Awards 1959,Best Fiction Film,,Arms and the Man,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1960,German Film Awards 1960,Best Actress,Nadja Tiller,Labyrinth,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1960,German Film Awards 1960,Best Director,Bernhard Wicki,The Bridge,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1960,German Film Awards 1960,Best Fiction Film,,The Bridge,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1961,German Film Awards 1961,Best Actress,Hilde Krahl,Das Glas Wasser,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1961,German Film Awards 1961,Best Director,Award not given,Award not given,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1961,German Film Awards 1961,Best Fiction Film,,No award given.,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1962,German Film Awards 1962,Best Actress,Vera Tschechowa,Das Brot der frühen Jahre,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1962,German Film Awards 1962,Best Fiction Film,,The Bread of Those Early Years,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1963,German Film Awards 1963,Best Actress,Elisabeth Bergner,Die glücklichen Jahre der Thorwalds,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1963,German Film Awards 1963,Best Fiction Film,,The Endless Night,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1963,German Film Awards 1963,Best Fiction Film,,Das Feuerschiff,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1964,German Film Awards 1964,Best Actress,Mira Stupica,Herrenpartie,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1964,German Film Awards 1964,Best Fiction Film,,The River Line,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1965,German Film Awards 1965,Best Actress,Jana Brejchová,Das Haus in der Karpfengasse,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
1965,German Film Awards 1965,Best Director,Kurt Hoffmann,The House in Karp Lane,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Director
1965,German Film Awards 1965,Best Fiction Film,,The House in Karp Lane,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Fiction_Film
1966,German Film Awards 1966,Best Actress,Sabine Sinjen,Es,Germany,0,https://en.wikipedia.org/wiki/German_Film_Award_for_Best_Actress_in_a_Leading_Role
