year,ceremony,category,nominee,film,winner,source_url
1943,1st Golden Globe Awards,Best Picture - Most awards,Golden Globes,Golden Globes,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Picture - Most awards,2nd →,2nd →,0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Picture,The Song of Bernadette,The Song of Bernadette,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Actor in a Leading Role,Paul Lukas,Watch on the Rhine,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Actress in a Leading Role,Jennifer Jones,The Song of Bernadette,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Akim Tamiroff,For Whom the Bell Tolls,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Katina Paxinou,For Whom the Bell Tolls,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Director-Motion Picture,Henry King,The Song of Bernadette,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Director-Motion Picture,"Paul Lukas, Best Actor in a Leading Role winner.","Paul Lukas, Best Actor in a Leading Role winner.",1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Director-Motion Picture,"Jennifer Jones, Best Actress in a Leading Role winner.","Jennifer Jones, Best Actress in a Leading Role winner.",0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Director-Motion Picture,"Akim Tamiroff, Best Performance by an Actor in a Supporting Role winner.","Akim Tamiroff, Best Performance by an Actor in a Supporting Role winner.",0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Best Director-Motion Picture,"Henry King, Best Director winner","Henry King, Best Director winner",0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Comparison with the Academy Awards,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Comparison with the Academy Awards,16th Academy Awards,16th Academy Awards,0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1943,1st Golden Globe Awards,Comparison with the Academy Awards,1943 in film,1943 in film,0,https://en.wikipedia.org/wiki/1st_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Picture - Most awards,← 1st,← 1st,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Picture - Most awards,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Picture - Most awards,3rd →,3rd →,0,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Picture,Going My Way directed by Leo McCarey,Going My Way directed by Leo McCarey,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Actor in a Leading Role,Alexander Knox,Wilson,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Actress in a Leading Role,Ingrid Bergman,Gaslight,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Barry Fitzgerald,Going My Way,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Agnes Moorehead,Mrs. Parkington,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Director – Motion Picture,Leo McCarey,Going My Way,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Director – Motion Picture,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Director – Motion Picture,17th Academy Awards,17th Academy Awards,0,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1944,2nd Golden Globe Awards,Best Director – Motion Picture,1944 in film,1944 in film,0,https://en.wikipedia.org/wiki/2nd_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Picture - Most awards,← 3rd,← 3rd,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Picture - Most awards,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Picture - Most awards,5th →,5th →,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Picture,The Best Years of Our Lives directed by William Wyler,The Best Years of Our Lives directed by William Wyler,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Actor in a Leading Role,Gregory Peck,The Yearling,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Actress in a Leading Role,Rosalind Russell,Sister Kenny,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Clifton Webb,The Razor's Edge,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Anne Baxter,The Razor's Edge,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Director-Motion Picture,Frank Capra,It's a Wonderful Life,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Best Film Promoting International Understanding,The Last Chance directed by Leopold Lindtberg,The Last Chance directed by Leopold Lindtberg,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,Harold Russell,The Best Years of Our Lives,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,Hollywood Foreign Press Association,Hollywood Foreign Press Association,1,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
1946,4th Golden Globe Awards,Special Achievement Award,1st Cannes Film Festival,1st Cannes Film Festival,0,https://en.wikipedia.org/wiki/4th_Golden_Globe_Awards
