year,ceremony,category,nominee,film,country,winner,source_url
1900,David di Donatello 1900,Best Film,,Francesco Tornatore,Italy,0,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
1955,David di Donatello 1955,Best Actor,Antonio Carotenuto,Scandal in Sorrento,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
1955,David di Donatello 1955,Best Actress,Lina Cavalieri,Beautiful But Dangerous,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actress
1955,David di Donatello 1955,Best Director,,Roman Tales,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1955,David di Donatello 1955,Best Director,,Le notti di Cabiria,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1955,David di Donatello 1955,Best Director,,La tempesta,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1957,David di Donatello 1957,Best Actress,Gioia,Wild Is the Wind,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actress
1958,David di Donatello 1958,Best Actress,Egle,...And the Wild Wild Women,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actress
1959,David di Donatello 1959,Best Actor,Private Giovanni Busacca,The Great War,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
1959,David di Donatello 1959,Best Actor,Private Oreste Jacovacci,The Great War,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
1959,David di Donatello 1959,Best Director,,La dolce vita,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,Bandits in Milan,Bandits in Milan,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,Il posto,Il posto,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,La notte,La notte,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,Marriage Italian-Style,Marriage Italian-Style,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,"Me, Me, Me... and the Others","Me, Me, Me... and the Others",Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,Misunderstood,Misunderstood,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
1959,David di Donatello 1959,Best Director,Romeo and Juliet,Romeo and Juliet,Italy,1,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
