year,ceremony,category,nominee,film,country,winner,source_url
1932,Venice Film Festival 1932,Volpi Cup for Best Actor,Fredric March,Dr. Jekyll and Mr. Hyde,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1932,Venice Film Festival 1932,Volpi Cup for Best Actress,Helen Hayes,The Sin of Madelon Claudet,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1934,Venice Film Festival 1934,Volpi Cup for Best Actor,Wallace Beery,Viva Villa!,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1934,Venice Film Festival 1934,Volpi Cup for Best Actress,Katharine Hepburn,Little Women,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1935,Venice Film Festival 1935,Volpi Cup for Best Actor,Pierre Blanchar,Crime and Punishment,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1935,Venice Film Festival 1935,Volpi Cup for Best Actress,Paula Wessely,Episode,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1936,Venice Film Festival 1936,Volpi Cup for Best Actor,Paul Muni,The Story of Louis Pasteur,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1936,Venice Film Festival 1936,Volpi Cup for Best Actress,Annabella,Veille d'armes,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1937,Venice Film Festival 1937,Volpi Cup for Best Actor,Emil Jannings,The Ruler,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1937,Venice Film Festival 1937,Volpi Cup for Best Actress,Bette Davis,Marked Woman,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1937,Venice Film Festival 1937,Volpi Cup for Best Actress,Kid Galahad,Kid Galahad,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1938,Venice Film Festival 1938,Volpi Cup for Best Actor,Leslie Howard,Pygmalion,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1938,Venice Film Festival 1938,Volpi Cup for Best Actress,Norma Shearer,Marie Antoinette,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1941,Venice Film Festival 1941,Volpi Cup for Best Actor,Ermete Zacconi,Don Buonaparte,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1941,Venice Film Festival 1941,Volpi Cup for Best Actress,Luise Ullrich,Annelie,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1942,Venice Film Festival 1942,Volpi Cup for Best Actor,Fosco Giachetti,Bengasi,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1942,Venice Film Festival 1942,Volpi Cup for Best Actress,Kristina Söderbaum,The Golden City,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1947,Venice Film Festival 1947,Volpi Cup for Best Actor,Pierre Fresnay,Monsieur Vincent,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1947,Venice Film Festival 1947,Volpi Cup for Best Actress,Anna Magnani,Angelina,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1948,Venice Film Festival 1948,Volpi Cup for Best Actor,Ernst Deutsch,The Trial,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1948,Venice Film Festival 1948,Volpi Cup for Best Actress,Jean Simmons,Hamlet,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1949,Venice Film Festival 1949,Golden Lion,Henri-Georges Clouzot,Manon,,1,https://en.wikipedia.org/wiki/Golden_Lion
1949,Venice Film Festival 1949,Volpi Cup for Best Actor,Joseph Cotten,Portrait of Jennie,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1949,Venice Film Festival 1949,Volpi Cup for Best Actress,Olivia de Havilland,The Snake Pit,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1950,Venice Film Festival 1950,Golden Lion,,Justice Is Done,,1,https://en.wikipedia.org/wiki/Golden_Lion
1950,Venice Film Festival 1950,Volpi Cup for Best Actor,Sam Jaffe,The Asphalt Jungle,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1950,Venice Film Festival 1950,Volpi Cup for Best Actress,Eleanor Parker,Caged,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1951,Venice Film Festival 1951,Golden Lion,,Rashomon,,1,https://en.wikipedia.org/wiki/Golden_Lion
1951,Venice Film Festival 1951,Volpi Cup for Best Actor,Jean Gabin,The Night Is My Kingdom,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1951,Venice Film Festival 1951,Volpi Cup for Best Actress,Bette Davis,All About Eve,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1951,Venice Film Festival 1951,Volpi Cup for Best Actress,Vivien Leigh,A Streetcar Named Desire,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1952,Venice Film Festival 1952,Golden Lion,,Forbidden Games,,1,https://en.wikipedia.org/wiki/Golden_Lion
