year,ceremony,category,nominee,film,winner,source_url
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,One Battle After Another,"Adam Somner, Sara Murphy, and Paul Thomas Anderson",1,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Bugonia,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos, Emma Stone, and Lars Knudsen",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,F1,"Jerry Bruckheimer, Joseph Kosinski, Brad Pitt, Dede Gardner, Jeremy Kleiner, and Chad Oman",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Frankenstein,"Guillermo del Toro, J. Miles Dale, and Scott Stuber",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Hamnet,"Liza Marshall, Pippa Harris, Sam Mendes, Steven Spielberg, and Nicolas Gonda",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Marty Supreme,"Eli Bush, Ronald Bronstein, Josh Safdie, Anthony Katagas, and Timothée Chalamet",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Sentimental Value,Maria Ekerhovd and Andrea Berentsen Ottmar,0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Sinners,"Ryan Coogler, Zinzi Coogler, and Sev Ohanian",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Train Dreams,"Marissa McMahon, Teddy Schwarzman, Will Janowitz, Ashley Schlaifer, and Michael Heimler",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Weapons,Zach Cregger and Miri Yoon,0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,My Mom Jayne,Mariska Hargitay and Trish Adlesic,1,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,The Alabama Solution,"Andrew Jarecki, Charlotte Kaufman, Alelur ""Alex"" Duran and Beth Shelburne",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Cover-Up,"Laura Poitras, Mark Obenhaus, Yoni Golijov and Olivia Streisand",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Mr Nobody Against Putin,"Helle Faber, Alžběta Karásková and Radovan Síbrt",0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Ocean with David Attenborough,Toby Nowlan and Keith Scholey,0,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
