year,ceremony,category,nominee,film,winner,source_url
2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,← 52nd,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,Saturn Awards,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,54th →,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Most nominations - Television coverage,Best Cinematic Adaptation Film,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Most nominations - Television coverage,Best International Animated Film,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Most nominations - Television coverage,Best New Genre Television Series,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Most nominations - Television coverage,Best Genre Comedy Television Series,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Avatar: Fire and Ash,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Bugonia,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Jurassic World Rebirth,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Predator: Badlands,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,The Running Man,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Tron: Ares,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Wicked: For Good,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Freakier Friday,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Hamnet,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,How to Train Your Dragon,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,The Life of Chuck,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Lilo & Stitch,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Frankenstein,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,28 Years Later,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,The Conjuring: Last Rites,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Final Destination Bloodlines,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,The Monkey,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Weapons,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Mission: Impossible,The Final Reckoning,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Ballerina,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,F1,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Novocaine,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,Now You See Me: Now You Don't,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Action / Adventure Film,One Battle After Another,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Sinners,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Highest 2 Lowest,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Housemaid,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Long Walk,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Marty Supreme,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Wake Up Dead Man: A Knives Out Mystery,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Fantastic Four: First Steps,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Black Phone 2,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Captain America: Brave New World,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,A Minecraft Movie,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Superman,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Thunderbolts*,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Zootopia 2,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,The Bad Guys 2,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,The Day the Earth Blew Up: A Looney Tunes Movie,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Elio,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,KPop Demon Hunters,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,The SpongeBob Movie: Search for SquarePants,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Demon Slayer: Kimetsu no Yaiba,The Movie: Infinity Castle ( Japan),1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Attack on Titan the Movie: The Last Attack ( Japan),,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Chainsaw Man,The Movie: Reze Arc ( Japan),0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,The Colors Within ( Japan),,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Ne Zha 2 ( China),,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best International Animated Film,Stitch Head ( Germany),,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,Dust Bunny,,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,Adulthood,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,Eden,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,Good Boy,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Plague,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Rule of Jenny Pen,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Toxic Avenger,,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,Sisu: Road to Revenge ( Finland),,1,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
2025,53rd Saturn Awards,Best Independent Film - Best International Film,40 Acres ( Canada),,0,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
