year,ceremony,category,nominee,film,winner,source_url
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Morgan Freeman,The Shawshank Redemption,1,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Paul Newman,Nobody's Fool,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Tim Robbins,The Shawshank Redemption,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,John Travolta,Pulp Fiction,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Jessica Lange,Blue Sky,1,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Meg Ryan,When a Man Loves a Woman,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Susan Sarandon,The Client,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Meryl Streep,The River Wild,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Samuel L. Jackson,Pulp Fiction,1,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Chazz Palminteri,Bullets over Broadway,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Gary Sinise,Forrest Gump,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,John Turturro,Quiz Show,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Jamie Lee Curtis,True Lies,1,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Sally Field,Forrest Gump,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Uma Thurman,Pulp Fiction,0,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
