year,ceremony,category,nominee,film,winner,source_url
2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,← 40th,,1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,Film Independent Spirit Awards,,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,42nd →,,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Train Dreams,"Michael Heimler, Will Janowitz, Marissa McMahon, Ashley Schlaifer, and Teddy Schwarzman",1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Peter Hujar's Day,Jonah Disend and Jordan Drake,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,The Plague,"Derek Dauchy, Joel Edgerton, Roy Lee, Lucy McKendrick, Steven Schneider, and Lizzie Shapiro",0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,"Sorry, Baby","Mark Ceryak, Barry Jenkins, and Adele Romanski",0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Twinless,David Permut and James Sweeney,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Clint Bentley,Train Dreams,1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Mary Bronstein,If I Had Legs I'd Kick You,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Lloyd Lee Choi,Lucky Lu,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Ira Sachs,Peter Hujar's Day,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Feature - Best Director,Eva Victor,"Sorry, Baby",0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Rose Byrne,If I Had Legs I'd Kick You,1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Everett Blunck,The Plague,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Kathleen Chalfant,Familiar Touch,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Chang Chen,Lucky Lu,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Joel Edgerton,Train Dreams,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Dylan O'Brien,Twinless,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Keke Palmer,One of Them Days,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Théodore Pellerin,Lurker,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Tessa Thompson,Hedda,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Ben Whishaw,Peter Hujar's Day,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Naomi Ackie,"Sorry, Baby",1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Zoey Deutch,Nouvelle Vague,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Kirsten Dunst,Roofman,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Rebecca Hall,Peter Hujar's Day,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Nina Hoss,Hedda,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Jane Levy,A Little Prayer,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Archie Madekwe,Lurker,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Kali Reis,Rebuilding,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Jacob Tremblay,Sovereign,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Supporting Performance,Haipeng Xu,Blue Sun Palace,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Kayo Martin,The Plague,1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Liz Larsen,The Baltimorons,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Misha Osherovich,She's the He,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,SZA,One of Them Days,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Tabatha Zimiga,East of Wall,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,"Sorry, Baby",Eva Victor,1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,A Little Prayer,Angus MacLachlan,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Sovereign,Christian Swegal,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Splitsville,Michael Angelo Covino and Kyle Marvin,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Twinless,James Sweeney,0,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",Lurker,"Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",1,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
