year,ceremony,category,nominee,film,winner,source_url
2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,← 77th,,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,WGA Awards,,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,← 77th WGA Awards 79th →,79th →,,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Original Screenplay,Sinners,Ryan Coogler,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Original Screenplay,Black Bag,David Koepp,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Original Screenplay,If I Had Legs I'd Kick You,Mary Bronstein,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Original Screenplay,Marty Supreme,Ronald Bronstein & Josh Safdie,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Original Screenplay,Weapons,Zach Cregger,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Adapted Screenplay,One Battle After Another,Paul Thomas Anderson; screen story by Paul Thomas Anderson; inspired by the novel Vineland by Thomas Pynchon,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Bugonia,Will Tracy; based on the film Save the Green Planet by Jang Joon-hwan,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Frankenstein,Guillermo del Toro; based on the novel by Mary Shelley,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Hamnet,Chloé Zhao & Maggie O'Farrell; based on the novel by O'Farrell,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Adapted Screenplay,Train Dreams,Clint Bentley & Greg Kwedar; based on the novella by Denis Johnson,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Documentary Screenplay,2000 Meters to Andriivka,Mstyslav Chernov,1,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Documentary Screenplay,Becoming Led Zeppelin,Bernard MacMahon & Allison McGourty,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
2026,78th Writers Guild of America Awards,Best Documentary Screenplay,White with Fear,Andrew Goldberg,0,https://en.wikipedia.org/wiki/78th_Writers_Guild_of_America_Awards
