year,ceremony,category,nominee,film,won
1964,Antalya Golden Orange Film Awards,Best Film,Halit Refiğ,Gurbet Kuşları,1
1965,Antalya Golden Orange Film Awards,Best Film,Turgut Demirağ,Aşk ve Kin,1
1966,Antalya Golden Orange Film Awards,Best Film,Haldun Dormen,Bozuk Düzen,1
1967,Antalya Golden Orange Film Awards,Best Film,Dram: Yılmaz Duru Tarihi: Ertem Eğilmez Komedi: Haldun Dormen,Dram: Zalimler Tarihi: Bir Millet UyanıyorKomedi: Güzel Bir Gün İçin,1
1968,Antalya Golden Orange Film Awards,Best Film,Yılmaz Duru,İnce Cumali,1
1969,Antalya Golden Orange Film Awards,Best Film,Bin Yıllık Yol (2.) İnsanlar Yaşadıkça (3.) Ayşem Cemile Günah Bende mi? Kederli Günlerim Öksüz Parmaksız Salih Sabır Taşı Yara,En İyi 1. Film Ödülü verilmedi,1
1970,Antalya Golden Orange Film Awards,Best Film,Yılmaz Güney,Bir Çirkin Adam,1
1971,Antalya Golden Orange Film Awards,Best Film,Muzaffer Arslan,Ankara Ekspresi,1
1972,Antalya Golden Orange Film Awards,Best Film,Atıf Yılmaz,Zulüm,1
1973,Antalya Golden Orange Film Awards,Best Film,Orhan Aksoy,Hayat mı Bu,1
1974,Antalya Golden Orange Film Awards,Best Film,Lütfi Ömer Akad,Düğün,1
1975,Antalya Golden Orange Film Awards,Best Film,Yılmaz Güney & Şerif Gören,Endişe,1
1976,Antalya Golden Orange Film Awards,Best Film,Atıf Yılmaz,Deli Yusuf,1
1977,Antalya Golden Orange Film Awards,Best Film,Süreyya Duru,Kara Çarşaflı Gelin,1
1978,Antalya Golden Orange Film Awards,Best Film,Yavuz Özkan,Maden,1
1979,Antalya Golden Orange Film Awards,Best Film,Yavuz Özkan,Demiryol,1
1979,Antalya Golden Orange Film Awards,Best Film,Ömer Kavur & Necip Sarıcıoğlu,Ömer Kavur,1
1980,Antalya Golden Orange Film Awards,Best Film,Zeki Ökten & Yılmaz Güney,Sürü,1
1981,Antalya Golden Orange Film Awards,Best Film,Ah Güzel İstanbul (2.) Gül Hasan (3.) Bereketli Topraklar Üzerinde Derya Gülü Devlet Kuşu Düşman Hazal Sürü Yolcular,Ödül verilmedi,1
1982,Antalya Golden Orange Film Awards,Best Film,Sinan Çetin,Çirkinler de Sever,1
1983,Antalya Golden Orange Film Awards,Best Film,Zeki Ökten,Faize Hücum,1
1984,Antalya Golden Orange Film Awards,Best Film,Atıf Yılmaz,Bir Yudum Sevgi,1
1985,Antalya Golden Orange Film Awards,Best Film,Atıf Yılmaz,Dul Bir Kadın,1
1986,Antalya Golden Orange Film Awards,Best Film,Atıf Yılmaz,Aaahh Belinda,1
1987,Antalya Golden Orange Film Awards,Best Film,Yavuz Turgul,Muhsin Bey,1
1988,Antalya Golden Orange Film Awards,Best Film,Ömer Kavur,Gece Yolculuğu,1
1989,Antalya Golden Orange Film Awards,Best Film,Tunç Başaran,Uçurtmayı Vurmasınlar,1
1990,Antalya Golden Orange Film Awards,Best Film,Halit Refiğ,Karılar Koğuşu,1
1991,Antalya Golden Orange Film Awards,Best Film,Ömer Kavur,Gizli Yüz,1
1992,Antalya Golden Orange Film Awards,Best Film,İrfan Tözüm,Cazibe Hanımın Gündüz Düşleri,1
1993,Antalya Golden Orange Film Awards,Best Film,Erden Kıral,Mavi Sürgün,1
1994,Antalya Golden Orange Film Awards,Best Film,Yavuz Özkan,Yengeç Sepeti,1
1995,Antalya Golden Orange Film Awards,Best Film,Ümit Elçi,Böcek,1
1996,Antalya Golden Orange Film Awards,Best Film,Derviş Zaim,Tabutta Rövaşata,1
1997,Antalya Golden Orange Film Awards,Best Film,Ferzan Özpetek,Hamam,1
1998,Antalya Golden Orange Film Awards,Best Film,Yılmaz Arslan,Yara,1
1999,Antalya Golden Orange Film Awards,Best Film,Tomris Giritlioğlu,Salkım Hanımın Taneleri,1
2000,Antalya Golden Orange Film Awards,Best Film,Zeki Ökten,Güle Güle,1
2001,Antalya Golden Orange Film Awards,Best Film,Handan İpekçi,Büyük Adam Küçük Aşk,1
2002,Antalya Golden Orange Film Awards,Best Film,Nuri Bilge Ceylan,Uzak,1
2003,Antalya Golden Orange Film Awards,Best Film,Ömer Kavur,Karşılaşma,1
2004,Antalya Golden Orange Film Awards,Best Film,Uğur Yücel,Yazı Tura,1
2005,Antalya Golden Orange Film Awards,Best Film,Ulaş İnaç,Türev,1
2006,Antalya Golden Orange Film Awards,Best Film,Zeki Demirkubuz,Kader,1
2007,Antalya Golden Orange Film Awards,Best Film,Semih Kaplanoğlu,Yumurta,1
2008,Antalya Golden Orange Film Awards,Best Film,Ben Hopkins,Pazar: Bir Ticaret Masalı,1
2009,Antalya Golden Orange Film Awards,Best Film,İnan Temelkuran,Bornova Bornova,1
2009,Antalya Golden Orange Film Awards,Best Film,Ömer Atay & Gamze Paker,Reha Erdem,1
2010,Antalya Golden Orange Film Awards,Best Film,Seren Yüce,Çoğunluk,1
2011,Antalya Golden Orange Film Awards,Best Film,Hasan Tolga Pulat,Güzel Günler Göreceğiz,1
2012,Antalya Golden Orange Film Awards,Best Film,Hüseyin Tabak,Güzelliğin On Par'etmez,1
2013,Antalya Golden Orange Film Awards,Best Film,Ferit Karahan,Cennetten Kovulmak,1
2013,Antalya Golden Orange Film Awards,Best Film,Emine Yıldırım & Oğuz Kaynak,Ramin Matin,1
2014,Antalya Golden Orange Film Awards,Best Film,Kutluğ Ataman,Kuzu,1
2015,Antalya Golden Orange Film Awards,Best Film,Tolga Karaçelik,Sarmaşık,1
2016,Antalya Golden Orange Film Awards,Best Film,Ümit Köreken,Mavi Bisiklet,1
2017,Antalya Golden Orange Film Awards,Best Film,,Ulusal Uzun Metraj Film Yarışması düzenlenmedi.,1
2018,Antalya Golden Orange Film Awards,Best Film,,Ulusal Uzun Metraj Film Yarışması düzenlenmedi.,1
2019,Antalya Golden Orange Film Awards,Best Film,Ali Özel,Bozkır,1
2020,Antalya Golden Orange Film Awards,Best Film,Azra Deniz Okyay,Hayaletler,1
2021,Antalya Golden Orange Film Awards,Best Film,Ferit Karahan,Okul Tıraşı,1
2022,Antalya Golden Orange Film Awards,Best Film,Özcan Alper,Karanlık Gece,1
2023,Antalya Golden Orange Film Awards,Best Film,8x8 Aniden Beraber Bildiğin Gibi Değil Hayat Kurban Son Hasat Tereddüt Çizgisi Yurt Zamanımızın Bir Kahramanı,Festival iptal edildi.,1
2024,Antalya Golden Orange Film Awards,Best Film,Nadim Güç,Mukadderat,1
2025,Antalya Golden Orange Film Awards,Best Film,Seyfettin Tokmak,Tavşan İmparatorluğu,1
1964,Antalya Golden Orange Film Awards,Best Director,Halit Refiğ,Gurbet Kuşları,1
1965,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Keşanlı Ali Destanı,1
1966,Antalya Golden Orange Film Awards,Best Director,Memduh Ün,Namusum İçin,1
1967,Antalya Golden Orange Film Awards,Best Director,Yılmaz Duru,Zalimler,1
1968,Antalya Golden Orange Film Awards,Best Director,Yılmaz Duru,İnce Cumali,1
1970,Antalya Golden Orange Film Awards,Best Director,Ertem Eğilmez,Kalbimin Efendisi,1
1971,Antalya Golden Orange Film Awards,Best Director,Muzaffer Arslan,Ankara Ekspresi,1
1972,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Zulüm,1
1973,Antalya Golden Orange Film Awards,Best Director,Nejat Saydam,Dinmeyen Sızı,1
1974,Antalya Golden Orange Film Awards,Best Director,Lütfi Ömer Akad,Düğün,1
1975,Antalya Golden Orange Film Awards,Best Director,Şerif Gören,Endişe,1
1976,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Deli Yusuf,1
1977,Antalya Golden Orange Film Awards,Best Director,Zeki Ökten,Kapıcılar Kralı,1
1978,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Selvi Boylum Al Yazmalım,1
1979,Antalya Golden Orange Film Awards,Best Director,Yavuz Özkan,Demiryol,1
1980,Antalya Golden Orange Film Awards,Best Director,Zeki Ökten,Sürü,1
1981,Antalya Golden Orange Film Awards,Best Director,Erden Kıral,Bereketli Topraklar Üzerinde,1
1982,Antalya Golden Orange Film Awards,Best Director,Ömer Kavur,Kırık Bir Aşk Hikayesi,1
1983,Antalya Golden Orange Film Awards,Best Director,Zeki Ökten,Faize Hücum,1
1984,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Bir Yudum Sevgi,1
1985,Antalya Golden Orange Film Awards,Best Director,Sinan Çetin,14 Numara,1
1986,Antalya Golden Orange Film Awards,Best Director,Atıf Yılmaz,Aaahh Belinda,1
1987,Antalya Golden Orange Film Awards,Best Director,Ömer Kavur,Anayurt Oteli,1
1988,Antalya Golden Orange Film Awards,Best Director,Ömer Kavur,Gece Yolculuğu,1
1989,Antalya Golden Orange Film Awards,Best Director,Halit Refiğ,Hanım,1
1990,Antalya Golden Orange Film Awards,Best Director,Halit Refiğ,Karılar Koğuşu,1
1991,Antalya Golden Orange Film Awards,Best Director,Yavuz Özkan,Ateş Üstünde Yürümek,1
1992,Antalya Golden Orange Film Awards,Best Director,Tunç Okan,Sarı Mercedes,1
1993,Antalya Golden Orange Film Awards,Best Director,Erden Kıral,Mavi Sürgün,1
1994,Antalya Golden Orange Film Awards,Best Director,Yavuz Özkan,Yengeç Sepeti,1
1995,Antalya Golden Orange Film Awards,Best Director,Canan Gerede,Aşk Ölümden Soğuktur,1
1996,Antalya Golden Orange Film Awards,Best Director,Tunç Başaran,Sen de Gitme,1
1997,Antalya Golden Orange Film Awards,Best Director,Ferzan Özpetek,Hamam,1
1998,Antalya Golden Orange Film Awards,Best Director,Serdar Akar,Gemide,1
1999,Antalya Golden Orange Film Awards,Best Director,Nuri Bilge Ceylan,Mayıs Sıkıntısı,1
