year,ceremony,category,nominee,film,won
1999,BAFICI Awards,Best Motion picture,Hirokazu Koreeda,After Life,1
2000,BAFICI Awards,Best Movie,Laurent Cantet,Human Resources,1
2001,BAFICI Awards,Best Feature,Jia Zhangke,Platform,1
2002,BAFICI Awards,Best Feature,Vincenzo Marra,Sailing Home,1
2003,BAFICI Awards,Best Movie,Abderrahmane Sissako,Waiting for Happiness,1
2004,BAFICI Awards,Best Motion picture,Ana Poliak,Pin Boy,1
2005,BAFICI Awards,Best Title,Mercedes Álvarez,The Sky Turns,1
2006,BAFICI Awards,Best Motion picture,Juan Carlos Rulfo,In the Pit,1
2007,BAFICI Awards,Best Motion picture,So Yong Kim,In Between Days,1
2008,BAFICI Awards,Best Feature,Yulene Olaizola,Intimidades de Shakespeare y Víctor Hugo,1
2009,BAFICI Awards,Best Feature,Miguel Gomes,Our Beloved Month of August,1
2010,BAFICI Awards,Best Movie,Pedro González-Rubio,Alamar,1
2011,BAFICI Awards,Best Motion picture,Sylvain George,May they rest in revolt (Figures of wars),1
2012,BAFICI Awards,Best Feature,Nadav Lapid,Policeman,1
2013,BAFICI Awards,Best Motion picture,Peter Strickland,Berberian Sound Studio,1
2014,BAFICI Awards,Best Motion picture,Mitra Farahani,Fifi Howls from Happiness,1
2015,BAFICI Awards,Best Movie,Chaitanya Tamhane,Court,1
2016,BAFICI Awards,Best Title,"Francisco Márquez, Andrea Testa",The Long Night of Francisco Sanctis,1
2017,BAFICI Awards,Best Title,Adrián Orr,Niñato,1
2018,BAFICI Awards,Best Title,Mariano Llinás,La Flor,1
2019,BAFICI Awards,Best Motion picture,"Isabelle Dupuis , Tim Geraghty",The Unicorn,1
2021,BAFICI Awards,Best Motion picture,Javier van de Couter,Implosion,1
2022,BAFICI Awards,Best Feature,"Constanza Feldman, Agustín Mendilaharzu",Clementina,1
2023,BAFICI Awards,Best Motion picture,Anna Shishova,The New Greatness Case,1
2024,BAFICI Awards,Best Motion picture,Luiz Fernando Carvalho,The Passion According To G.H.,1
2025,BAFICI Awards,Best Feature,Juanjo Pereira,"Under the Flags, the Sun",1
2025,BAFICI Awards,Grand Prize (Competencia Internacional),Juanjo Pereira,"Bajo las banderas, el sol",1
