edition_year,edition_number,category_name,nominee_text,film_title,country,lang
2025,46,Golden Pyramid (Best Film),,Dragonfly,UK,English
2025,46,Bronze Pyramid (Special Jury Award),Seamus Alton,As We Breathe,USA,English
2025,46,Best Actor,Majd Eid,Once Upon a Time in Gaza,Palestine,Arabic
2025,46,Best Actress,Andrea Riseborough,Dragonfly,UK,English
2024,45,Golden Pyramid (Best Film),,The New Year That Never Came,Romania,Romanian
2024,45,Silver Pyramid (Special Jury Award),Natalia Nazarova,Postmarks,Russia,Russian
2024,45,Bronze Pyramid (Best First/Second Work),Pedro Freire,Malu,Brazil,Portuguese
2024,45,Best Actor,Lee Kang Sheng,Blue Sun Palace,Taiwan,Mandarin
2024,45,Best Actress,Yara de Novaes,Malu,Brazil,Portuguese
2022,44,Golden Pyramid (Best Film),,Alam,Palestine,Arabic
2022,44,Silver Pyramid (Special Jury Award),Gregorio Graziosi,Tinnitus,Brazil,Portuguese
2022,44,Best Actor,Maher Al Khair,The Dam,Sudan,Arabic
2022,44,Best Actress,Maisa Abd Elhadi,Huda’s Salon,Palestine,Arabic
2021,43,Golden Pyramid (Best Film),,The Hole in the Fence,Mexico,Spanish
2021,43,Silver Pyramid (Special Jury Award),"Mariano Cohn, Gastón Duprat",Official Competition,Spain,Spanish
2021,43,Best Actor,Mohamed Mellali,The Odd-Job Men,Spain,Spanish
2021,43,Best Actress,Swamy Rotolo,A Chiara,Italy,Italian
2020,42,Golden Pyramid (Best Film),,Limbo,UK,English
2020,42,Silver Pyramid (Special Jury Award),"Arab Nasser, Tarzan Nasser",Gaza Mon Amour,Palestine,Arabic
2020,42,Best Actor,Sami Bouajila,A Son,Tunisia,Arabic
2020,42,Best Actress,Ilse Fritch,Naft,Mexico,Spanish
2019,41,Golden Pyramid (Best Film),,I'm No Longer Here,Mexico,Spanish
2019,41,Silver Pyramid (Special Jury Award),Denis Côté,Ghost Town Anthology,Canada,French
2019,41,Best Actor,Juan Daniel Garcia,I'm No Longer Here,Mexico,Spanish
2019,41,Best Actress,Judy Ann Santos,Mindanao,Philippines,Tagalog
2018,40,Golden Pyramid (Best Film),,A Twelve-Year Night,Uruguay,Spanish
2018,40,Silver Pyramid (Special Jury Award),Phuttiphong Aroonpheng,Manta Ray,Thailand,Thai
2018,40,Best Actor,Sherif Desoky,Night/Exterior,Egypt,Arabic
2018,40,Best Actress,Luisa Harland,Sunday's Illness,Spain,Spanish
2017,39,Golden Pyramid (Best Film),,The Intruder,Italy,Italian
2017,39,Silver Pyramid (Special Jury Award),Laura Mora,Killing Jesus,Colombia,Spanish
2017,39,Best Actor,Raouf Ben Amor,Tunis by Night,Tunisia,Arabic
2017,39,Best Actress,Diamand Bou Abboud,Insyriated,Lebanon,Arabic
2016,38,Golden Pyramid (Best Film),,Mimosas,Spain,Spanish
2016,38,Silver Pyramid (Special Jury Award),Licínio Azevedo,The Train of Salt and Sugar,Mozambique,Portuguese
2016,38,Best Actor,Shakib Ben Omar,Mimosas,Spain,Spanish
2016,38,Best Actress,Nahed El Sebaï,A Day for Women,Egypt,Arabic
2015,37,Golden Pyramid (Best Film),,Mediterranea,Italy,Italian
2015,37,Silver Pyramid (Special Jury Award),Dalibor Matanić,The High Sun,Croatia,Croatian
2015,37,Best Actor,Mustafa Shakir,Mediterranea,Italy,Italian
2015,37,Best Actress,Louise Bourgoin,I Am a Soldier,France,French
2014,36,Golden Pyramid (Best Film),,Melbourne,Iran,Farsi
2014,36,Silver Pyramid (Special Jury Award),"Kristina Grozeva, Petar Valchanov",The Lesson,Bulgaria,Bulgarian
2014,36,Best Actor,Khaled Abol Naga,Eyes of Thieves,Palestine,Arabic
2014,36,Best Actress,Adele Haenel,Love at First Fight,France,French
2012,35,Golden Pyramid (Best Film),,Rendez-vous in Kiruna,France,French
2012,35,Silver Pyramid (Special Jury Award),Massoud Bakhshi,A Respectable Family,Iran,Farsi
2010,34,Golden Pyramid (Best Film),,Lust,Egypt,Arabic
2010,34,Silver Pyramid (Special Jury Award),Bertrand Blier,The Clink of Ice,France,French
2010,34,Best Actor,Amr Waked,Lust,Egypt,Arabic
2010,34,Best Actress,Sawsan Badr,Lust,Egypt,Arabic
