year,ceremony,category,nominee,film,won
2024,Cóndor de Plata,Best Title,Luis Ortega,El jockey,1
2024,Cóndor de Plata,Best Movie,Hernán Rosselli,"Algo viejo, algo nuevo, algo prestado",0
2024,Cóndor de Plata,Best Title,Dolores Fonzi,Blondi,0
2024,Cóndor de Plata,Best Feature,Demián Rugna,Cuando acecha la maldad,0
2024,Cóndor de Plata,Best Motion picture,Benjamín Naishtat y María Alché,Puan,0
2024,Cóndor de Plata,Best Movie,Laura Citarella,Trenque Lauquen,0
2023,Cóndor de Plata,Best Movie,Santiago Mitre,"Argentina, 1985",1
2023,Cóndor de Plata,Best Feature,Sebastián Caulier,El monte,0
2023,Cóndor de Plata,Best Movie,Diego Lerman,El suplente,0
2023,Cóndor de Plata,Best Movie,Maximiliano Schonfeld,Jesús López,0
2023,Cóndor de Plata,Best Motion picture,Mariano Biasin,Sublime,0
2022,Cóndor de Plata,Best Movie,Ana Katz,El perro que no calla,1
2022,Cóndor de Plata,Best Motion picture,Valentín Javier Dimentl,El apego,0
2022,Cóndor de Plata,Best Title,Natalia Meta,El prófugo,0
2022,Cóndor de Plata,Best Motion picture,Javier Van de Couter,Implosión,0
2022,Cóndor de Plata,Best Motion picture,Juan Pablo Félix,Karnawal,0
2021,Cóndor de Plata,Best Motion picture,Paula Hernández,Las siamesas,1
2021,Cóndor de Plata,Best Movie,Sebastián Schindel,Crímenes de familia,0
2021,Cóndor de Plata,Best Motion picture,Franco Verdoia,La chancha,0
2021,Cóndor de Plata,Best Movie,Clarisa Navas,Las mil y una,0
2021,Cóndor de Plata,Best Movie,Ezequiel Radusky,Planta permanente,0
2021,Cóndor de Plata,Best Movie,Francisco Márquez,Un crimen común,0
2020,Cóndor de Plata,Best Title,Paula Hernández,Los sonámbulos,1
2020,Cóndor de Plata,Best Title,Santiago Loza,Breve historia del planeta verde,0
2020,Cóndor de Plata,Best Movie,Mariano González,El cuidado de los otros,0
2020,Cóndor de Plata,Best Movie,Natalia Smirnoff,La afinadora de árboles,0
2020,Cóndor de Plata,Best Feature,Ana García Blaya,Las buenas intenciones,0
2020,Cóndor de Plata,Best Movie,Alejandro Fadel,"Muere, monstruo, muere",0
2019,Cóndor de Plata,Best Motion picture,Luis Ortega,El Ángel,1
2019,Cóndor de Plata,Best Feature,Carlos Sorín,Joel,0
2019,Cóndor de Plata,Best Movie,Mariano Llinás,La Flor,0
2019,Cóndor de Plata,Best Movie,Valeria Bertuccelli,La reina del miedo,0
2019,Cóndor de Plata,Best Movie,Benjamín Naishtat,Rojo,0
2018,Cóndor de Plata,Best Motion picture,Lucrecia Martel,Zama,1
2018,Cóndor de Plata,Best Feature,Anahí Berneri,Alanis,0
2018,Cóndor de Plata,Best Motion picture,Israel Adrián Caetano,El otro hermano,0
2018,Cóndor de Plata,Best Motion picture,Julia Solomonoff,Nadie nos mira,0
2018,Cóndor de Plata,Best Title,Diego Lerman,Una especie de familia,0
2017,Cóndor de Plata,Best Feature,Ariel Rotter,La luz incidente,1
2017,Cóndor de Plata,Best Motion picture,Mariano Cohn y Gastón Duprat,El ciudadano ilustre,0
2017,Cóndor de Plata,Best Feature,Lorena Muñoz,"Gilda, no me arrepiento de este amor",0
2017,Cóndor de Plata,Best Movie,Francisco Márquez y Andrea Testa,La larga noche de Francisco Sanctis,0
2017,Cóndor de Plata,Best Title,Luis Ortega,Lulú,0
2016,Cóndor de Plata,Best Movie,Sebastián Schindel,El patrón: radiografía de un crimen,1
2016,Cóndor de Plata,Best Motion picture,Pablo Trapero,El Clan,0
2016,Cóndor de Plata,Best Motion picture,Pablo Agüero,Eva no duerme,0
2016,Cóndor de Plata,Best Movie,Santiago Mitre,La patota,0
2016,Cóndor de Plata,Best Feature,Ana Katz,Mi amiga del parque,0
2015,Cóndor de Plata,Best Title,Diego Lerman,Refugiado,1
2015,Cóndor de Plata,Best Feature,Lisandro Alonso,Jauja,0
2015,Cóndor de Plata,Best Title,Santiago Loza,La Paz,0
2015,Cóndor de Plata,Best Motion picture,Celina Murga,La tercera orilla,0
2015,Cóndor de Plata,Best Motion picture,Damián Szifron,Relatos salvajes,0
2014,Cóndor de Plata,Best Feature,Lucía Puenzo,Wakolda,1
2014,Cóndor de Plata,Best Movie,Marcos Carnevale,Corazón de León,0
2014,Cóndor de Plata,Best Feature,Juan Taratuto,La reconstrucción,0
2014,Cóndor de Plata,Best Feature,Juan José Campanella,Metegol,0
2014,Cóndor de Plata,Best Motion picture,Hernán Goldfrid,Tesis sobre un homicidio,0
2013,Cóndor de Plata,Best Feature,Benjamín Ávila,Infancia clandestina,1
2013,Cóndor de Plata,Best Feature,Carlos Sorín,Días de pesca,0
2013,Cóndor de Plata,Best Movie,Jeanine Meerapfel,El amigo alemán,0
2013,Cóndor de Plata,Best Motion picture,Armando Bó,El último Elvis,0
2013,Cóndor de Plata,Best Feature,Pablo Trapero,Elefante blanco,0
2012,Cóndor de Plata,Best Feature,Pablo Giorgelli,Las acacias,1
2012,Cóndor de Plata,Best Feature,Fernando Spiner,"Aballay, el hombre sin miedo",0
2012,Cóndor de Plata,Best Feature,Santiago Mitre,El estudiante,0
2012,Cóndor de Plata,Best Title,Carlos Sorín,El gato desaparece,0
2012,Cóndor de Plata,Best Motion picture,Santiago Loza e Iván Fund,Los labios,0
2011,Cóndor de Plata,Best Feature,Pablo Trapero,Carancho,1
2011,Cóndor de Plata,Best Movie,Mariano Cohn y Gastón Duprat,El hombre de al lado,0
2011,Cóndor de Plata,Best Motion picture,Héctor Olivera,El mural,0
2011,Cóndor de Plata,Best Title,Diego Lerman,La mirada invisible,0
2011,Cóndor de Plata,Best Motion picture,Anahí Berneri,Por tu culpa,0
2010,Cóndor de Plata,Best Motion picture,Juan José Campanella,El secreto de sus ojos,1
2010,Cóndor de Plata,Best Motion picture,Mariano Cohn y Gastón Duprat,El artista,0
2010,Cóndor de Plata,Best Movie,Pablo Fendrik,La sangre brota,0
