year,film,person,is_winner,raw_text,source_url
1998,Ray Winstone,Nil by Mouth,True,1998 (1st) [ 2 ] | Ray Winstone | Nil by Mouth | Raymond,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,Love and Death on Long Island,Giles De'Ath,False,John Hurt | Love and Death on Long Island | Giles De'Ath,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,My Name Is Joe,Joe Kavanagh,False,Peter Mullan | My Name Is Joe | Joe Kavanagh,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,Regeneration,William Rivers,False,Jonathan Pryce | Regeneration | William Rivers,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1998,Divorcing Jack,Dan Starkey,False,David Thewlis | Divorcing Jack | Dan Starkey,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,Ian McKellen,Gods and Monsters,True,1999 (2nd) [ 3 ] | Ian McKellen | Gods and Monsters | James Whale,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,The Lost Son,Xavier Lombard,False,Daniel Auteuil | The Lost Son | Xavier Lombard,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,Little Voice,Ray Say,False,Michael Caine | Little Voice | Ray Say,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,The Trench,Sgt. Telford Winter,False,Daniel Craig | The Trench | Sgt. Telford Winter,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
1999,The War Zone,Dad,False,Ray Winstone | The War Zone | Dad,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2000,Daniel Craig,Some Voices,True,2000 (3rd) [ 4 ] | Daniel Craig | Some Voices | Ray,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2000,Gangster No. 1,Young Gangster,False,Paul Bettany | Gangster No. 1 | Young Gangster,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2000,Topsy-Turvy,W. S. Gilbert,False,Jim Broadbent | Topsy-Turvy | W. S. Gilbert,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
