year,film,person,is_winner,raw_text,source_url
1998,Kathy Burke,Nil by Mouth,True,1998 (1st) [ 2 ] | Kathy Burke | Nil by Mouth | Valerie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,My Name Is Joe,Sarah Downie,False,Louise Goodall | My Name Is Joe | Sarah Downie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,My Son the Fanatic,Bettina/ Sandra,False,Rachel Griffiths | My Son the Fanatic | Bettina/ Sandra,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,Under the Skin,Iris Kelly,False,Samantha Morton | Under the Skin | Iris Kelly,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1998,The Winter Guest,Frances,False,Emma Thompson | The Winter Guest | Frances,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,Emily Watson,Hilary and Jackie,True,1999 (2nd) [ 3 ] | Emily Watson | Hilary and Jackie | Jacqueline du Pré,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,The War Zone,Jessie,False,Lara Belmont | The War Zone | Jessie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,Hilary and Jackie,Hilary du Pré,False,Rachel Griffiths | Hilary and Jackie | Hilary du Pré,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,Little Voice,LV,False,Jane Horrocks | Little Voice | LV,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
1999,Wonderland,Nadia,False,Gina McKee | Wonderland | Nadia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2000,Gillian Anderson,The House of Mirth,True,2000 (3rd) [ 4 ] | Gillian Anderson | The House of Mirth | Lily Bart,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2000,The Low Down,Ruby,False,Kate Ashfield | The Low Down | Ruby,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2000,Saving Grace,Grace Trevethyn,False,Brenda Blethyn | Saving Grace | Grace Trevethyn,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2000,The Luzhin Defence,Natalia Katkov,False,Emily Watson | The Luzhin Defence | Natalia Katkov,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2001,Kate Ashfield,Late Night Shopping,True,2001 (4th) [ 5 ] | Kate Ashfield | Late Night Shopping | Jody,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2001,Beautiful Creatures,Dorothy,False,Susan Lynch | Beautiful Creatures | Dorothy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2001,Pandaemonium,Sara Coleridge,False,Samantha Morton | Pandaemonium | Sara Coleridge,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2001,Enigma,Hester Wallace,False,Kate Winslet | Enigma | Hester Wallace,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2002,Samantha Morton,Morvern Callar,True,2002 (5th) [ 6 ] [ 7 ] | Samantha Morton | Morvern Callar | Movern Collar,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2002,Disco Pigs,Rent/Sinead,False,Elaine Cassidy | Disco Pigs | Rent/Sinead,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2002,Villa des Roses,Ella,False,Shirley Henderson | Villa des Roses | Ella,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2002,Olive Burrell,,False,Harriet Walter | Olive Burrell,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2003,Olivia Williams,The Heart of Me,True,2003 (6th) [ 8 ] [ 9 ] | Olivia Williams | The Heart of Me | Madeleine,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2003,This Little Life,Sadie McGregor,False,Kate Ashfield | This Little Life | Sadie McGregor,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2003,The Heart of Me,Dinah,False,Helena Bonham Carter | The Heart of Me | Dinah,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2003,In America,Sarah,False,Samantha Morton | In America | Sarah,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2003,Young Adam,Ella Gault,False,Tilda Swinton | Young Adam | Ella Gault,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2004,Imelda Staunton,Vera Drake,True,2004 (7th) [ 10 ] | Imelda Staunton | Vera Drake | Vera Drake,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2004,Ae Fond Kiss...,Roisin Hanlon,False,Eva Birthistle | Ae Fond Kiss... | Roisin Hanlon,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2004,Girl with a Pearl Earring,Griet,False,Scarlett Johansson | Girl with a Pearl Earring | Griet,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2004,My Summer of Love,Mona,False,Natalie Press | My Summer of Love | Mona,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2004,The Mother,May,False,Anne Reid | The Mother | May,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2005,Rachel Weisz,The Constant Gardener,True,2005 (8th) [ 11 ] | Rachel Weisz | The Constant Gardener | Tessa Quayle,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2005,Yes,She,False,Joan Allen | Yes | She,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2005,Mrs Henderson Presents,Mrs. Henderson,False,Judi Dench | Mrs Henderson Presents | Mrs. Henderson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2005,Asylum,Stella Raphael,False,Natasha Richardson | Asylum | Stella Raphael,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2005,Wah-Wah,Ruby Compton,False,Emily Watson | Wah-Wah | Ruby Compton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2006,Kate Dickie,Red Road,True,2006 (9th) [ 12 ] [ 13 ] | Kate Dickie | Red Road | Jackie Morrison,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2006,Breaking and Entering,Amira Simić,False,Juliette Binoche | Breaking and Entering | Amira Simić,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2006,The History Boys,Mrs. Lintott,False,Frances de la Tour | The History Boys | Mrs. Lintott,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2006,The Queen,Queen Elizabeth II,False,Helen Mirren | The Queen | Queen Elizabeth II,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2006,Breaking and Entering,Liv,False,Robin Wright | Breaking and Entering | Liv,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2007,Judi Dench,Notes on a Scandal,True,2007 (10th) [ 14 ] [ 15 ] | Judi Dench | Notes on a Scandal | Barbara Covett,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2007,Brick Lane,Nazneen Ahmed,False,Tannishtha Chatterjee | Brick Lane | Nazneen Ahmed,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
