year,film,person,is_winner,raw_text,source_url
1998,My Name Is Joe,Ken Loach,True,1998 (1st) [ 2 ] | My Name Is Joe | Ken Loach,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1998,Shekhar Kapur,,False,Elizabeth | Shekhar Kapur,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1998,Guy Ritchie,,False,"Lock, Stock and Two Smoking Barrels | Guy Ritchie",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1998,Gary Oldman,,False,Nil by Mouth | Gary Oldman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1998,Shane Meadows,,False,Twenty Four Seven | Shane Meadows,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1999,Wonderland,Michael Winterbottom,True,1999 (2nd) [ 3 ] | Wonderland | Michael Winterbottom,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1999,Bill Condon,,False,Gods and Monsters | Bill Condon,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1999,Anand Tucker,,False,Hilary and Jackie | Anand Tucker,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1999,Shane Meadows,,False,A Room for Romeo Brass | Shane Meadows,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
1999,Tim Roth,,False,The War Zone | Tim Roth,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2000,Billy Elliot,Stephen Daldry,True,2000 (3rd) [ 4 ] | Billy Elliot | Stephen Daldry,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2000,Kevin Macdonald,,False,One Day in September | Kevin Macdonald,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2000,Nigel Cole,,False,Saving Grace | Nigel Cole,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2000,Terence Davies,,False,The House of Mirth | Terence Davies,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2000,Paweł Pawlikowski,,False,The Last Resort | Paweł Pawlikowski,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2001,Sexy Beast,Jonathan Glazer,True,2001 (4th) [ 5 ] | Sexy Beast | Jonathan Glazer,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2001,Ken Loach,,False,Bread and Roses | Ken Loach,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
2001,Joel Hopkins,,False,Jump Tomorrow | Joel Hopkins,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_British_Independent_Film
