year,film,person,is_winner,raw_text,source_url
2017,Lady Macbeth,Ari Wegner,True,2017 (20th) [ 1 ] [ 2 ] | Lady Macbeth | Ari Wegner,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2017,David Gallego,,False,I Am Not a Witch | David Gallego,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2017,Tat Radcliffe,,False,Jawbone | Tat Radcliffe,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2017,Thomas Riedelsheimer,,False,Leaning Into the Wind | Thomas Riedelsheimer,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2017,Ben Davis,,False,"Three Billboards Outside Ebbing, Missouri | Ben Davis",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2018,The Favourite,Robbie Ryan,True,2018 (21st) [ 3 ] [ 4 ] | The Favourite | Robbie Ryan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2018,Ole Bratt Birkeland,,False,American Animals | Ole Bratt Birkeland,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2018,Magnus Joenck,,False,Lean on Pete | Magnus Joenck,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2018,David Ungaro,,False,A Prayer Before Dawn | David Ungaro,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2018,Thomas Townend,,False,You Were Never Really Here | Thomas Townend,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2019,Beats,Benjamin Kračun,True,2019 (22nd) [ 5 ] [ 6 ] | Beats | Benjamin Kračun,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2019,Ari Wegner,,False,In Fabric | Ari Wegner,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2019,Ole Bratt Birkeland,,False,Judy | Ole Bratt Birkeland,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2019,Jamie D. Ramsay,,False,Moffie | Jamie D. Ramsay,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2019,Zac Nicholson,,False,The Personal History of David Copperfield | Zac Nicholson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2020,Saint Maud,Ben Fordesman,True,2020 (23rd) [ 7 ] [ 8 ] | Saint Maud | Ben Fordesman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2020,Jo Willems,,False,His House | Jo Willems,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2020,Nick Cooke,,False,Limbo | Nick Cooke,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2020,Anika Summerson,,False,Mogul Mowgli | Anika Summerson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2020,Hélène Louvart,,False,Rocks | Hélène Louvart,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2021,Boiling Point,Matthew Lewis,True,2021 (24th) [ 9 ] | Boiling Point | Matthew Lewis,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2021,Haris Zambarloukos,,False,Belfast | Haris Zambarloukos,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2021,Annika Summerson,,False,Censor | Annika Summerson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2021,Magda Kowalczyk,,False,Cow | Magda Kowalczyk,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2021,Mátyás Erdély,,False,The Nest | Mátyás Erdély,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2022,Aftersun,Gregory Oke,True,2022 (25th) [ 10 ] [ 11 ] | Aftersun | Gregory Oke,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2022,Joel Honeywell,,False,Kanaval | Joel Honeywell,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2022,Rob Hardy,,False,Men | Rob Hardy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2022,Alfredo de Juan,,False,Nascondino | Alfredo de Juan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2022,Ari Wegner,,False,The Wonder | Ari Wegner,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2023,All of Us Strangers,Jamie D. Ramsay,True,2023 (26th) [ 12 ] [ 13 ] | All of Us Strangers | Jamie D. Ramsay,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2023,Suzie Lavelle,,False,The End We Start From | Suzie Lavelle,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2023,James Rhodes,,False,Femme | James Rhodes,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2023,Olan Collardy,,False,Rye Lane | Olan Collardy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2023,Molly Manning Walker,,False,Scrapper | Molly Manning Walker,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2024,Love Lies Bleeding,Ben Fordesman,True,2024 (27th) [ 14 ] | Love Lies Bleeding | Ben Fordesman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2024,Rob Hardy,,False,Civil War | Rob Hardy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2024,Ryan Kernaghan,,False,Kneecap | Ryan Kernaghan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2024,Pawel Edelman,,False,Lee | Pawel Edelman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
2024,Yunus Roy Imer,,False,The Outrun | Yunus Roy Imer,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Cinematography
