year,film,person,is_winner,raw_text,source_url
1998,Ken Loach,My Name is Joe,True,1998 (1st) [ 1 ] | Ken Loach | My Name is Joe,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1998,Under the Skin,,False,Carine Adler | Under the Skin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1998,Regeneration,,False,Gillies MacKinnon | Regeneration,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1998,Nil by Mouth,,False,Gary Oldman | Nil by Mouth,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1998,"Lock, Stock and Two Smoking Barrels",,False,"Guy Ritchie | Lock, Stock and Two Smoking Barrels",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1999,Anand Tucker,Hilary and Jackie,True,1999 (2nd) [ 2 ] | Anand Tucker | Hilary and Jackie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1999,Gods and Monsters,,False,Bill Condon | Gods and Monsters,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1999,A Room for Romeo Brass,,False,Shane Meadows | A Room for Romeo Brass,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1999,The War Zone,,False,Tim Roth | The War Zone,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
1999,Wonderland,,False,Michael Winterbottom | Wonderland,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2000,Stephen Daldry,Billy Elliot,True,2000 (3rd) [ 3 ] | Stephen Daldry | Billy Elliot,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2000,Saving Grace,,False,Nigel Cole | Saving Grace,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2000,The House of Mirth,,False,Terence Davies | The House of Mirth,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2000,Topsy-Turvy,,False,Mike Leigh | Topsy-Turvy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2000,Last Resort,,False,Paweł Pawlikowski | Last Resort,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2001,Jonathan Glazer,Sexy Beast,True,2001 (4th) [ 4 ] | Jonathan Glazer | Sexy Beast,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2001,Enigma,,False,Michael Apted | Enigma,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2001,Bread and Roses,,False,Ken Loach | Bread and Roses,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2001,The Claim,,False,Michael Winterbottom | The Claim,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2002,Paul Greengrass,Bloody Sunday,True,2002 (5th) [ 5 ] [ 6 ] | Paul Greengrass | Bloody Sunday,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2002,Lawless Heart,,False,Neil Hunter and Tom Hunsinger | Lawless Heart,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2002,Sweet Sixteen,,False,Ken Loach | Sweet Sixteen,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2002,Morvern Callar,,False,Lynne Ramsay | Morvern Callar,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2003,Stephen Frears,Dirty Pretty Things,True,2003 (6th) [ 7 ] [ 8 ] | Stephen Frears | Dirty Pretty Things,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2003,28 Days Later,,False,Danny Boyle | 28 Days Later,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2003,Young Adam,,False,David Mackenzie | Young Adam,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2003,In America,,False,Jim Sheridan | In America,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2003,In This World,,False,Michael Winterbottom | In This World,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2004,Mike Leigh,Vera Drake,True,2004 (7th) [ 9 ] | Mike Leigh | Vera Drake,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2004,Touching the Void,,False,Kevin Macdonald | Touching the Void,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2004,Dead Man's Shoes,,False,Shane Meadows | Dead Man's Shoes,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2004,Enduring Love,,False,Roger Michell | Enduring Love,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2004,My Summer of Love,,False,Paweł Pawlikowski | My Summer of Love,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2005,Neil Marshall,The Descent,True,2005 (8th) [ 10 ] | Neil Marshall | The Descent,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2005,The Libertine,,False,Laurence Dunmore | The Libertine,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2005,Mrs Henderson Presents,,False,Stephen Frears | Mrs Henderson Presents,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2005,The Constant Gardener,,False,Fernando Meirelles | The Constant Gardener,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2005,A Cock and Bull Story,,False,Michael Winterbottom | A Cock and Bull Story,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2006,Kevin Macdonald,The Last King of Scotland,True,2006 (9th) [ 11 ] [ 12 ] | Kevin Macdonald | The Last King of Scotland,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2006,Shooting Dogs,,False,Michael Caton-Jones | Shooting Dogs,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2006,The Queen,,False,Stephen Frears | The Queen,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2006,The Wind That Shakes the Barley,,False,Ken Loach | The Wind That Shakes the Barley,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2006,This Is England,,False,Shane Meadows | This Is England,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2007,Anton Corbijn,Control,True,2007 (10th) [ 13 ] [ 14 ] | Anton Corbijn | Control,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2007,Eastern Promises,,False,David Cronenberg | Eastern Promises,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2007,Brick Lane,,False,Sarah Gavron | Brick Lane,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2007,Hallam Foe,,False,David Mackenzie | Hallam Foe,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2007,And When Did You Last See Your Father?,,False,Anand Tucker | And When Did You Last See Your Father?,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2008,Danny Boyle,Slumdog Millionaire,True,2008 (11th) [ 15 ] [ 16 ] | Danny Boyle | Slumdog Millionaire,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2008,The Boy in the Striped Pyjamas,,False,Mark Herman | The Boy in the Striped Pyjamas,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
2008,Son of Rambow,,False,Garth Jennings | Son of Rambow,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Director
