year,film,person,is_winner,raw_text,source_url
2003,Bodysong,Simon Pummell and Janine Marmot,True,2003 (6th) [ 1 ] [ 2 ] | Bodysong | Simon Pummell and Janine Marmot,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2003,Kerri Davenport-Burton,,False,100 Doors | Kerri Davenport-Burton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2003,Mike Slee,,False,Bugs | Mike Slee,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2003,Daniel Gordon,,False,The Game of Their Lives | Daniel Gordon,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2003,Sophie Fiennes,,False,Hoover Street Revival | Sophie Fiennes,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2004,Touching the Void,Kevin Macdonald and John Smithson,True,2004 (7th) [ 3 ] | Touching the Void | Kevin Macdonald and John Smithson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2004,"Nick Broomfield , Joan Churchill and Jo Human",,False,"Aileen: Life and Death of a Serial Killer | Nick Broomfield , Joan Churchill and Jo Human",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2004,Franny Armstrong,,False,Drowned Out | Franny Armstrong,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2004,Jeremy Gilley,,False,Peace One Day | Jeremy Gilley,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2004,"Madeleine Farley, Philip Moross, Nick Nahum and Simon White",,False,"Trollywood | Madeleine Farley, Philip Moross, Nick Nahum and Simon White",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2005,The Liberace of Baghdad,"Sean McAllister , Nick Fraser, Mette Heide and Mette Hoffman Meyer",True,"2005 (8th) [ 4 ] | The Liberace of Baghdad | Sean McAllister , Nick Fraser, Mette Heide and Mette Hoffman Meyer",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2005,Don Boyd,,False,Andrew and Jeremy Get Married | Don Boyd,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2005,Gary Tarn and John Battsek,,False,Black Sun | Gary Tarn and John Battsek,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
2005,Franny Armstrong and Ken Loach,,False,McLibel | Franny Armstrong and Ken Loach,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Documentary
