year,film,person,is_winner,raw_text,source_url
2017,"Three Billboards Outside Ebbing, Missouri",Jon Gregory,True,"2017 (20th) [ 1 ] [ 2 ] | Three Billboards Outside Ebbing, Missouri | Jon Gregory",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2017,Peter Lambert,,False,The Death of Stalin | Peter Lambert,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2017,David Charap,,False,Jawbone | David Charap,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2017,Joe Martin,,False,Us and Them | Joe Martin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2017,Johnny Burke,,False,Williams | Johnny Burke,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2018,American Animals,"Nick Fenton, Chris Gill and Julian Hart",True,"2018 (21st) [ 3 ] [ 4 ] | American Animals | Nick Fenton, Chris Gill and Julian Hart",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2018,Yorgos Mavropsaridis,,False,The Favourite | Yorgos Mavropsaridis,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2018,Ben Wheatley,,False,"Happy New Year, Colin Burstead | Ben Wheatley",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2018,Marc Boucrot,,False,A Prayer Before Dawn | Marc Boucrot,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2018,Joe Bini,,False,You Were Never Really Here | Joe Bini,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2019,For Sama,Chloe Lambourne and Simon McMahon,True,2019 (22nd) [ 5 ] [ 6 ] | For Sama | Chloe Lambourne and Simon McMahon,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2019,Mark Jenkin,,False,Bait | Mark Jenkin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2019,Chris King,,False,Diego Maradona | Chris King,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2019,Mick Audsley and Peter Lambert,,False,The Personal History of David Copperfield | Mick Audsley and Peter Lambert,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2019,Helle Le Fevre,,False,The Souvenir | Helle Le Fevre,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2020,The Father,Yorgos Lamprinos,True,2020 (23rd) [ 7 ] [ 8 ] | The Father | Yorgos Lamprinos,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2020,Julia Bloch,,False,His House | Julia Bloch,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2020,Brenna Rangott,,False,Host | Brenna Rangott,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2020,Maya Maffioli,,False,Rocks | Maya Maffioli,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
2020,Mark Towns,,False,Saint Maud | Mark Towns,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Editing
