year,film,person,is_winner,raw_text,source_url
2017,The Ritual,Nick Allder and Ben White,True,2017 (20th) [ 1 ] [ 2 ] | The Ritual | Nick Allder and Ben White,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2017,Ronald Grauer and Bernard Newton,,False,The Death of Stalin | Ronald Grauer and Bernard Newton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2017,Dan Martin,,False,Double Date | Dan Martin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2017,Luke Dodd,,False,Journeyman | Luke Dodd,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2017,Chris Reynolds,,False,Their Finest | Chris Reynolds,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2018,Early Man,Howard Jones,True,2018 (21st) [ 3 ] [ 4 ] | Early Man | Howard Jones,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2018,Matthew Strange and Mark Wellband,,False,Dead in a Week (Or Your Money Back) | Matthew Strange and Mark Wellband,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2018,George Zwier and Paul Driver,,False,Peterloo | George Zwier and Paul Driver,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2019,A Shaun the Sheep Movie: Farmageddon,Howard Jones,True,2019 (22nd) [ 5 ] [ 6 ] | A Shaun the Sheep Movie: Farmageddon | Howard Jones,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2019,Andy Quinn,,False,The Boy Who Harnessed the Wind | Andy Quinn,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2019,Paul Mann,,False,In Fabric | Paul Mann,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2020,His House,Pedro Sabrosa and Stefano Pepin,True,2020 (23rd) [ 7 ] [ 8 ] | His House | Pedro Sabrosa and Stefano Pepin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2020,"Scott MacIntyre, Bariş Kareli and Kristyan Mallet",,False,"Saint Maud | Scott MacIntyre, Bariş Kareli and Kristyan Mallet",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2020,Agnes Asplund and Martin Malmqvist,,False,Underdogs | Agnes Asplund and Martin Malmqvist,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2021,DASHCAM,Steven Bray and Mike Knights,True,2021 (24th) [ 9 ] | DASHCAM | Steven Bray and Mike Knights,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2021,"Gary Brown, István Molnár and Dan Martin",,False,"Censor | Gary Brown, István Molnár and Dan Martin",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2021,Rupert Davies,,False,The Electrical Life of Louis Wain | Rupert Davies,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2022,Men,Dadiv Simpson,True,2022 (25th) [ 10 ] [ 11 ] | Men | Dadiv Simpson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2022,Chris Marshall,,False,The Feast | Chris Marshall,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2022,Ahmed Yousry,,False,Nezouh | Ahmed Yousry,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2023,The Kitchen,Jonathan Gales and Richard Baker,True,2023 (26th) [ 12 ] [ 13 ] | The Kitchen | Jonathan Gales and Richard Baker,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2023,Theodor Flo-Groeneboom,,False,The End We Start From | Theodor Flo-Groeneboom,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2023,Paddy Eason,,False,Polite Society | Paddy Eason,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2024,Civil War,David Simpson,True,2024 (27th) [ 14 ] | Civil War | David Simpson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2024,Glen McGuigan and Ingo Putze,,False,Lee | Glen McGuigan and Ingo Putze,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
2024,James Allen,,False,Love Lies Bleeding | James Allen,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Effects
