year,film,person,is_winner,raw_text,source_url
1998,1998,,False,1998 (1st) [ 1 ],https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Best Foreign Independent Film – Foreign Language,,True,Best Foreign Independent Film – Foreign Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,L'Appartement,Gilles Mimouni,True,The Apartment | L'Appartement | Gilles Mimouni | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Juanma Bajo Ulloa,Spain,False,Airbag | Juanma Bajo Ulloa | Spain,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Carne trémula,Pedro Almodóvar,False,Live Flesh | Carne trémula | Pedro Almodóvar,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Véra Belmont,France,False,Marquise | Véra Belmont | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Kari Skogland,Canada,False,Men with Guns | Kari Skogland | Canada,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Best Foreign Independent Film – English Language,,True,Best Foreign Independent Film – English Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Paul Thomas Anderson,United States,True,Boogie Nights | Paul Thomas Anderson | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Jeroen Krabbé,Netherlands,False,Left Luggage | Jeroen Krabbé | Netherlands,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Scott Ziehl,United States,False,Broken Vessels | Scott Ziehl | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Kevin Smith,,False,Chasing Amy | Kevin Smith,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1998,Rob Sitch,Australia,False,The Castle | Rob Sitch | Australia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,1999,,False,1999 (2nd) [ 2 ],https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Best Foreign Independent Film – Foreign Language,,True,Best Foreign Independent Film – Foreign Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Todo sobre mi madre,Pedro Almodóvar,True,All About My Mother | Todo sobre mi madre | Pedro Almodóvar | Spain,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Festen,Thomas Vinterberg,False,The Celebration | Festen | Thomas Vinterberg | Denmark,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,La vita è bella,Roberto Benigni,False,Life Is Beautiful | La vita è bella | Roberto Benigni | Italy,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Catherine Breillat,France,False,Romance | Catherine Breillat | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,La Vie rêvée des anges,Erick Zonca,False,The Dreamlife of Angels | La Vie rêvée des anges | Erick Zonca,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Best Foreign Independent Film – English Language,,True,Best Foreign Independent Film – English Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Todd Solondz,United States,True,Happiness | Todd Solondz | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Vincent Gallo,United States,False,Buffalo '66 | Vincent Gallo | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,John Curran,,False,Praise | John Curran,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Wes Anderson,,False,Rushmore | Wes Anderson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
1999,Daniel Myrick and Eduardo Sánchez,,False,The Blair Witch Project | Daniel Myrick and Eduardo Sánchez,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,2000,,False,2000 (3rd) [ 3 ],https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Best Foreign Independent Film – Foreign Language,,True,Best Foreign Independent Film – Foreign Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Amos Gitai,Israel,True,Kadosh | Amos Gitai | Israel,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Claire Denis,France,False,Beau travail | Claire Denis | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Ceux qui m'aiment prendront le train,Patrice Chéreau,False,Those Who Love Me Can Take the Train | Ceux qui m'aiment prendront le train | Patrice Chéreau,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Frédéric Fonteyne,,False,Une liaison pornographique | Frédéric Fonteyne,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,"荊軻刺秦王, Jīng Kē Cì Qín Wáng",Chen Kaige,False,"The Emperor and the Assassin | 荊軻刺秦王, Jīng Kē Cì Qín Wáng | Chen Kaige | China",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Best Foreign Independent Film – English Language,,True,Best Foreign Independent Film – English Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,David Lynch,United States,True,The Straight Story | David Lynch | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Alison Maclean,Canada,False,Jesus' Son | Alison Maclean | Canada,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Ben Younger,United States,False,Boiler Room | Ben Younger | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Miguel Arteta,,False,Chuck & Buck | Miguel Arteta,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2000,Neil LaBute,,False,Nurse Betty | Neil LaBute,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,2001,,False,2001 (4th) [ 4 ],https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Best Foreign Independent Film – Foreign Language,,True,Best Foreign Independent Film – Foreign Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,"花樣年華, huāyàng niánhuá",Wong Kar-wai,True,"In the Mood for Love | 花樣年華, huāyàng niánhuá | Wong Kar-wai | Hong Kong",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Alejandro González Iñárritu,Mexico,False,Amores perros | Alejandro González Iñárritu | Mexico,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Le Goût des autres,Agnès Jaoui,False,The Taste of Others | Le Goût des autres | Agnès Jaoui | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Sånger från andra våningen,Roy Andersson,False,Songs from the Second Floor | Sånger från andra våningen | Roy Andersson | Sweden,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Best Foreign Independent Film – English Language,,True,Best Foreign Independent Film – English Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Christopher Nolan,United States,True,Memento | Christopher Nolan | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Andrew Dominik,Australia,False,Chopper | Andrew Dominik | Australia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,John Cameron Mitchell,United States,False,Hedwig and the Angry Inch | John Cameron Mitchell | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2001,Marc Singer,,False,Dark Days | Marc Singer,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,2002,,False,2002 (5th) [ 5 ] [ 6 ],https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Best Foreign Independent Film – Foreign Language,,True,Best Foreign Independent Film – Foreign Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Mira Nair,India,True,Monsoon Wedding | Mira Nair | India,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Hable con ella,Pedro Almodóvar,False,Talk to Her | Hable con ella | Pedro Almodóvar | Spain,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Nueve reinas,Fabián Bielinsky,False,Nine Queens | Nueve reinas | Fabián Bielinsky | Argentina,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Alfonso Cuarón,Mexico,False,Y Tu Mamá También | Alfonso Cuarón | Mexico,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Best Foreign Independent Film – English Language,,True,Best Foreign Independent Film – English Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Ray Lawrence,Australia,True,Lantana | Ray Lawrence | Australia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Terry Zwigoff,United States,False,Ghost World | Terry Zwigoff | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Bernard Rose,,False,Ivans XTC | Bernard Rose,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2002,Keith Fulton and Louis Pepe,,False,Lost in La Mancha | Keith Fulton and Louis Pepe,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2003,City of God,Cidade de Deus,True,2003 (6th) [ 7 ] [ 8 ] | City of God | Cidade de Deus | Fernando Meirelles and Kátia Lund | Brazil,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2003,Les Triplettes de Belleville,Sylvain Chomet,False,The Triplets of Belleville | Les Triplettes de Belleville | Sylvain Chomet | France,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2003,Steven Shainberg,United States,False,Secretary | Steven Shainberg | United States,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2003,"千と千尋の神隠し, Sen to Chihiro no Kamikakushi",Hayao Miyazaki,False,"Spirited Away | 千と千尋の神隠し, Sen to Chihiro no Kamikakushi | Hayao Miyazaki | Japan",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
2003,Niki Caro,New Zealand,False,Whale Rider | Niki Caro | New Zealand,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_International_Independent_Film
