year,film,person,is_winner,raw_text,source_url
2017,The Death of Stalin,Nicole Stafford,True,2017 (20th) [ 1 ] [ 2 ] | The Death of Stalin | Nicole Stafford,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2017,Jan Sewellm and Mark Coulier,,False,Breathe | Jan Sewellm and Mark Coulier,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2017,Julene Paton,,False,I Am Not a Witch | Julene Paton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2017,Nadia Stacey,,False,Journeyman | Nadia Stacey,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2017,Sian Wilson,,False,Lady Macbeth | Sian Wilson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2018,The Favourite,Nadia Stacey,True,2018 (21st) [ 3 ] [ 4 ] | The Favourite | Nadia Stacey,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2018,Ivana Primorac,,False,Colette | Ivana Primorac,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2018,Christine Blundell,,False,Peterloo | Christine Blundell,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2018,Stacey Louise Holman,,False,A Prayer Before Dawn | Stacey Louise Holman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2018,Mark Coulier and Jeremy Woodhead,,False,Stan & Ollie | Mark Coulier and Jeremy Woodhead,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
2019,Judy,Jeremy Woodhead,True,2019 (22nd) [ 5 ] [ 6 ] | Judy | Jeremy Woodhead,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Make-Up_%26_Hair_Design
