year,film,person,is_winner,raw_text,source_url
2001,South West 9,Dave Pearce,True,2001 (4th) [ 2 ] | South West 9 | Dave Pearce,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2001,Luke Haines,,False,Christie Malry's Own Double-Entry | Luke Haines,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2001,John Kimbrough,,False,Jump Tomorrow | John Kimbrough,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2001,Dario Marianelli,,False,The Warrior | Dario Marianelli,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2017,"Three Billboards Outside Ebbing, Missouri",Carter Burwell,True,"2017 (20th) [ 3 ] [ 4 ] | Three Billboards Outside Ebbing, Missouri | Carter Burwell",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2017,Christopher Willis,,False,The Death of Stalin | Christopher Willis,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2017,Matthew James Kelly,,False,I Am Not a Witch | Matthew James Kelly,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2017,Paul Weller,,False,Jawbone | Paul Weller,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2017,Fred Frith,,False,Leaning Into the Wind | Fred Frith,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2018,You Were Never Really Here,Jonny Greenwood,True,2018 (21st) [ 5 ] [ 6 ] | You Were Never Really Here | Jonny Greenwood,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2018,Anne Nikitin,,False,American Animals | Anne Nikitin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2018,Jim Williams,,False,Beast | Jim Williams,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
2018,Richard Hawley,,False,Funny Cow | Richard Hawley,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Music
