year,film,person,is_winner,raw_text,source_url
2017,The Death of Stalin,Cristina Casali,True,2017 (20th) [ 1 ] [ 2 ] | The Death of Stalin | Cristina Casali,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2017,Eve Stewart,,False,Film Stars Don't Die in Liverpool | Eve Stewart,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2017,James Merifield,,False,Final Portrait | James Merifield,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2017,Nathan Parker,,False,I Am Not a Witch | Nathan Parker,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2017,Jacqueline Abrahams,,False,Lady Macbeth | Jacqueline Abrahams,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2018,The Favourite,Fiona Crombie,True,2018 (21st) [ 3 ] [ 4 ] | The Favourite | Fiona Crombie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2018,Michael Carlin,,False,Colette | Michael Carlin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2018,Suzie Davies,,False,Peterloo | Suzie Davies,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2018,Beck Rainford,,False,Ray & Liz | Beck Rainford,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2018,John Paul Kelly,,False,Stan & Ollie | John Paul Kelly,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2019,The Personal History of David Copperfield,Cristina Casali,True,2019 (22nd) [ 5 ] [ 6 ] | The Personal History of David Copperfield | Cristina Casali,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2019,Paki Smith,,False,In Fabric | Paki Smith,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2019,Kave Quinn,,False,Judy | Kave Quinn,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2019,Stéphane Collonge,,False,The Souvenir | Stéphane Collonge,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2019,Anne Seibel,,False,The White Crow | Anne Seibel,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2020,His House,Jacqueline Abrahams,True,2020 (23rd) [ 7 ] [ 8 ] | His House | Jacqueline Abrahams,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2020,Peter Francis,,False,The Father | Peter Francis,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2020,Cristina Casali,,False,Misbehaviour | Cristina Casali,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2020,Paulina Rzeszowska,,False,Saint Maud | Paulina Rzeszowska,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2020,Marketa Korinkova and Elo Soode,,False,Underdogs | Marketa Korinkova and Elo Soode,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
2021,The Souvenir Part II,Stéphane Collonge,True,2021 (24th) [ 9 ] | The Souvenir Part II | Stéphane Collonge,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Production_Design
