year,film,person,is_winner,raw_text,source_url
1998,My Name is Joe,Paul Laverty,True,1998 (1st) [ 1 ] | My Name is Joe | Paul Laverty,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1998,Guy Ritchie,,False,"Lock, Stock and Two Smoking Barrels | Guy Ritchie",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1998,Hanif Kureishi,,False,My Son the Fanatic | Hanif Kureishi,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1998,Gary Oldman,,False,Nil by Mouth | Gary Oldman,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1998,Peter Mullan,,False,Orphans | Peter Mullan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1999,East Is East,Ayub Khan-Din,True,1999 (2nd) [ 2 ] | East Is East | Ayub Khan-Din,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1999,Jasmin Dizdar,,False,Beautiful People | Jasmin Dizdar,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1999,Lynne Ramsay,,False,Ratcatcher | Lynne Ramsay,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1999,Paul Fraser and Shane Meadows,,False,A Room for Romeo Brass | Paul Fraser and Shane Meadows,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
1999,David Kane,,False,This Year's Love | David Kane,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
2000,Billy Elliot,Lee Hall,True,2000 (3rd) [ 3 ] | Billy Elliot | Lee Hall,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
2000,Johnny Ferguson,,False,Gangster No. 1 | Johnny Ferguson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Screenplay
