year,film,person,is_winner,raw_text,source_url
2017,God's Own Country,Anna Bertmark,True,2017 (20th) [ 1 ] [ 2 ] | God's Own Country | Anna Bertmark,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2017,Becki Ponting and Ian Wilson,,False,Breathe | Becki Ponting and Ian Wilson,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2017,Maiken Hansen,,False,I Am Not a Witch | Maiken Hansen,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2017,Andy Shelley and Steve Griffiths,,False,Jawbone | Andy Shelley and Steve Griffiths,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2017,Joakim Sundström,,False,"Three Billboards Outside Ebbing, Missouri | Joakim Sundström",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2018,You Were Never Really Here,Paul Davies,True,2018 (21st) [ 3 ] [ 4 ] | You Were Never Really Here | Paul Davies,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2018,Andrew Stirk,,False,American Animals | Andrew Stirk,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2018,Johnnie Burn,,False,The Favourite | Johnnie Burn,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2018,Séverin Favriau,,False,A Prayer Before Dawn | Séverin Favriau,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2018,CJ Mirra,,False,Time Trial | CJ Mirra,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2019,Beats,"David Bowtle-McMillan, Joakim Sundström and Robert Farr",True,"2019 (22nd) [ 5 ] [ 6 ] | Beats | David Bowtle-McMillan, Joakim Sundström and Robert Farr",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2019,"Stephen Griffiths, Tim Cavagin, Max Walsh and Andy Shelley",,False,"Diego Maradona | Stephen Griffiths, Tim Cavagin, Max Walsh and Andy Shelley",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2019,"Anna My Bertmark, Jonathan Seale and Jules Woods",,False,"Gwen | Anna My Bertmark, Jonathan Seale and Jules Woods",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2019,Martin Pavey and Rob Entwistle,,False,In Fabric | Martin Pavey and Rob Entwistle,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2019,"Colin Nicolson, Lee Walpole and Stuart Hilliker",,False,"Wild Rose | Colin Nicolson, Lee Walpole and Stuart Hilliker",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2020,The Reason I Jump,"Nick Ryan, Ben Baird and Sara de Oliveira Lima",True,"2020 (23rd) [ 7 ] [ 8 ] | The Reason I Jump | Nick Ryan, Ben Baird and Sara de Oliveira Lima",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2020,"Adrian Bell, Glenn Freemantle , Frank Kruse, Brendan Nicholson and Richard Pryke",,False,"His House | Adrian Bell, Glenn Freemantle , Frank Kruse, Brendan Nicholson and Richard Pryke",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2020,Calum Sample,,False,Host | Calum Sample,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2020,"Paul Davies, Robert Farr, Nigel Albermaniche and Ian Morgan",,False,"Mogul Mowgli | Paul Davies, Robert Farr, Nigel Albermaniche and Ian Morgan",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2020,"Paul Davies, Simon Farmer and Andrew Stirk",,False,"Saint Maud | Paul Davies, Simon Farmer and Andrew Stirk",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2021,Boiling Point,"James Drake, Rob Entwistle and Kiff McManus",True,"2021 (24th) [ 9 ] | Boiling Point | James Drake, Rob Entwistle and Kiff McManus",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2021,"Tim Harrison, Jamie Roden and Adele Fletcher",,False,"Censor | Tim Harrison, Jamie Roden and Adele Fletcher",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2021,"Nicolas Becker , Cyril Holtz and Linda Forsen",,False,"Cow | Nicolas Becker , Cyril Holtz and Linda Forsen",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2021,"Andrew Stirk, Paul Davies, Morgan Muse, Bernard O'Reilley and Julian Howarth",,False,"Encounter | Andrew Stirk, Paul Davies, Morgan Muse, Bernard O'Reilley and Julian Howarth",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2021,Martin Pavey,,False,IN THE EⱯRTH | Martin Pavey,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2022,Flux Gourmet,"Tim Harrison, Raoul Brand and Cassandra Rutledge",True,"2022 (25th) [ 10 ] [ 11 ] | Flux Gourmet | Tim Harrison, Raoul Brand and Cassandra Rutledge",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2022,Jovan Adjer,,False,Aftersun | Jovan Adjer,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2022,Dom Corbisiero and Dai Shell,,False,The Feast | Dom Corbisiero and Dai Shell,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2022,"Glenn Freemantle , Ben Barker, Gillian Dodders, Howard Bargoff and Mitch Low",,False,"Men | Glenn Freemantle , Ben Barker, Gillian Dodders, Howard Bargoff and Mitch Low",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2022,Hugh Fox and Ben Baird,,False,The Wonder | Hugh Fox and Ben Baird,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2023,Enys Men,Mark Jenkin,True,2023 (26th) [ 12 ] [ 13 ] | Enys Men | Mark Jenkin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2023,"Joakim Sundström , Per Bostrom and Stevie Haywood",,False,"All of Us Strangers | Joakim Sundström , Per Bostrom and Stevie Haywood",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2023,"Jens Rosenlund-Petersen, Amy Felton, Joe Jackson, Tim Cavagin and Lori Dovi",,False,"The End We Start From | Jens Rosenlund-Petersen, Amy Felton, Joe Jackson, Tim Cavagin and Lori Dovi",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2023,Steve Fanagan,,False,How to Have Sex | Steve Fanagan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2023,"Ben Baird, Jack Wensley, Adam Fletcher and Alexej Mungersdorff",,False,"Scrapper | Ben Baird, Jack Wensley, Adam Fletcher and Alexej Mungersdorff",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2024,Civil War,Glenn Freemantle,True,2024 (27th) [ 14 ] | Civil War | Glenn Freemantle,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2024,"Louise Burton, Brendan Rehill, Aza Hand and Simon Kerr",,False,"Kneecap | Louise Burton, Brendan Rehill, Aza Hand and Simon Kerr",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2024,"Mike Prestwood Smith , Csaba Major and Jimmy Boyle",,False,"Lee | Mike Prestwood Smith , Csaba Major and Jimmy Boyle",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2024,"Paul Davies, Andrew Stirk, Linda Forsén, Rose Bladh and Tim Burns",,False,"Love Lies Bleeding | Paul Davies, Andrew Stirk, Linda Forsén, Rose Bladh and Tim Burns",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
2024,"Dominik Leube, Oscar Stiebitz, Jonathan Schorr and Gregor Bonse",,False,"The Outrun | Dominik Leube, Oscar Stiebitz, Jonathan Schorr and Gregor Bonse",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Sound
