year,film,person,is_winner,raw_text,source_url
2003,Susan Lynch,16 Years of Alcohol,True,2003 (6th) [ 2 ] [ 3 ] | Susan Lynch | 16 Years of Alcohol | Mary,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2003,Wilbur Wants to Kill Himself,Alice,False,Shirley Henderson | Wilbur Wants to Kill Himself | Alice,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2003,Dirty Pretty Things,Juliette,False,Sophie Okonedo | Dirty Pretty Things | Juliette,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2003,Wilbur Wants to Kill Himself,Harbour,False,Adrian Rawlins | Wilbur Wants to Kill Himself | Harbour,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2003,Dirty Pretty Things,Guo Yi,False,Benedict Wong | Dirty Pretty Things | Guo Yi,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2004,Eddie Marsan,Vera Drake,True,2004 (7th) [ 4 ] | Eddie Marsan | Vera Drake | Reg,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2004,My Summer of Love,Phil,False,Paddy Considine | My Summer of Love | Phil,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2004,Rory O'Shea Was Here,Siobhán,False,Romola Garai | Rory O'Shea Was Here | Siobhán,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2004,Enduring Love,Claire,False,Samantha Morton | Enduring Love | Claire,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2004,Dead Man's Shoes,Sonny,False,Gary Stretch | Dead Man's Shoes | Sonny,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2005,Rosamund Pike,The Libertine,True,"2005 (8th) [ 5 ] | Rosamund Pike | The Libertine | Elizabeth Wilmot, Countess of Rochester",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2005,A Cock and Bull Story,Captain Toby Shandy / Rob Brydon,False,Rob Brydon | A Cock and Bull Story | Captain Toby Shandy / Rob Brydon,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2005,The Libertine,George Etherege,False,Tom Hollander | The Libertine | George Etherege,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2005,The Constant Gardener,Sir Bernard Pellegrin,False,Bill Nighy | The Constant Gardener | Sir Bernard Pellegrin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2005,Mrs Henderson Presents,Maureen Ashford,False,Kelly Reilly | Mrs Henderson Presents | Maureen Ashford,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2006,Leslie Phillips,Venus,True,2006 (9th) [ 6 ] [ 7 ] | Leslie Phillips | Venus | Ian,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2006,Red Road,Stevie,False,Martin Compston | Red Road | Stevie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2006,This Is England,Woody,False,Joseph Gilgun | This Is England | Woody,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2006,Combo,,False,Stephen Graham | Combo,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2006,Venus,Valerie,False,Vanessa Redgrave | Venus | Valerie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2007,Toby Kebbell,Control,True,2007 (10th) [ 8 ] [ 9 ] | Toby Kebbell | Control | Rob Gretton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2007,Notes on a Scandal,Sheba Hart,False,Cate Blanchett | Notes on a Scandal | Sheba Hart,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2007,And When Did You Last See Your Father?,Blake Morrison,False,Colin Firth | And When Did You Last See Your Father? | Blake Morrison,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
2007,Control,Deborah Curtis,False,Samantha Morton | Control | Deborah Curtis,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Best_Supporting_Actress
