year,film,person,is_winner,raw_text,source_url
1998,Laila Morse,Nil by Mouth,True,1998 (1st) [ 2 ] | Laila Morse | Nil by Mouth | Janet,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1998,Flying Saucer Rock'n'Roll,,False,Enda Hughes (director) | Flying Saucer Rock'n'Roll,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1998,My Funny Valentine,,False,James Breese (director) | My Funny Valentine,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1998,Pocket,,False,Jim Pilkington (director) | Pocket,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1998,Strong Language,,False,Simon Rumley (writer/director) | Strong Language,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1999,Lara Belmont,The War Zone,True,1999 (2nd) [ 3 ] | Lara Belmont | The War Zone | Jessie,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1999,The Darkest Light,Catherine,False,Keri Arnold | The Darkest Light | Catherine,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1999,Lighthouse,,False,Simon Bowles (production designer) | Lighthouse,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
1999,Ratcatcher,,False,Alwin H. Küchler (cinematographer) | Ratcatcher,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Jamie Bell,Billy Elliot,True,2000 (3rd) [ 4 ] | Jamie Bell | Billy Elliot | Billy Elliot,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Going Off Big Time,Mark Clayton,False,Neil Fitzmaurice | Going Off Big Time | Mark Clayton,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Last Resort,Tanya,False,Dina Korzun | Last Resort | Tanya,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Purely Belter,Gerry McCarten,False,Chris Beattie | Purely Belter | Gerry McCarten,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Sewell,,False,Greg McLane | Sewell,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,There's Only One Jimmy Grimble,Jimmy Grimble,False,Lewis McKenzie | There's Only One Jimmy Grimble | Jimmy Grimble,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Justine Wright,One Day in September,True,2000 (3rd) [ 4 ] | Justine Wright (film editor) | One Day in September,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Going Off Big Time,,False,Damian Bromley (cinematographer) | Going Off Big Time,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,Hotel Splendide,,False,Alison Dominitz (production designer) | Hotel Splendide,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,It Was an Accident,,False,Courtney Pine (composer) | It Was an Accident,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2000,The Low Down,,False,Igor Jadue-Lillo (cinematographer) | The Low Down,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2001,Ben Whishaw,My Brother Tom,True,2001 (4th) [ 5 ] | Ben Whishaw | My Brother Tom | Tom,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2001,Jump Tomorrow,Alicia,False,Natalia Verbeke | Jump Tomorrow | Alicia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2001,Princesa,Fernanda,False,Ingrid de Souza | Princesa | Fernanda,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2001,South West 9,Mitch,False,Mark Letheren | South West 9 | Mitch,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2002,Martin Compston,Sweet Sixteen,True,2002 (5th) [ 6 ] [ 7 ] | Martin Compston | Sweet Sixteen | Liam,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2002,Bend It Like Beckham,"Jesminder ""Jess"" Kaur Bhamra",False,"Parminder Nagra | Bend It Like Beckham | Jesminder ""Jess"" Kaur Bhamra",https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2002,Sweet Sixteen,Pinball,False,William Ruane | Sweet Sixteen | Pinball,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2002,Morvern Callar,Lanna,False,Kathleen McDermott | Morvern Callar | Lanna,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2003,Harry Eden,Pure,True,2003 (6th) [ 8 ] [ 9 ] | Harry Eden | Pure | Paul,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2003,Dirty Pretty Things,Okwe/Olatokumbo Fadipe,False,Chiwetel Ejiofor | Dirty Pretty Things | Okwe/Olatokumbo Fadipe,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2003,I Capture the Castle,Cassandra Mortmain,False,Romola Garai | I Capture the Castle | Cassandra Mortmain,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2003,Wilbur Wants to Kill Himself,Wilbur,False,Jamie Sives | Wilbur Wants to Kill Himself | Wilbur,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2004,Ashley Walters,Bullet Boy,True,2004 (7th) [ 10 ] | Ashley Walters | Bullet Boy | Ricky,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2004,Ae Fond Kiss...,Casim Khan,False,Atta Yaqub | Ae Fond Kiss... | Casim Khan,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2004,Dead Man's Shoes,Anthony,False,Toby Kebbell | Dead Man's Shoes | Anthony,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2004,My Summer of Love,Tamsin,False,Emily Blunt | My Summer of Love | Tamsin,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2004,Shaun of the Dead,Ed,False,Nick Frost | Shaun of the Dead | Ed,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2005,Emily Barclay,In My Father's Den,True,2005 (8th) [ 11 ] | Emily Barclay | In My Father's Den | Celia,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2005,The Libertine,Billy Downs,False,Rupert Friend | The Libertine | Billy Downs,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2005,Love + Hate,Naseema,False,Samina Awan | Love + Hate | Naseema,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2005,Millions,Damian Cunningham,False,Alexander Nathan Etel | Millions | Damian Cunningham,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2005,Mrs Henderson Presents,Lady Margot Conway,False,Thelma Barlow | Mrs Henderson Presents | Lady Margot Conway,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
2006,Thomas Turgoose,This Is England,True,2006 (9th) [ 12 ] [ 13 ] | Thomas Turgoose | This Is England | Shaun Fields,https://en.wikipedia.org/wiki/British_Independent_Film_Award_for_Breakthrough_Performance
