year,film,person,is_winner,raw_text,source_url
,The Object of Beauty,Michael Lindsay-Hogg for The Object of Beauty,False,1991 15th | The Object of Beauty | Michael Lindsay-Hogg for The Object of Beauty | Joaquim de Almeida for Family Portrait | Christiane Heinrich for Suspicion,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Those Left Behind,Michael Apted for Thunderheart,False,1992 16th | Those Left Behind | Michael Apted for Thunderheart | Ole Lemmeke for The Naked Trees | Xiu Jingshuang for Those Left Behind,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Curfew,Nabil Maleh for The Extras,False,1993 17th | Curfew | Nabil Maleh for The Extras | Andrzej Seweryn for Amok | Marina Neyolova for You Are My Only One,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Colonel Chabert,Yves Angelo for Colonel Chabert,False,"1994 18th | Colonel Chabert | Yves Angelo for Colonel Chabert | Nour El-Sherif for A Hot Night | Laila Elwi for More Love, Less Violence",https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Flor Contemplacion Story,"Sergei Masloboischikov for Josephine, the Singer and the Mice People",False,"1995 19th | The Flor Contemplacion Story | Sergei Masloboischikov for Josephine, the Singer and the Mice People | Stephen Rea for Citizen X | Nora Aunor for The Flor Contemplacion Story",https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,A Girl Called Apple,Pantelis Voulgaris for Akropol,False,1996 20th | A Girl Called Apple | Pantelis Voulgaris for Akropol | Abu Bakr Ezzat for The Woman and the Hatchet | Julia Jäger for Outside Time,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Chambermaid on the Titanic,Bigas Luna for The Chambermaid on the Titanic,False,1997 21st | The Chambermaid on the Titanic | Bigas Luna for The Chambermaid on the Titanic | Davor Janjić for Outsider | Reem Al-Turki for Ceremonial Wedding Dress,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Malli,Santosh Sivan for Malli,False,1998 22nd | Malli | Santosh Sivan for Malli | Paschalis Tsarouhas for Vasiliki | Mei Ting for A Time to Remember,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,A Major Inconvenience,Martin Šulík for Prague Stories,False,"1999 23rd | A Major Inconvenience | Martin Šulík for Prague Stories (Segment: ""Pictures from the Visit"") | Mahmoud Abdel Aziz for Pleasure Market | Pegah Ahangarani for The Girl in the Sneakers",https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Sigh,Roch Stéphanik for Stand-by,False,2000 24th | Sigh | Roch Stéphanik for Stand-by | Zhang Guoli for Sigh | Xu Fan for Sigh Dominique Blanc for Stand-by,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Pauline and Paulette,Sinișa Dragin for Everyday God Kisses Us on the Mouth,False,2001 25th | Pauline and Paulette | Sinișa Dragin for Everyday God Kisses Us on the Mouth | Paul Freeman for Morlang | Niki Karimi for The Hidden Half,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Last Blues,Mrinal Sen for My Land,False,2002 26th | The Last Blues | Mrinal Sen for My Land | Ahmed Zaki for His Excellency the Minister | Nandita Das for My Land Katayoun Riahi for The Last Supper,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The King,Liang Shan for The Father,False,2003 27th | The King | Liang Shan for The Father | Song Guofeng for The Father | Sandrine Kiberlain & Sylvie Testud for Sole Sisters,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Guardians of the Clouds,Héctor Olivera for Ay Juancito,False,2004 28th | Guardians of the Clouds | Héctor Olivera for Ay Juancito | Adrián Navarro for Ay Juancito Sofocles Peppas for Dust | Eszter Bagaméri for Guarded Secrets Nelly Karim for My Soul Mate,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Mother of Mine,Klaus Härö for Mother of Mine,False,2005 29th [ 19 ] | Mother of Mine | Klaus Härö for Mother of Mine | Bujar Lako for Magic Eye | Maria Lundqvist for Mother of Mine,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Road,Khosro Masumi for Somewhere Too Far,False,2006 30th [ 20 ] | The Road | Khosro Masumi for Somewhere Too Far | Nicolás Mateo for Speed Begets Oblivion | Zhang Jingchu for The Road,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Intimate Enemies,Florent Emilio Siri for Intimate Enemies,False,2007 31st [ 21 ] | Intimate Enemies | Florent Emilio Siri for Intimate Enemies | Albert Dupontel for Intimate Enemies | Marina Magro for Opera Tatyana Lyutaeva for Full Scope,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Return to Hansala,Pernille Fischer Christensen for Dancers,False,2008 32nd [ 22 ] | Return to Hansala | Pernille Fischer Christensen for Dancers | Juan Diego Botto for El Greco | Yolande Moreau for Séraphine,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Letters to Father Jacob,Mona Achache for The Hedgehog,False,2009 33rd [ 23 ] | Letters to Father Jacob | Mona Achache for The Hedgehog | Fathy Abdel Wahab for The Nile Birds Subrat Dutta for Madholal Keep Walking | Karolina Piechota for Splinters,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Lust,Svetoslav Ovtcharov for Voice Over,False,2010 34th [ 24 ] | Lust | Svetoslav Ovtcharov for Voice Over | Amr Waked & Alessandro Gassman for The Father and the Foreigner | Isabelle Huppert for Copacabana Sawsan Badr for Lust,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Rendez-vous in Kiruna,,False,2012 35th [ 25 ] | Rendez-vous in Kiruna |  | Marian Dziędziel for The Fifth season of the Year | Vanessa Di Quattro for Breach in the Silence,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Melbourne,,False,2014 36th [ 26 ] | Melbourne |  | Khaled Abol Naga for Eyes of a Thief | Adèle Haenel for Love at First Fight,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Mediterranea,Dagur Kari for Virgin Mountain,False,2015 37th | Mediterranea | Dagur Kari for Virgin Mountain | Koudous Seihon for Mediterranea | Louise Bourgoin for I Am a Soldier,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Mimosas,Licínio Azevedo for The Train of Salt and Sugar,False,2016 38th | Mimosas | Licínio Azevedo for The Train of Salt and Sugar | Shakib Ben Omar for Mimosas | Nahed El Sebai for A Day for Women,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Intruder,Laura Mora for Killing Jesus,False,2017 39th [ 27 ] | The Intruder | Laura Mora for Killing Jesus | Raouf Ben Amor for Tunis By Night | Diamand Bou Abboud for Insyriated,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,A Twelve-Year Night,Phuttiphong Aroonpheng for Manta Ray Sergei Loznitsa for Donbass,False,2018 40th [ 28 ] | A Twelve-Year Night | Phuttiphong Aroonpheng for Manta Ray Sergei Loznitsa for Donbass | Sherif Desoky for Night/Ext | Zsófia Szamosi for One Day,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,I Am No Longer Here,Bas Devos for Ghost Tropic,False,2019 41st [ 29 ] | I Am No Longer Here | Bas Devos for Ghost Tropic | Juan Daniel Garcia Trevino for I Am No Longer Here | Judy Ann Santos for Mindanao,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Limbo,Ivan I. Tverdovsky for Conference,False,2020 42nd [ 30 ] | Limbo | Ivan I. Tverdovsky for Conference | Yulian Vergov for German Lessons | Elham Shahin for Curfew Natalya Pavlenkova for Conference,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The Hole in the Fence,Laura Samani for Small Body,False,2021 43rd [ 31 ] | The Hole in the Fence | Laura Samani for Small Body | Mohamed Mamdouh for Abu Saddam | Swamy Rotolo for A Chiara,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,Alam,Emmanuelle Nicot for Love According to Dalva,False,2022 44th [ 32 ] | Alam | Emmanuelle Nicot for Love According to Dalva | Maher Elkheir for The Dam Mahmoud Bakri for Alam | Zelda Samson for Love According to Dalva,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
,The New Year That Never Came,Natalia Nazarova for Postmarks,False,2024 45th [ 33 ] [ 34 ] | The New Year That Never Came | Natalia Nazarova for Postmarks | Lee Kang-sheng for Blue Sun Palace Maxim Stoyanov for Postmarks | Yara de Novaes for Malu,https://en.wikipedia.org/wiki/Cairo_International_Film_Festival
