year,film,person,is_winner,raw_text,source_url
,4-11 December 1966,La Noire de... Ousmane Sembène,False,1st | 4-11 December 1966 | La Noire de... Ousmane Sembène ( Senegal ) | The Cry by Jaromil Jireš (Czechoslovakia) | Not awarded,https://en.wikipedia.org/wiki/Carthage_Film_Festival
,13-20 October 1968,Not awarded,False,2nd | 13-20 October 1968 | Not awarded | The Night Watchman by Khalil Chawki (Iraq) | Mokhtar by Sadok Ben Aïcha (Tunisia),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,11-18 October 1970,The body of work of Youssef Chahine Le Choix,False,"3rd | 11-18 October 1970 | The body of work of Youssef Chahine (Egypt) Le Choix | Des hommes au soleil by Nabil Maleh , Marouane El Mouadhen et Mohamed Chahine ( Syria ) | Wechma de Hamid Bénani (Marocco) Une si simple histoire by Abdellatif Ben Ammar (Tunisia) Khlifa the Ringworm by Hamouda Ben Halima (Tunisia)",https://en.wikipedia.org/wiki/Carthage_Film_Festival
,30 September- 8 October 1972,"Les Dupes by Tawfiq Saleh Sambizanga by Sarah Maldoror My Village, a Village among Others by Taïeb Louhichi",False,"4th | 30 September- 8 October 1972 | Les Dupes by Tawfiq Saleh (Syria) Sambizanga by Sarah Maldoror (Democratic Republic of Congo) My Village, a Village among Others by Taïeb Louhichi (Tunisia) | The Charcoal Maker by Mohamed Bouamari (Algeria) | And Tomorrow? Brahim Babaï (Tunisia) Lambaaye de Mahama Johnson Traoré (Senegal) The Cruel Sea by Khaled Al Siddiq",https://en.wikipedia.org/wiki/Carthage_Film_Festival
,26 October -2 November 1974,"Arabs and Niggers, Your Neighbours by Med Hondo Kafr kasem by Borhane Alaouié",False,"5th | 26 October -2 November 1974 | Arabs and Niggers, Your Neighbours by Med Hondo (Mauritania) Kafr kasem by Borhane Alaouié (Libya / Syria) | Sejnane by Abdellatif Ben Ammar (Tunisia) | Not awarded",https://en.wikipedia.org/wiki/Carthage_Film_Festival
,14-23 October 1976,The Ambassadors de Naceur Ktari,False,6th | 14-23 October 1976 | The Ambassadors de Naceur Ktari ( Tunisie / Libya / France ) | Muna Moto by Jean-Pierre Dikongué Pipa (Cameroon) | Nationality: Immigration by Sidney Sokhona (Mauritania),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,16-26 October 1978,The Adventures of a Hero by Merzak Allouache,False,7th | 16-26 October 1978 | The Adventures of a Hero by Merzak Allouache (Algeria) | Baara by Souleymane Cissé ( Mali ) | Chafika et Metwalli by Ali Badrakhan (Egypt),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,15-23 November 1980,Aziza d' Abdellatif Ben Ammar,False,8th | 15-23 November 1980 | Aziza d' Abdellatif Ben Ammar (Tunisia) | Ali au pays des mirages d' Ahmed Rachedi (Algeria) | Fad'jal by Safi Faye (Senegal),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,22-30 October 1982,The Wind by Souleymane Cissé,False,9th | 22-30 October 1982 | The Wind (Binye) by Souleymane Cissé ( Mali ) | God's Gift (Wend Kuni) by Gaston Kaboré ( Burkina Faso ) | Not awarded,https://en.wikipedia.org/wiki/Carthage_Film_Festival
,12-21 October 1984,Dreams of the City Mohamed Malas,False,10th | 12-21 October 1984 | Dreams of the City Mohamed Malas (Syria) | Porté disparu de Mohamed Khan (Egypt) | Les Cooperants by Arthur Si-Bita (Cameroon),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,14-25 October 1986,L'Homme de cendres de Nouri Bouzid,False,11th | 14-25 October 1986 | L'Homme de cendres de Nouri Bouzid (Tunisia) | Mr. Fabre's Windmill (Tahûna al amm Fabre) by Ahmed Rachedi (Algeria) | Nyamanton by Cheick Oumar Sissoko (Mali),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,21-29 October 1988,Wedding in Galilee by Michel Khleifi,False,12th | 21-29 October 1988 | Wedding in Galilee by Michel Khleifi (Palestine) | Zan Boko by Gaston Kaboré (Burkina Faso) | Arab by Fadhel Jaïbi and Fadhel Jaziri (Tunisia),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,26 October-3 November 1990,Halfaouine Child of the Terraces by Férid Boughedir,False,13th | 26 October-3 November 1990 | Halfaouine Child of the Terraces by Férid Boughedir (Tunisia) | Rose of the Desert by Rachid Benhadj (Algeria) | Mortu Nega by Flora Gomes (Guinea-Bissau),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,2-10 October 1992,The Night by Mohamed Malas,False,14th | 2-10 October 1992 | The Night by Mohamed Malas (Syria) | Samba Traoré by Idrissa Ouedraogo (Burkina Faso) | Les Yeux bleus de Yonta by Flora Gomes (Guinea-Bissau),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,12-19 November 1994,The Silences of the Palace by Moufida Tlatli,False,15th | 12-19 November 1994 | The Silences of the Palace by Moufida Tlatli (Tunisia) | Bab El-Oued City de Merzak Allouache (Algeria) | The Golden Ball by Cheik Doukouré (Guinea),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,11- 20 October 1996,Hi Cousin! by Merzak Allouache,False,16th | 11- 20 October 1996 | Hi Cousin! by Merzak Allouache (Algeria) | Po di sangui de Flora Gomes (Guinea-Bissau) | Haïfa de Rashid Masharawi (Palestine),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,23-31 October 1998,Living in Paradise by Bourlem Guerdjou,False,17th | 23-31 October 1998 | Living in Paradise by Bourlem Guerdjou (Algeria) | عرق البلح (فيلم) [ ar ] by Redwan al-Kashif (Egypt) | Faraw! Mother of Dunes d' Abdoulaye Ascofaré ( Mali ),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,20-28 October 2000,Dôlè de Imunga Ivanga,False,18th | 20-28 October 2000 | Dôlè de Imunga Ivanga ( Gabon ) | Closed Doors Atef Hetata (Egypt) | Be My Friend by Naceur Ktari (Tunisia),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,18-26 October 2002,The Price of Forgiveness by Mansour Sora Wade,False,19th | 18-26 October 2002 | The Price of Forgiveness by Mansour Sora Wade (Senegal) | Clay Dolls by Nouri Bouzid (Tunisia) | Hijack Stories by Oliver Schmitz (South Africa),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,2-9 October 2004,"In Casablanca, Angels Don't Fly by Mohamed Asli",False,"20th | 2-9 October 2004 | In Casablanca, Angels Don't Fly by Mohamed Asli (Morocco) | Zulu Love Letter by Ramadan Suleman (South Africa) | Dreamy Visions by Waha Al Raheb (Syria)",https://en.wikipedia.org/wiki/Carthage_Film_Festival
,11-18 November 2006,Making of by Nouri Bouzid,False,21st | 11-18 November 2006 | Making of by Nouri Bouzid ( Tunisia ) | Daratt de Mahamat Saleh Haroun (Chad) | Waiting by Rashid Masharawi (Palestine),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,25 October - 1 November 2008,Teza by Hailé Gerima,False,22nd | 25 October - 1 November 2008 | Teza by Hailé Gerima (Ethiopia) | Laila's Birthday by Rashid Masharawi (Palestine) | Khamsa de Karim Dridi (Tunisia),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,23-31 October 2010,Microphone by Ahmad Abdalla,False,23d | 23-31 October 2010 | Microphone by Ahmad Abdalla (Egypt) | The Trip to Algiers by Abdelkrim Bahloul (Algeria) | The Mosque by Daoud Aoulad-Syad (Marocco),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,16-24 November 2012,La Pirogue by Moussa Touré,False,24th | 16-24 November 2012 | La Pirogue by Moussa Touré (Senegal) | Death for Sale by Faouzi Bensaïdi (Morocco) | Coming Forth by Day by Hala Lotfy (Egypt),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,29 November-6 December 2014,Omar by Hany Abu-Assad,False,25th | 29 November-6 December 2014 | Omar by Hany Abu-Assad (Palestine) | They are the Dogs by Hicham Lasri (Morocco) | Before Snowfall de Hisham Zaman (Iraq),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,21-28 November 2015,The Blind Orchestra by Mohamed Mouftakir,False,26th | 21-28 November 2015 | The Blind Orchestra by Mohamed Mouftakir (Morocco) | The Endless River Oliver Hermanus (South Africa) | As I Open My Eyes by Leyla Bouzid (Tunisia / France / Belgium),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,28 October-5 November 2016,Zaineb Hates the Snow bu Kaouther Ben Hania,False,27th | 28 October-5 November 2016 | Zaineb Hates the Snow bu Kaouther Ben Hania (Tunisia) | Clash by Mohamed Diab (Egypt) | 3000 Nights by Mai Masri (Palestine),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,4-11 November 2017,The Train of Salt and Sugar by Licínio Azevedo,False,28th | 4-11 November 2017 | The Train of Salt and Sugar by Licínio Azevedo ( Mozambique ) | The Wound by John Trengove (South Africa) | Volubilis by Faouzi Bensaïdi (Morocco),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,3-10 November 2018,Fatwa de Mahmoud Ben Mahmoud,False,29th | 3-10 November 2018 | Fatwa de Mahmoud Ben Mahmoud (Tunisia) | Yomeddine by Abu Bakr Shawky (Egypt) | War Travelers by Joud Saïd (Syria),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,26 October-2 November 2019,Noura's Dream by Hinde Boujemaa,False,30th | 26 October-2 November 2019 | Noura's Dream by Hinde Boujemaa (Tunisia) | Atlantique by Mati Diop (Senegal) | Scales by Shahad Ameen (Saudi Arabia),https://en.wikipedia.org/wiki/Carthage_Film_Festival
,7-12 November 2020,Not awarded,False,31st | 7-12 November 2020 | Not awarded | Not awarded | Not awarded,https://en.wikipedia.org/wiki/Carthage_Film_Festival
,30 October-6 November 2021,Feathers by Omar El Zohairy,False,"32nd | 30 October-6 November 2021 | Feathers by Omar El Zohairy (Egypt) | This Is Not a Burial, It's a Resurrection by Lemohang Jeremiah Mosese ( Lesotho ) | Insurrection by Jilani Saadi (Tunisia)",https://en.wikipedia.org/wiki/Carthage_Film_Festival
