year,film,person,is_winner,raw_text,source_url
,Antonio Carotenuto,Scandal in Sorrento,True,Vittorio De Sica | Antonio Carotenuto | Scandal in Sorrento | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Private Giovanni Busacca,The Great War,True,Vittorio Gassman | Private Giovanni Busacca | The Great War | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Private Oreste Jacovacci,The Great War,True,Alberto Sordi | Private Oreste Jacovacci | The Great War,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Second lieutenant Alberto Innocenzi,Everybody Go Home,True,Alberto Sordi | Second lieutenant Alberto Innocenzi | Everybody Go Home | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,"Edoardo ""Eddie"" Carbone",A View from the Bridge,True,"Raf Vallone | Edoardo ""Eddie"" Carbone | A View from the Bridge | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Bruno Cortona,Il Sorpasso,True,Vittorio Gassmann | Bruno Cortona | Il Sorpasso | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Carmine Sbaratti / Renzo / Augusto Rusconi,"Yesterday, Today and Tomorrow",True,"Marcello Mastroianni | Carmine Sbaratti / Renzo / Augusto Rusconi | Yesterday, Today and Tomorrow | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giuliano Maria,Hard Time for Princes,True,Vittorio Gassmann | Giuliano Maria | Hard Time for Princes | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Domenico Soriano,Marriage Italian-Style,True,Marcello Mastroianni | Domenico Soriano | Marriage Italian-Style,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Dante Fontana,Fumo di Londra,True,Alberto Sordi | Dante Fontana | Fumo di Londra | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Francesco Vincenzini,The Tiger and the Pussycat,True,Vittorio Gassmann | Francesco Vincenzini | The Tiger and the Pussycat | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Sergio Masini,The Climax,True,Ugo Tognazzi | Sergio Masini | The Climax,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Captain Bellodi,The Day of the Owl,True,Franco Nero | Captain Bellodi | The Day of the Owl | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Cacopardo / Angelo Perfili / Ercole / Voyeur / Telephone operator / Maurizio / Nanni,I See Naked,True,Nino Manfredi | Cacopardo / Angelo Perfili / Ercole / Voyeur / Telephone operator / Maurizio / Nanni | I See Naked | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Dr. Guido Tersilli,Be Sick... It's Free,True,Alberto Sordi | Dr. Guido Tersilli | Be Sick... It's Free,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Cornacchia / Pasquino,The Conspirators,True,Nino Manfredi | Cornacchia / Pasquino | The Conspirators | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,"Il Dottore, Former Head of Homicide Squad",Investigation of a Citizen Above Suspicion,True,"Gian Maria Volonté | Il Dottore, Former Head of Homicide Squad | Investigation of a Citizen Above Suspicion",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Annibale Doberdò,Lady Caliph,True,Ugo Tognazzi | Annibale Doberdò | Lady Caliph | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Carmelo 'Mimì' Mardocheo,The Seduction of Mimi,True,Giancarlo Giannini | Carmelo 'Mimì' Mardocheo | The Seduction of Mimi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giuseppe Di Noi,In Prison Awaiting Trial,True,Alberto Sordi | Giuseppe Di Noi | In Prison Awaiting Trial,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Peppino,The Scientific Cardplayer,True,Alberto Sordi | Peppino | The Scientific Cardplayer | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giovanni 'Nino' Garofoli,Bread and Chocolate,True,Nino Manfredi | Giovanni 'Nino' Garofoli | Bread and Chocolate | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Captain Fausto Consolo,Scent of a Woman,True,Vittorio Gassmann | Captain Fausto Consolo | Scent of a Woman | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Felice 'Felix' Brianza,The Con Artists,True,Adriano Celentano | Felice 'Felix' Brianza | The Con Artists | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Raffaello Mascetti,My Friends,True,Ugo Tognazzi | Raffaello Mascetti | My Friends,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giovanni Vivaldi,An Average Little Man,True,Alberto Sordi | Giovanni Vivaldi | An Average Little Man | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Monsignor Colombo da Priverno,In the Name of the Pope King,True,Nino Manfredi | Monsignor Colombo da Priverno | In the Name of the Pope King | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Albino Millozzi,Dear Father,True,Vittorio Gassman | Albino Millozzi | Dear Father | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Guido Quiller,Velvet Hands,True,Adriano Celentano | Guido Quiller | Velvet Hands | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Gaetano,I'm Starting from Three,True,Massimo Troisi | Gaetano | I'm Starting from Three | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Berardo Viola,Fontamara,False,Michele Placido | Berardo Viola | Fontamara,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Pasquale Amitrano / Furio Zoccano / Mimmo,"Bianco, rosso e Verdone",False,"Carlo Verdone | Pasquale Amitrano / Furio Zoccano / Mimmo | Bianco, rosso e Verdone",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Sergio Benvenuti,Talcum Powder,True,Carlo Verdone | Sergio Benvenuti | Talcum Powder | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giovanni,Looking for Jesus,False,Beppe Grillo | Giovanni | Looking for Jesus,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Marquess Onofrio del Grillo / Gasperino,Il marchese del Grillo,False,Alberto Sordi | Marquess Onofrio del Grillo / Gasperino | Il marchese del Grillo,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Francesco 'Toscano' Piccioli,The Pool Hustlers,True,Francesco Nuti | Francesco 'Toscano' Piccioli | The Pool Hustlers | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Philip Neri,State buoni se potete,False,Johnny Dorelli | Philip Neri | State buoni se potete,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giacomo Casanova,That Night in Varennes,False,Marcello Mastroianni | Giacomo Casanova | That Night in Varennes,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Salvatore Cannavacciuolo,Where's Picone?,True,Giancarlo Giannini | Salvatore Cannavacciuolo | Where's Picone? | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Francesco,Son contento,False,Francesco Nuti | Francesco | Son contento,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Michele Apicella,Sweet Body of Bianca,False,Nanni Moretti | Michele Apicella | Sweet Body of Bianca,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Francesco 'Toscano' Piccioli,"Casablanca, Casablanca",True,"Francesco Nuti | Francesco 'Toscano' Piccioli | Casablanca, Casablanca | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,The forgetful man,A Proper Scandal,False,Ben Gazzara | The forgetful man | A Proper Scandal,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Mario Vialone,Pizza Connection,False,Michele Placido | Mario Vialone | Pizza Connection,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Pippo Botticella / Fred,Ginger and Fred,True,Marcello Mastroianni | Pippo Botticella / Fred | Ginger and Fred | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Father Giulio,The Mass Is Ended,False,Nanni Moretti | Father Giulio | The Mass Is Ended,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Romeo Casamonica,All the Fault of Paradise,False,Francesco Nuti | Romeo Casamonica | All the Fault of Paradise,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Adult Carlo / Carlo's grandfather,The Family,True,Vittorio Gassman | Adult Carlo / Carlo's grandfather | The Family | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Franco Mattioli,Christmas Present,False,Diego Abatantuono | Franco Mattioli | Christmas Present,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Aldo Moro,The Moro Affair,False,Gian Maria Volonté | Aldo Moro | The Moro Affair,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Romano,Dark Eyes,True,Marcello Mastroianni † | Romano | Dark Eyes | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Dr. Athos Fadigati,The Gold Rimmed Glasses,False,Philippe Noiret | Dr. Athos Fadigati | The Gold Rimmed Glasses,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Carlo Piergentili,Io e mia sorella,False,Carlo Verdone | Carlo Piergentili | Io e mia sorella,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Giuditta,The Little Devil,True,Roberto Benigni | Giuditta | The Little Devil | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Francis II of the Two Sicilies,O Re,False,Giancarlo Giannini | Francis II of the Two Sicilies | 'O Re,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Piero Ruffolo,Compagni di scuola,False,Carlo Verdone | Piero Ruffolo | Compagni di scuola,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Prefect Gonnella,The Voice of the Moon,True,Paolo Villaggio | Prefect Gonnella | The Voice of the Moon | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Judge Vito Di Francesco,Open Doors,True,Gian Maria Volonté | Judge Vito Di Francesco | Open Doors,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
,Paolo,Little Misunderstandings,False,Sergio Castellitto | Paolo | Little Misunderstandings,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Actor
