year,film,person,is_winner,raw_text,source_url
,Gianni Franciolini,Roman Tales,True,1955/56 | Gianni Franciolini | Roman Tales | Racconti romani,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Nights of Cabiria,Le notti di Cabiria,True,Federico Fellini | Nights of Cabiria | Le notti di Cabiria,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Tempest,La tempesta,True,Alberto Lattuada | Tempest | La tempesta,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Federico Fellini,La dolce vita,True,1959/60 (5th) | Federico Fellini | La dolce vita,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,La notte,,True,Michelangelo Antonioni | La notte,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Il posto,,True,Ermanno Olmi | Il posto,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Condemned of Altona,,True,Vittorio De Sica | The Condemned of Altona,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Seduced and Abandoned,,True,Pietro Germi | Seduced and Abandoned,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Marriage Italian-Style,,True,Vittorio De Sica | Marriage Italian-Style,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Moment of Truth,,True,Francesco Rosi | The Moment of Truth,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,"Me, Me, Me... and the Others",,True,"Alessandro Blasetti | Me, Me, Me... and the Others",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,"The Birds, the Bees and the Italians",,True,"Pietro Germi | The Birds, the Bees and the Italians",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Misunderstood,,True,Luigi Comencini | Misunderstood,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Bandits in Milan,,True,Carlo Lizzani | Bandits in Milan,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Romeo and Juliet,,True,Franco Zeffirelli | Romeo and Juliet,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Gillo Pontecorvo,Burn!,True,1969/70 (15th) | Gillo Pontecorvo | Burn!,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Death in Venice,,True,Luchino Visconti | Death in Venice,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,"Duck, You Sucker!",,True,"Sergio Leone | Duck, You Sucker!",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,"Brother Sun, Sister Moon",,True,"Franco Zeffirelli | Brother Sun, Sister Moon",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Ludwig,,True,Luchino Visconti | Ludwig,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Amarcord,,True,Federico Fellini | Amarcord,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Scent of a Woman,,True,Dino Risi | Scent of a Woman,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,My Friends,,True,Mario Monicelli | My Friends,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Illustrious Corpses,,True,Francesco Rosi | Illustrious Corpses,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,An Average Little Man,,True,Mario Monicelli | An Average Little Man,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Desert of the Tartars,,True,Valerio Zurlini | The Desert of the Tartars,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,A Special Day,,True,Ettore Scola | A Special Day,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Christ Stopped at Eboli,,True,Francesco Rosi | Christ Stopped at Eboli,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Marco Bellocchio,A Leap in the Dark,True,1979/80 (25th) | Marco Bellocchio | A Leap in the Dark,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Ogro,,True,Gillo Pontecorvo | Ogro,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Three Brothers,,True,Francesco Rosi | Three Brothers,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Eugenio,,False,Luigi Comencini | Eugenio,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Passion of Love,,False,Ettore Scola | Passion of Love,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Tales of Ordinary Madness,,True,Marco Ferreri | Tales of Ordinary Madness,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Opportunities of Rosa,,False,Salvatore Piscicelli | The Opportunities of Rosa,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Talcum Powder,,False,Carlo Verdone | Talcum Powder,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Night of the Shooting Stars,,True,Paolo and Vittorio Taviani | The Night of the Shooting Stars,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Blow to the Heart,,False,Gianni Amelio | Blow to the Heart,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,That Night in Varennes,,False,Ettore Scola | That Night in Varennes,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Le Bal,,True,Ettore Scola | Le Bal,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,And the Ship Sails On,,False,Federico Fellini | And the Ship Sails On,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Where's Picone?,,False,Nanni Loy | Where's Picone?,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Carmen,,True,Francesco Rosi | Carmen,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Bank Clerks,,False,Pupi Avati | Bank Clerks,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Kaos,,False,Paolo and Vittorio Taviani | Kaos,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Let's Hope It's a Girl,,True,Mario Monicelli | Let's Hope It's a Girl,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Ginger and Fred,,False,Federico Fellini | Ginger and Fred,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Mass Is Ended,,False,Nanni Moretti | The Mass Is Ended,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Family,,True,Ettore Scola | The Family,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Christmas Present,,False,Pupi Avati | Christmas Present,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,A Tale of Love,,False,Francesco Maselli | A Tale of Love,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Last Emperor,,True,Bernardo Bertolucci | The Last Emperor,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Intervista,,False,Federico Fellini | Intervista,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Dark Eyes,,False,Nikita Sergeevič Mikhalkov | Dark Eyes,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,The Legend of the Holy Drinker,,True,Ermanno Olmi | The Legend of the Holy Drinker,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Forever Mery,,False,Marco Risi | Forever Mery,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
,Cinema Paradiso,,False,Giuseppe Tornatore | Cinema Paradiso,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Director
