year,film,person,is_winner,raw_text,source_url
,Marina Cicogna and Daniele Senatore,,True,Investigation of a Citizen Above Suspicion | Marina Cicogna and Daniele Senatore | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Gianni Hecht Lucari,,True,Metello | Gianni Hecht Lucari,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Maurizio Lodi-Fè,,True,The Conformist | Maurizio Lodi-Fè | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Artur Brauner , Arthur Cohn , and Gianni Hecht Lucari",,True,"The Garden of the Finzi-Continis | Artur Brauner , Arthur Cohn , and Gianni Hecht Lucari",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Dino De Laurentiis,,True,Waterloo | Dino De Laurentiis,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mario Cecchi Gori,,True,This Kind of Love | Mario Cecchi Gori | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Guglielmo Colonna,,True,"Alfredo, Alfredo | Guglielmo Colonna | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Ugo Santalucia and Dieter Geissler,,True,Ludwig | Ugo Santalucia and Dieter Geissler [ de ],https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Cristaldi,,True,Amarcord | Franco Cristaldi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Maurizio Lodi-Fè,,True,Bread and Chocolate | Maurizio Lodi-Fè,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giovanni Bertolucci,,True,Conversation Piece | Giovanni Bertolucci | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giovanni Di Clemente,,True,Drama of the Rich | Giovanni Di Clemente,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Alberto Grimaldi,,True,Illustrious Corpses | Alberto Grimaldi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Aurelio De Laurentiis and Luigi De Laurentiis,,True,An Average Little Man | Aurelio De Laurentiis and Luigi De Laurentiis | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Michelle de Broca, Bahman Farmanara , Mario Gallo , Enzo Giulioli, Jacques Perrin , and Giorgio Silvagni",,True,"The Desert of the Tartars | Michelle de Broca, Bahman Farmanara , Mario Gallo , Enzo Giulioli, Jacques Perrin , and Giorgio Silvagni",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Committeri,,True,In the Name of the Pope King | Franco Committeri | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Gianni Hecht Lucari,,True,I Am the Law | Gianni Hecht Lucari,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Nicola Carraro and Franco Cristaldi,,True,Christ Stopped at Eboli | Nicola Carraro and Franco Cristaldi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Brusati and Claudio Grassetti,,True,To Forget Venice | Franco Brusati and Claudio Grassetti,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mauro Berardi,,True,I'm Starting from Three | Mauro Berardi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Committeri,,False,Passion of Love | Franco Committeri,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giorgio Nocella and Antonio Macrì,,False,Three Brothers | Giorgio Nocella and Antonio Macrì,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mario Cecchi Gori and Vittorio Cecchi Gori,,True,Talcum Powder | Mario Cecchi Gori and Vittorio Cecchi Gori | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Renzo Rossellini,,False,Il marchese del Grillo | Renzo Rossellini,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Jacqueline Ferreri,,False,Tales of Ordinary Madness | Jacqueline Ferreri,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giuliani G. De Negri,,True,The Night of the Shooting Stars | Giuliani G. De Negri | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Enzo Porcelli,,False,Blow to the Heart | Enzo Porcelli,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Renzo Rossellini,,False,That Night in Varennes | Renzo Rossellini,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Cristaldi,,True,And the Ship Sails On | Franco Cristaldi | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mohammed Lakhdar-Hamina and Giorgio Silvagni,,True,Le Bal | Mohammed Lakhdar-Hamina and Giorgio Silvagni,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Antonio Avati and Gianni Minervini,,False,Where's Picone? | Antonio Avati and Gianni Minervini,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Marcel Dassault , Patrice Ledoux , and Alain Poiré",,True,"Carmen | Marcel Dassault , Patrice Ledoux , and Alain Poiré | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giuliani G. De Negri,,False,Kaos | Giuliani G. De Negri,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Fulvio Lucisano,,False,A Proper Scandal | Fulvio Lucisano,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giovanni Di Clemente,,True,Let's Hope It's a Girl | Giovanni Di Clemente | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Alberto Grimaldi and Heinz Bibo,,False,Ginger and Fred | Alberto Grimaldi and Heinz Bibo,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Achille Manzotti,,False,The Mass Is Ended | Achille Manzotti,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Committeri,,True,The Family | Franco Committeri | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Antonio Avati,,False,Christmas Present | Antonio Avati,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Carlo Tuzii,,False,A Tale of Love | Carlo Tuzii,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Jeremy Thomas,,True,The Last Emperor § | Jeremy Thomas | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Carlo Cucchi and Silvia D'Amico Bendicò,,False,Dark Eyes | Carlo Cucchi and Silvia D'Amico Bendicò,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Ibrahim Moussa,,False,Intervista | Ibrahim Moussa,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Roberto Cicutto and Vincenzo Di Leo,,True,The Legend of the Holy Drinker | Roberto Cicutto and Vincenzo Di Leo | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Franco Cristaldi and Giovanna Romagnoli,,False,Cinema Paradiso | Franco Cristaldi and Giovanna Romagnoli,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Roberta Cadringher, Giulio Scanni, and Jost Steinbruchel",,False,"Francesco | Roberta Cadringher, Giulio Scanni, and Jost Steinbruchel",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Angelo Rizzoli Jr.,,True,Open Doors | Angelo Rizzoli Jr. | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Giovanni Di Clemente,,False,Dark Illness | Giovanni Di Clemente,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Nella Banfi, Angelo Barbagallo, and Nanni Moretti",,False,"Red Wood Pigeon | Nella Banfi, Angelo Barbagallo, and Nanni Moretti",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Antonio Avati, Pupi Avati , Emanuela Guzzardi, Giorgio Leopardi, and Gianfranco Piccioli",,False,"The Story of Boys & Girls | Antonio Avati, Pupi Avati , Emanuela Guzzardi, Giorgio Leopardi, and Gianfranco Piccioli",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mario Cecchi Gori and Vittorio Cecchi Gori,,False,The Voice of the Moon | Mario Cecchi Gori and Vittorio Cecchi Gori,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Silvio Berlusconi , Mario Cecchi Gori , Vittorio Cecchi Gori , and Gianni Minervini",,True,"Mediterraneo | Silvio Berlusconi , Mario Cecchi Gori , Vittorio Cecchi Gori , and Gianni Minervini | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Guido De Laurentiis and Leo Pescarolo,,True,Towards Evening | Guido De Laurentiis and Leo Pescarolo,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Augusto Caminito and Giovanna Romagnoli,,False,The House of Smiles | Augusto Caminito and Giovanna Romagnoli,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Domenico Procacci,,False,The Station | Domenico Procacci,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Angelo Barbagallo and Nanni Moretti,,False,The Yes Man | Angelo Barbagallo and Nanni Moretti,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Stefano Mufanò and Angelo Rizzoli Jr.,,True,The Stolen Children | Stefano Mufanò and Angelo Rizzoli Jr. | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Mario Cecchi Gori and Vittorio Cecchi Gori,,False,Damned the Day I Met You | Mario Cecchi Gori and Vittorio Cecchi Gori,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Mario Cecchi Gori , Vittorio Cecchi Gori , and Maurizio Tedesco",,False,"The Invisible Wall | Mario Cecchi Gori , Vittorio Cecchi Gori , and Maurizio Tedesco",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Guido De Laurentiis, Fulvio Lucisano , and Leo Pescarolo",,True,"The Great Pumpkin | Guido De Laurentiis, Fulvio Lucisano , and Leo Pescarolo | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Claudio Bonivento,,False,The Escort | Claudio Bonivento,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Gianna Bellavia, Elda Ferri , Áron Sipos, and Dénes Szekeres",,False,"Jonah Who Lived in the Whale | Gianna Bellavia, Elda Ferri , Áron Sipos, and Dénes Szekeres",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Nella Banfi, Angelo Barbagallo, and Nanni Moretti",,True,"Caro diario | Nella Banfi, Angelo Barbagallo, and Nanni Moretti | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Aurelio De Laurentiis,,False,"For Love, Only for Love | Aurelio De Laurentiis",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Vittorio Cecchi Gori,,False,Let's Not Keep in Touch | Vittorio Cecchi Gori,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Vittorio Cecchi Gori,,True,La scuola | Vittorio Cecchi Gori | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Angelo Curti, Andrea Occhipinti , and Kermit Smith",,False,"Nasty Love | Angelo Curti, Andrea Occhipinti , and Kermit Smith",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Mario Cecchi Gori , Vittorio Cecchi Gori , and Gaetano Daniele",,False,"Il Postino: The Postman * | Mario Cecchi Gori , Vittorio Cecchi Gori , and Gaetano Daniele",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Vittorio Cecchi Gori and Rita Cecchi Gori,,True,August Vacation | Vittorio Cecchi Gori and Rita Cecchi Gori | ,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Pio Angeletti and Adriano De Micheli,,False,Celluloide | Pio Angeletti and Adriano De Micheli,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Vittorio Cecchi Gori and Rita Cecchi Gori,,False,The Star Maker | Vittorio Cecchi Gori and Rita Cecchi Gori,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,Jeremy Thomas,,False,Stealing Beauty | Jeremy Thomas,https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
,"Véra Belmont , Guido De Laurentiis, and Leo Pescarolo",,True,"The Truce | Véra Belmont , Guido De Laurentiis, and Leo Pescarolo | ",https://en.wikipedia.org/wiki/David_di_Donatello_for_Best_Film
