year,film,person,is_winner,raw_text,source_url
1943,The Song of Bernadette,Henry King,True,1943 | The Song of Bernadette | Henry King | William Perlberg,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1944,Going My Way,Leo McCarey,True,1944 | Going My Way | Leo McCarey | Leo McCarey,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1945,The Lost Weekend,Billy Wilder,True,1945 | The Lost Weekend | Billy Wilder | Charles Brackett,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1946,The Best Years of Our Lives,William Wyler,True,1946 | The Best Years of Our Lives | William Wyler | Samuel Goldwyn,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1947,Gentleman's Agreement,Elia Kazan,True,1947 | Gentleman's Agreement | Elia Kazan | Darryl F. Zanuck,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1948,Johnny Belinda,Jean Negulesco,True,1948 | Johnny Belinda | Jean Negulesco | Jerry Wald,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1948,John Huston,Henry Blanke,True,The Treasure of the Sierra Madre | John Huston | Henry Blanke,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1949,All the King's Men,Robert Rossen,True,1949 | All the King's Men | Robert Rossen | Robert Rossen,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1949,Henry Koster,Samuel G. Engel,False,Come to the Stable | Henry Koster | Samuel G. Engel,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1950,Sunset Boulevard,Billy Wilder,True,1950 | Sunset Boulevard | Billy Wilder | Charles Brackett,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1950,Joseph L. Mankiewicz,Darryl F. Zanuck,False,All About Eve | Joseph L. Mankiewicz | Darryl F. Zanuck,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1950,George Cukor,S. Sylvan Simon,False,Born Yesterday | George Cukor | S. Sylvan Simon,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1950,Michael Gordon,Stanley Kramer,False,Cyrano de Bergerac | Michael Gordon | Stanley Kramer,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1950,Henry Koster,John Beck,False,Harvey | Henry Koster | John Beck,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1951,A Place in the Sun,George Stevens,True,1951 | A Place in the Sun | George Stevens | George Stevens,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1951,Mark Robson,Robert Buckner,False,Bright Victory | Mark Robson | Robert Buckner,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1951,William Wyler,,False,Detective Story | William Wyler,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1951,Mervyn LeRoy,Sam Zimbalist,False,Quo Vadis | Mervyn LeRoy | Sam Zimbalist,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1951,Elia Kazan,Charles K. Feldman,False,A Streetcar Named Desire | Elia Kazan | Charles K. Feldman,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1952,The Greatest Show on Earth,Cecil B. DeMille,True,1952 | The Greatest Show on Earth | Cecil B. DeMille | Cecil B. DeMille,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1952,Daniel Mann,Hal B. Wallis,False,"Come Back, Little Sheba | Daniel Mann | Hal B. Wallis",https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1952,Richard Fleischer,Earl Fenton,False,The Happy Time | Richard Fleischer | Earl Fenton,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1952,Fred Zinnemann,Stanley Kramer,False,High Noon | Fred Zinnemann | Stanley Kramer,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1952,Russell Rouse,Clarence Greene,False,The Thief | Russell Rouse | Clarence Greene,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1953,The Robe,Henry Koster,True,1953 | The Robe | Henry Koster | Frank Ross,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
1954,On the Waterfront,Elia Kazan,True,1954 [ 6 ] [ 7 ] | On the Waterfront | Elia Kazan | Sam Spiegel,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Drama
