year,film,person,is_winner,raw_text,source_url
1951,An American in Paris,Vincente Minnelli,True,1951 [ 3 ] [ 4 ] | An American in Paris | Vincente Minnelli | Arthur Freed,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1952,With a Song in My Heart,Walter Lang,True,1952 | With a Song in My Heart | Walter Lang | Lamar Trotti,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1952,Charles Vidor,Samuel Goldwyn,False,Hans Christian Andersen | Charles Vidor | Samuel Goldwyn,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1952,Michael Curtiz,Louis F. Edelman,False,I'll See You in My Dreams | Michael Curtiz | Louis F. Edelman,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1952,Stanley Donen and Gene Kelly,Arthur Freed,False,Singin' in the Rain | Stanley Donen and Gene Kelly | Arthur Freed,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1952,Henry Koster,Lamar Trotti,False,Stars and Stripes Forever | Henry Koster | Lamar Trotti,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1953,No Award given.,,False,1953 | No Award given.,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1954,Carmen Jones,Otto Preminger,True,1954 [ 5 ] [ 6 ] | Carmen Jones | Otto Preminger | Otto Preminger,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1955,Guys and Dolls,Joseph L. Mankiewicz,True,1955 [ 7 ] [ 8 ] | Guys and Dolls | Joseph L. Mankiewicz | Samuel Goldwyn,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1956,The King and I,Walter Lang,True,1956 | The King and I | Walter Lang | Charles Brackett & Darryl F. Zanuck,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
1956,Joshua Logan,Buddy Adler,False,Bus Stop | Joshua Logan | Buddy Adler,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_%E2%80%93_Musical_or_Comedy
