year,film,person,is_winner,raw_text,source_url
,2001,Jean-Pierre Jeunet,False,1st | 2001 | Jean-Pierre Jeunet | Inch'Allah Dimanche | Yamina Benguigui | First edition of the festival.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2002,Jeanne Moreau,False,2nd | 2002 | Jeanne Moreau | Go | Isao Yukisada | Focused on Asian cinema.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2003,Roman Polanski,False,3rd | 2003 | Roman Polanski | Gori vatra | Pjer Žalica | Strong presence of Balkan films.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2004,Alan Parker,False,4th | 2004 | Alan Parker | Sideways | Alexander Payne | Homage to American independent cinema.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2005,Jean-Jacques Annaud,False,5th | 2005 | Jean-Jacques Annaud | Saratan | Ernest Abdyshaparov | Central Asia spotlight.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2006,Miloš Forman,False,6th | 2006 | Miloš Forman | The Red Cockatoo | Dominik Graf | Tribute to German cinema.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2007,Michael Lonsdale,False,7th | 2007 | Michael Lonsdale | Autumn Ball | Veiko Õunpuu | Focus on Eastern European filmmakers.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2008,Barry Levinson,False,8th | 2008 | Barry Levinson | Wild Field (Dikoe Pole) | Mikhail Kalatozov | Strong Russian cinema representation.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2009,Abbas Kiarostami,False,9th | 2009 | Abbas Kiarostami | Norteado | Rigoberto Pérezcano | Tribute to Latin American cinema.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2010,Emir Kusturica,False,10th | 2010 | Emir Kusturica | The Journals of Musan | Park Jung-bum | Korean cinema recognized.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2011,Emir Kusturica,False,11th | 2011 | Emir Kusturica | Out of Bounds | Frederikke Aspöck | Scandinavian cinema award.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2012,John Boorman,False,12th | 2012 | John Boorman | The Attack | Ziad Doueiri | Strong Arab cinema selection.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2013,Martin Scorsese,False,13th | 2013 | Martin Scorsese | Han Gong-ju | Lee Su-jin | Homage to Asian emerging directors.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2014,Isabelle Huppert,False,14th | 2014 | Isabelle Huppert | Corrections Class | Ivan I. Tverdovsky | Focus on youth in cinema.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2015,Francis Ford Coppola,False,15th | 2015 | Francis Ford Coppola | Very Big Shot | Mir-Jean Bou Chaaya | Lebanese cinema honored.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2016,Béla Tarr,False,16th | 2016 | Béla Tarr | The Donor | Zang Qiwu | China recognized for storytelling.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2018,James Gray,False,17th | 2018 | James Gray | Joy | Sudabeh Mortezai | Austrian-Iranian filmmaker spotlight.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2019,Rebecca Zlotowski,False,18th | 2019 | Rebecca Zlotowski | Valley of Souls | Nicolás Rincón Gille | Latin America again prominent.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2022,Paolo Sorrentino,False,19th | 2022 | Paolo Sorrentino | A Tale of Shemroon | Emad Aleebrahim Dehkordi | Iranian youth cinema focus.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2023,Jessica Chastain,False,20th | 2023 | Jessica Chastain | The Mother of All Lies | Asmae El Moudir | Moroccan documentary awarded.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2024,Luca Guadagnino,False,21st | 2024 | Luca Guadagnino | Happy Holidays | Scandar Copti | Palestinian cinema recognition.,https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
,2025,Bong Joon-ho,False,"22nd | 2025 | Bong Joon-ho | Promised Sky | Erige Sehiri | ""A unique drama about marginalized African immigrant women fighting for their dignity and place not in Europe…but on their own continent"" [ 19 ]",https://en.wikipedia.org/wiki/Marrakech_International_Film_Festival
