year,film,person,is_winner,raw_text,source_url
,3,,False,"The technical direction of the show | 3",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
,2,,False,"The direction of performances | 2",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
,4,,False,"The directorial interpretation of the script | 4",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
,9,,True,"Total score | 9",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2006,"28 October 2006",Tsotsi,False,"1st SAFTA [ 16 ] | 28 October 2006 | Tsotsi | Quanita Adams | Presley Chweneyagae | Hard Copy | City Ses'la | Isidingo | No Award | David Kau | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2007,"27 October 2007","Goodbye Bafana",False,"2nd SAFTA [ 17 ] | 27 October 2007 | Goodbye Bafana | Pauline Malefane | Leon Schuster | When We Were Black | Laugh Out Loud | Generations | No Award | David Kau | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2009,"7 February 2009","No Award",False,"3rd SAFTA [ 18 ] | 7 February 2009 | No Award | No Award | No Award | Bay of Plenty | City Ses'la | Isidingo | Confessions of a Gambler | Trevor Noah | State Theatre",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2010,"20 February 2010","Shirley Adams",False,"4th SAFTA [ 19 ] | 20 February 2010 | Shirley Adams | Denise Newman | Kenneth Nkosi | Sokhulu & Partners | Family Bonds | 7de Laan | Phillip Miller | John Vlismas | State Theatre",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2011,"27 February 2011","Life, Above All",False,"5th SAFTA [ 20 ] | 27 February 2011 | Life, Above All | Khomotso Manyaka | Themba Ndaba | Erfsondes | Proesstraat | Rhythm City | Restless Natives | Thami Ngubeni Joey Rasdien | Melrose Arch",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2012,"10 March 2012","Black Butterflies",False,"6th SAFTA [ 21 ] | 10 March 2012 | Black Butterflies |  | Deon Lotz | Intersexsions | Gauteng Maboneng | Isidingo | Phillip Miller | Bridget Masinga Jeannie D | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2013,"17 March 2013",Material,False,"7th SAFTA [ 22 ] | 17 March 2013 | Material | Lindiwe Ndlovo | Riaad Moosa | 4Play: Sex Tips for Girls | No Award | 7de Laan | Michael Bester | Connie Ferguson Nik Rabinowitz | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2014,"5 April 2014","Of good report",False,"8th SAFTA [ 23 ] | 5 April 2014 | Of good report | Antoinette Louw | Mathusi Magano | Intersexsions | ZA News | 7de Laan | Bruce Retief | Tumi Morake Iminam Tatiya | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2015,"22 March 2015","Four Corners",False,"9th SAFTA [ 24 ] | 22 March 2015 | Four Corners | Thishiwe Ziqubu | Jezriel Skei | Swartwater | ZA News | Isibaya | Markus Wormstorm | Loyiso Gola | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2016,"20 March 2016","Dis ek, Anna",False,"10th SAFTA [ 25 ] | 20 March 2016 | Dis ek, Anna | Fulu Mughovani | Mduduzi Mabaso | Umlilo | ZA News | Rhythm City | Mpho Nthangeni | Minnie Dlamini Katlego Maboe | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2017,"16 March 2017",Sink,False,"11th SAFTA [ 26 ] | 16 March 2017 | Sink | Shoki Mokgape | Dann-Jacques Mouton | Heist | Puppet Nation ZANews | The Road | Chris Letcher | Thando Thabethe Katlego Maboe | Sun City",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2018,"25 March 2018",Inxeba,False,"12th SAFTA [ 27 ] | 25 March 2018 | Inxeba | Crystal-Donna Roberts | Nakhane Touré | Tjovitjo | Puppet Nation ZANews | Isibaya & Uzalo | Rashid Lanie | Thando Thabethe Phat Joe | Sun City",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2019,"2 March 2019","Sew the Winter to My Skin",False,"13th SAFTA [ 28 ] | 2 March 2019 | Sew the Winter to My Skin | Jill Levenberg | Jarrid Geduld | Lockdown | Tali's Wedding Diary | The River | Quinn Lubbe | Rorisang Thandekiso Pearl Modiadie Thomas Msengane Somizi somGee Mhlongo | Sun City",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2020,"29 April 2020","Fiela se Kind",False,"14th SAFTA [ 29 ] | 29 April 2020 | Fiela se Kind | Clementine Mosimane | Bongile Mantsai | The Republic | No Award | Rhythm City | Chris Letcher |  | Virtual Event",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2021,"21 May 2021",Toorbos,False,"15th SAFTA [ 30 ] | 21 May 2021 | Toorbos | Tinarie Van Wyk-Loots | Tshamano Sebe | Blood & Water | The Riviera | Rhythm City | Andries Smit | Dineo Langa Mpho Popps Graeme Richards | Virtual Event",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2022,"3 September 2022","I Am All Girls",False,"16th SAFTA [ 31 ] | 3 September 2022 | I Am All Girls | Hlubi Mboya-Arnold | Jafta Mamabolo | 4 Mure | Tali's Baby Diary | Suidooster | Ebenhaezer Smal | Khutso Theledi Mpho Popps Ryle De Morny | Virtual Event",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2023,"30 September 2023",Gaia,False,"17th SAFTA [ 32 ] | 30 September 2023 | Gaia | Noxolo Dlamini | Jarrid Geduld | Lavish | How to Ruin Christmas | Scandal! | Pierre-Henri Wicomb | Zozibini Tunzi Lawrence Maleka Carl Wastie | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
2023,"30 September 2023",Gaia,False,"17th SAFTA [ 32 ] | 30 September 2023 | Gaia | Noxolo Dlamini | Jarrid Geduld | Lavish | How to Ruin Christmas | Scandal! | Pierre-Henri Wicomb | Zozibini Tunzi Lawrence Maleka Carl Wastie | Gallagher Estate",https://en.wikipedia.org/wiki/South_African_Film_and_Television_Awards
