year,ceremony,category,nominee,film,won
1963,Diosas de Plata,Best Picture,Película de 1963 Sol,Película de 1963 Sol,1
1963,Diosas de Plata,Best Picture,Película 2 de 1963,Película 2 de 1963,0
1963,Diosas de Plata,Best Picture,Película 16 de 1963,Película 16 de 1963,0
1963,Diosas de Plata,Best Picture,Película 73 de 1963,Película 73 de 1963,0
1963,Diosas de Plata,Best Director,María Pérez,Película de 1963 Muerte,1
1963,Diosas de Plata,Best Helmer,Isabel Ruiz,Película 6 de 1963,0
1963,Diosas de Plata,Best Filmmaker,Laura Álvarez,Película 72 de 1963,0
1963,Diosas de Plata,Best Helmer,Elena Gómez,Película 65 de 1963,0
1963,Diosas de Plata,Best Actor,Carmen López,Película de 1963 Vida,1
1963,Diosas de Plata,Best Actor,Miguel Fernández,Película 25 de 1963,0
1963,Diosas de Plata,Best Actor,Elena Ruiz,Película 24 de 1963,0
1963,Diosas de Plata,Best Actor,Raúl Ruiz,Película 31 de 1963,0
1963,Diosas de Plata,Best Actress,Carlos Martínez,Película de 1963 Muerte,1
1963,Diosas de Plata,Best Actress,Elena Álvarez,Película 3 de 1963,0
1963,Diosas de Plata,Best Actress,Laura Díaz,Película 47 de 1963,0
1963,Diosas de Plata,Best Actress,Isabel Díaz,Película 27 de 1963,0
1963,Diosas de Plata,Best Supporting Actor,Luis López,Película de 1963 Muerte,1
1963,Diosas de Plata,Best Supporting Actor,Pedro Ruiz,Película 63 de 1963,0
1963,Diosas de Plata,Best Supporting Actor,Isabel Ruiz,Película 2 de 1963,0
1963,Diosas de Plata,Best Supporting Actor,Laura Díaz,Película 58 de 1963,0
1963,Diosas de Plata,Best Supporting Actress,Carlos Hernández,Película de 1963 Corazón,1
1963,Diosas de Plata,Best Supporting Actress,Isabel Álvarez,Película 92 de 1963,0
1963,Diosas de Plata,Best Supporting Actress,Laura Álvarez,Película 57 de 1963,0
1963,Diosas de Plata,Best Supporting Actress,Laura Ruiz,Película 89 de 1963,0
1964,Diosas de Plata,Best Picture,Película de 1964 Luna,Película de 1964 Luna,1
1964,Diosas de Plata,Best Picture,Película 77 de 1964,Película 77 de 1964,0
1964,Diosas de Plata,Best Picture,Película 96 de 1964,Película 96 de 1964,0
1964,Diosas de Plata,Best Picture,Película 16 de 1964,Película 16 de 1964,0
1964,Diosas de Plata,Best Helmer,Carlos Hernández,Película de 1964 Muerte,1
1964,Diosas de Plata,Best Filmmaker,Laura Álvarez,Película 56 de 1964,0
1964,Diosas de Plata,Best Helmer,Laura Díaz,Película 47 de 1964,0
1964,Diosas de Plata,Best Director,Isabel Díaz,Película 66 de 1964,0
1964,Diosas de Plata,Best Actor,José Pérez,Película de 1964 Tierra,1
1964,Diosas de Plata,Best Actor,Isabel Ruiz,Película 45 de 1964,0
1964,Diosas de Plata,Best Actor,Miguel Díaz,Película 33 de 1964,0
1964,Diosas de Plata,Best Actor,Raúl Fernández,Película 35 de 1964,0
1964,Diosas de Plata,Best Actress,Ana González,Película de 1964 Tierra,1
1964,Diosas de Plata,Best Actress,Miguel Díaz,Película 80 de 1964,0
1964,Diosas de Plata,Best Actress,Isabel Ruiz,Película 68 de 1964,0
1964,Diosas de Plata,Best Actress,Isabel Álvarez,Película 24 de 1964,0
1964,Diosas de Plata,Best Supporting Actor,Rosa Pérez,Película de 1964 Corazón,1
1964,Diosas de Plata,Best Supporting Actor,Raúl Ruiz,Película 72 de 1964,0
1964,Diosas de Plata,Best Supporting Actor,Isabel Gómez,Película 39 de 1964,0
1964,Diosas de Plata,Best Supporting Actor,Miguel Ruiz,Película 81 de 1964,0
1964,Diosas de Plata,Best Supporting Actress,Rosa Hernández,Película de 1964 Luna,1
1964,Diosas de Plata,Best Supporting Actress,Isabel Gómez,Película 60 de 1964,0
1964,Diosas de Plata,Best Supporting Actress,Laura Ruiz,Película 77 de 1964,0
1964,Diosas de Plata,Best Supporting Actress,Elena Fernández,Película 52 de 1964,0
1965,Diosas de Plata,Best Picture,Película de 1965 Tierra,Película de 1965 Tierra,1
1965,Diosas de Plata,Best Picture,Película 20 de 1965,Película 20 de 1965,0
1965,Diosas de Plata,Best Picture,Película 95 de 1965,Película 95 de 1965,0
1965,Diosas de Plata,Best Picture,Película 53 de 1965,Película 53 de 1965,0
1965,Diosas de Plata,Best Helmer,Carlos Pérez,Película de 1965 Tierra,1
1965,Diosas de Plata,Best Filmmaker,Miguel Álvarez,Película 7 de 1965,0
1965,Diosas de Plata,Best Helmer,Raúl Fernández,Película 9 de 1965,0
1965,Diosas de Plata,Best Helmer,Elena Díaz,Película 24 de 1965,0
1965,Diosas de Plata,Best Actor,Jorge López,Película de 1965 Sol,1
1965,Diosas de Plata,Best Actor,Raúl Díaz,Película 40 de 1965,0
1965,Diosas de Plata,Best Actor,Raúl Fernández,Película 1 de 1965,0
1965,Diosas de Plata,Best Actor,Pedro Díaz,Película 76 de 1965,0
1965,Diosas de Plata,Best Actress,Rosa García,Película de 1965 Corazón,1
