year,ceremony,category,nominee,film,won
1963,Diosas de Plata,Best Picture,Viridiana,Viridiana,1
1963,Diosas de Plata,Best Director,Luis Buñuel,Viridiana,1
1963,Diosas de Plata,Best Actor,Fernando Rey,Viridiana,1
1963,Diosas de Plata,Best Actress,Silvia Pinal,Viridiana,1
1963,Diosas de Plata,Best Supporting Actor,Francisco Rabal,Viridiana,1
1963,Diosas de Plata,Best Supporting Actress,Margarita Lozano,Viridiana,1
1963,Diosas de Plata,Best Screenplay,Luis Buñuel,Viridiana,1
1963,Diosas de Plata,Best Cinematography,José F. Aguayo,Viridiana,1
1964,Diosas de Plata,Best Picture,Los olvidados,Los olvidados,1
1964,Diosas de Plata,Best Director,Luis Buñuel,Los olvidados,1
1964,Diosas de Plata,Best Actor,Alfonso Mejía,Los olvidados,1
1964,Diosas de Plata,Best Actress,Estela Inda,Los olvidados,1
1964,Diosas de Plata,Best Supporting Actor,Roberto Cobo,Los olvidados,1
1964,Diosas de Plata,Best Supporting Actress,Alma Delia Fuentes,Los olvidados,1
1964,Diosas de Plata,Best Screenplay,Luis Buñuel,Los olvidados,1
1964,Diosas de Plata,Best Cinematography,Gabriel Figueroa,Los olvidados,1
1965,Diosas de Plata,Best Picture,La ilusión viaja en tranvía,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Director,Luis Buñuel,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Actor,Lilia Prado,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Actress,Lilia Prado,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Supporting Actor,Carlos Navarro,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Supporting Actress,Begoña Palacios,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Screenplay,Luis Buñuel,La ilusión viaja en tranvía,1
1965,Diosas de Plata,Best Cinematography,Gabriel Figueroa,La ilusión viaja en tranvía,1
1966,Diosas de Plata,Best Picture,Los olvidados,Los olvidados,1
1966,Diosas de Plata,Best Director,Luis Buñuel,Los olvidados,1
1966,Diosas de Plata,Best Actor,Alfonso Mejía,Los olvidados,1
1966,Diosas de Plata,Best Actress,Estela Inda,Los olvidados,1
1966,Diosas de Plata,Best Supporting Actor,Roberto Cobo,Los olvidados,1
1966,Diosas de Plata,Best Supporting Actress,Alma Delia Fuentes,Los olvidados,1
1966,Diosas de Plata,Best Screenplay,Luis Buñuel,Los olvidados,1
1966,Diosas de Plata,Best Cinematography,Gabriel Figueroa,Los olvidados,1
1967,Diosas de Plata,Best Picture,El gallo de oro,El gallo de oro,1
1967,Diosas de Plata,Best Director,Roberto Gavaldón,El gallo de oro,1
1967,Diosas de Plata,Best Actor,Ignacio López Tarso,El gallo de oro,1
1967,Diosas de Plata,Best Actress,Lucha Villa,El gallo de oro,1
1967,Diosas de Plata,Best Supporting Actor,Narciso Busquets,El gallo de oro,1
1967,Diosas de Plata,Best Supporting Actress,Columba Domínguez,El gallo de oro,1
1967,Diosas de Plata,Best Screenplay,Gabriel García Márquez,El gallo de oro,1
1967,Diosas de Plata,Best Cinematography,Gabriel Figueroa,El gallo de oro,1
1968,Diosas de Plata,Best Picture,El ángel exterminador,El ángel exterminador,1
1968,Diosas de Plata,Best Director,Luis Buñuel,El ángel exterminador,1
1968,Diosas de Plata,Best Actor,Enrique Rambal,El ángel exterminador,1
1968,Diosas de Plata,Best Actress,Silvia Pinal,El ángel exterminador,1
1968,Diosas de Plata,Best Supporting Actor,Claudio Brook,El ángel exterminador,1
1968,Diosas de Plata,Best Supporting Actress,Jacqueline Andere,El ángel exterminador,1
1968,Diosas de Plata,Best Screenplay,Luis Buñuel,El ángel exterminador,1
1968,Diosas de Plata,Best Cinematography,Gabriel Figueroa,El ángel exterminador,1
1969,Diosas de Plata,Best Picture,Simón del desierto,Simón del desierto,1
1969,Diosas de Plata,Best Director,Luis Buñuel,Simón del desierto,1
1969,Diosas de Plata,Best Actor,Claudio Brook,Simón del desierto,1
1969,Diosas de Plata,Best Actress,Silvia Pinal,Simón del desierto,1
1969,Diosas de Plata,Best Supporting Actor,Hortensia Santoveña,Simón del desierto,1
1969,Diosas de Plata,Best Supporting Actress,Enrique Álvarez Félix,Simón del desierto,1
1969,Diosas de Plata,Best Screenplay,Luis Buñuel,Simón del desierto,1
1969,Diosas de Plata,Best Cinematography,Gabriel Figueroa,Simón del desierto,1
1970,Diosas de Plata,Best Picture,Río Escondido,Río Escondido,1
1970,Diosas de Plata,Best Director,Emilio Fernández,Río Escondido,1
1970,Diosas de Plata,Best Actor,Carlos López Moctezuma,Río Escondido,1
1970,Diosas de Plata,Best Actress,María Félix,Río Escondido,1
1970,Diosas de Plata,Best Supporting Actor,Fernando Fernández,Río Escondido,1
1970,Diosas de Plata,Best Supporting Actress,Columba Domínguez,Río Escondido,1
1970,Diosas de Plata,Best Screenplay,Emilio Fernández,Río Escondido,1
1970,Diosas de Plata,Best Cinematography,Gabriel Figueroa,Río Escondido,1
