edition_year,edition_number,category_name,nominee_text,film_title,country,lang
2025,8,Golden Star (Best Narrative Feature),,A Poet,Egypt,Arabic
2025,8,Silver Star,,The Lucky One,France,French
2025,8,Bronze Star,,Colonia,Egypt,Arabic
2025,8,Best Arab Narrative Feature,,Where the Wind Takes Us,Tunisia,Arabic
2025,8,Best Actor,Ahmed Malek,Colonia,Egypt,Arabic
2025,8,Best Actress,Léa Drucker,For Adam,France,French
2024,7,Golden Star (Best Narrative Feature),,Ghost Trail,France,French/Arabic
2024,7,Silver Star,,The Kingdom,France,French
2024,7,Bronze Star,,Girls Will Be Girls,India,English/Hindi
2024,7,Best Arab Narrative Feature,,Thank You for Banking with Us!,Palestine,Arabic
2024,7,Best Actor,Adam Bessa,Ghost Trail,Tunisia,Arabic
2024,7,Best Actress,Laura Weissmahr,Salve Maria,Spain,Spanish
2023,6,Golden Star (Best Narrative Feature),,In Our Day,South Korea,Korean
2023,6,Silver Star,,A Greyhound of a Girl,Ireland,English
2023,6,Bronze Star,,A Strange Path,Brazil,Portuguese
2023,6,Best Arab Narrative Feature,,Transient Happiness,Iraq,Arabic
2023,6,Best Actor,Bottsooj Uortaikh,If Only I Could Hibernate,Mongolia,Mongolian
2023,6,Best Actress,Parwin Rajabi,Transient Happiness,Iraq,Arabic
2021,4,Golden Star (Best Narrative Feature),,The Blind Man Who Did Not Want to See Titanic,Finland,Finnish
2021,4,Silver Star,,Sundown,Mexico,English/Spanish
2021,4,Bronze Star,,Captain Volkonogov Escaped,Russia,Russian
2021,4,Best Arab Narrative Feature,,Feathers,Egypt,Arabic
2021,4,Best Actor,Petri Poikolainen,The Blind Man Who Did Not Want to See Titanic,Finland,Finnish
2021,4,Best Actress,Maya Vanderbeque,Playground,Belgium,French
2019,3,Golden Star (Best Narrative Feature),,You Will Die at Twenty,Sudan,Arabic
2019,3,Best Arab Narrative Feature,,You Will Die at Twenty,Sudan,Arabic
2019,3,Best Actor,Bartosz Bielenia,Corpus Christi,Poland,Polish
2019,3,Best Actress,Hend Sabry,Noura's Dream,Tunisia,Arabic
2018,2,Golden Star (Best Narrative Feature),,A Land Imagined,Singapore,Mandarin/English
2018,2,Silver Star,,Ray & Liz,UK,English
2018,2,Bronze Star,,The Heiresses,Paraguay,Spanish
2018,2,Best Arab Narrative Feature,,Yomeddine,Egypt,Arabic
2018,2,Best Actor,Mohamed Dhrif,Dear Son,Tunisia,Arabic
2018,2,Best Actress,Joanna Kulig,Cold War,Poland,Polish
2017,1,Golden Star (Best Narrative Feature),,Scary Mother,Georgia,Georgian
2017,1,Silver Star,,The Insult,Lebanon,Arabic/French
2017,1,Bronze Star,,Arrhythmia,Russia,Russian
2017,1,Best Arab Narrative Feature,,Photocopy,Egypt,Arabic
2017,1,Best Actor,Daniel Giménez Cacho,Zama,Argentina,Spanish
2017,1,Best Actress,Nadia Kunda,Volubilis,Morocco,Arabic/French
