year,ceremony,category,nominee,film,won
1985,Crystal Simorgh Awards,Best Motion picture,Mostazafan Foundation 's West Azerbaijan Province branch,The Scarecrow,1
1986,Crystal Simorgh Awards,Best Motion picture,Farabi Cinema Foundation,Frosty Roads,1
1986,Crystal Simorgh Awards,Best Motion picture,Peikar Company,The Grandfather,1
1986,Crystal Simorgh Awards,Best Title,Eifa Cinema Organization,The Finish Line,1
1986,Crystal Simorgh Awards,Best Motion picture,Ayat Film,The Bus,1
1987,Crystal Simorgh Awards,Best Title,Rasoul Mollagholipour,The Flight in the Night,1
1987,Crystal Simorgh Awards,Best Motion picture,Alireza Zarrin,Where Is the Friend's Home?,0
1987,Crystal Simorgh Awards,Best Movie,Haroun Yashayaei and Mohammad-Ali Soltan-Zadeh,Captain Khorshid,0
1987,Crystal Simorgh Awards,Best Motion picture,Haroun Yashayaei and Mohammad-Ali Soltan-Zadeh,The Lodgers,0
1987,Crystal Simorgh Awards,Best Feature,Masoud Jafari Jozani and Alireza Shoja Nouri,The Stony Lion,0
1989,Crystal Simorgh Awards,Best Feature,Haroun Yashayaei,Eye of the Hurricane,1
1989,Crystal Simorgh Awards,Best Motion picture,Farabi Cinema Foundation,The Scout,0
1989,Crystal Simorgh Awards,Best Feature,Aliakbar Erfani and Hassan Hedayat,Grand Cinema,0
1989,Crystal Simorgh Awards,Best Motion picture,Saeed Ebrahimifar  and Hossein Irie,Pomegranate and Cane,0
1989,Crystal Simorgh Awards,Best Title,Mostazafan Foundation 's Cinematic Affairs Institute,The Cyclist,0
1990,Crystal Simorgh Awards,Best Feature,AIIPO,The Immigrant,1
1990,Crystal Simorgh Awards,Best Movie,Dariush Mehrjui and Haroun Yashayaei,Hamoun,0
1990,Crystal Simorgh Awards,Best Movie,Alireza Zarrin,Close-Up,0
1990,Crystal Simorgh Awards,Best Movie,Seif-Ali Seyed-Kosarinejad,Savalan,0
1990,Crystal Simorgh Awards,Best Movie,"Ahmad Zahabzadeh , Abolfazl Entezari , Ali Sepaseh and Sha'ban-Ali Eslami",The Seeker,0
1991,Crystal Simorgh Awards,Best Feature,Yadollah Samadi and Hamrah Filmmaking Group,Apartment No.13,1
1991,Crystal Simorgh Awards,Best Motion picture,Gholamreza Moayeri and CSCIFI,"One Ticket, Two Movies!",0
1992,Crystal Simorgh Awards,Best Movie,Alireza Davoodnejad and Ali Vajed-Samii,The Need,1
1992,Crystal Simorgh Awards,Best Motion picture,"Bahram Beyzai , Khosrow Khosravi , Majid Roudiani and Abbas Sheikhzadeh",Travellers,0
1992,Crystal Simorgh Awards,Best Title,Rakhshan Bani-Etemad and Arman Film,Nargess,0
1992,Crystal Simorgh Awards,Best Title,Masoud Jafari Jozani and Mohammad-Mehdi Dadgoo,"Once Upon a Time, Cinema",0
1993,Crystal Simorgh Awards,Best Feature,Sina Film,From Karkheh to Rhein,1
1993,Crystal Simorgh Awards,Best Feature,Majid Modarresi,Once for Ever,0
