year,ceremony,category,nominee,film,won
1973,Gramado Film Festival,Best Feature,,Toda Nudez Será Castigada,1
1973,Gramado Film Festival,Best Director,Luís Sérgio Person,Cassy Jones: o Magnífico Sedutor,1
1973,Gramado Film Festival,Best Actor,Carlos Kroeber,A Casa Assassinada,1
1973,Gramado Film Festival,Best Actress,Darlene Glória,Toda Nudez Será Castigada,1
1974,Gramado Film Festival,Best Movie,,Vai Trabalhar Vagabundo,1
1974,Gramado Film Festival,Best Director,Denoy de Oliveira,Amante Muito Louca,1
1974,Gramado Film Festival,Best Actor,Othon Bastos,São Bernardo,1
1974,Gramado Film Festival,Best Actress,Tereza Rachel,Amante Muito Louca,1
1975,Gramado Film Festival,Best Feature,,O Amuleto de Ogum,1
1975,Gramado Film Festival,Best Filmmaker,Walter Hugo Khouri,O Anjo da Noite,1
1975,Gramado Film Festival,Best Actor,Eliezer Gomes,O Anjo da Noite,1
1975,Gramado Film Festival,Best Actress,Ana Maria Magalhães,"Uirá, um Índio em Busca de Deus",1
1976,Gramado Film Festival,Best Movie,,O Predileto,1
1976,Gramado Film Festival,Best Helmer,Eduardo Escorel,Lição de Amor,1
1976,Gramado Film Festival,Best Actor,Jofre Soares,O Predileto,1
1976,Gramado Film Festival,Best Actress,Lilian Lemmertz,Lição de Amor,1
1976,Gramado Film Festival,Best Supporting Actress,Camila Amado,O Casamento,1
1976,Gramado Film Festival,Best Supporting Actor,Paulo César Pereio,As Aventuras Amorosas de um Padeiro,1
1977,Gramado Film Festival,Best Title,,À Flor da Pele,1
1977,Gramado Film Festival,Best Director,Bruno Barreto,Dona Flor e Seus Dois Maridos,1
1977,Gramado Film Festival,Best Actor,José Lewgoy,Ibraim do Subúrbio,1
1977,Gramado Film Festival,Best Actress,Denise Bandeira,À Flor da Pele,1
1977,Gramado Film Festival,Best Supporting Actress,Marlene França,Crueldade Mortal,1
1977,Gramado Film Festival,Best Supporting Actor,José Maria Santos,Aleluia Gretchen,1
1978,Gramado Film Festival,Best Feature,,Doramundo,1
1978,Gramado Film Festival,Best Director,João Batista de Andrade,Doramundo,1
1978,Gramado Film Festival,Best Actor,Reginaldo Faria,"Lúcio Flávio, o Passageiro da Agonia",1
1978,Gramado Film Festival,Best Actress,Kátia D'Angelo,Barra Pesada,1
1978,Gramado Film Festival,Best Supporting Actress,Miriam Muniz,O Jogo da Vida,1
1979,Gramado Film Festival,Best Movie,,Raoni,1
1979,Gramado Film Festival,Best Filmmaker,Jorge BodanzkyeWolf Gauer,Os Mucker,1
1979,Gramado Film Festival,Best Actor,Helber Rangel,A Volta do Filho Pródigo,1
1979,Gramado Film Festival,Best Actress,Marlise Saueressig,Os Mucker,1
1979,Gramado Film Festival,Best Supporting Actress,Dilma Lóes,A Volta do Filho Pródigo,1
1979,Gramado Film Festival,Best Supporting Actor,Gianfrancesco Guarnieri,Diário da Província,1
1980,Gramado Film Festival,Best Motion picture,,"Gaijin, Caminhos da Liberdade",1
1980,Gramado Film Festival,Best Filmmaker,Carlos Hugo Christensen,A Intrusa,1
1980,Gramado Film Festival,Best Actor,José de Abreu,A Intrusa,1
1980,Gramado Film Festival,Best Actress,Isabel Ribeiro,Parceiros da Aventura,1
1980,Gramado Film Festival,Best Supporting Actress,Thelma Reston,Os Sete Gatinhos,1
1980,Gramado Film Festival,Best Supporting Actor,José Dumont,"Gaijin, Caminhos da Liberdade",1
1981,Gramado Film Festival,Best Title,,Cabaret Mineiro,1
1981,Gramado Film Festival,Best Director,Carlos Alberto Prates Correia,Cabaret Mineiro,1
1981,Gramado Film Festival,Best Actor,José Dumont,"O Homem que Virou SucoeNelson Dantas, porCabaret Mineiro",1
1981,Gramado Film Festival,Best Actress,Sônia Braga,Eu Te Amo,1
1981,Gramado Film Festival,Best Supporting Actress,Tânia Alves,Cabaret Mineiro,1
1981,Gramado Film Festival,Best Supporting Actor,Denoy de Oliveira,O Homem que Virou Suco,1
1982,Gramado Film Festival,Best Title,,"Pra Frente Brasil, deRoberto Farias",1
1982,Gramado Film Festival,Best Director,Djalma Limongi Batista,"Asa Branca, Um Sonho Brasileiro",1
