year,ceremony,category,nominee,film,won
2002,Grande Prêmio do Cinema Brasileiro,Best Feature,,Bicho de Sete Cabeças,1
2002,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Bufo & Spallanzani,0
2002,Grande Prêmio do Cinema Brasileiro,Best Movie,,Domésticas - O Filme,0
2002,Grande Prêmio do Cinema Brasileiro,Best Movie,,Lavoura Arcaica,0
2002,Grande Prêmio do Cinema Brasileiro,Best Movie,,O Xangô de Baker Street,0
2003,Grande Prêmio do Cinema Brasileiro,Best Feature,,Cidade de Deus,1
2003,Grande Prêmio do Cinema Brasileiro,Best Movie,,Dias de Nietzsche em Turim,0
2003,Grande Prêmio do Cinema Brasileiro,Best Movie,,Houve Uma Vez Dois Verões,0
2003,Grande Prêmio do Cinema Brasileiro,Best Title,,Madame Satã,0
2003,Grande Prêmio do Cinema Brasileiro,Best Title,,O Invasor,0
2004,Grande Prêmio do Cinema Brasileiro,Best Feature,,O Homem Que Copiava,1
2004,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Amarelo Manga,0
2004,Grande Prêmio do Cinema Brasileiro,Best Feature,,Carandiru,0
2004,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Lisbela e o Prisioneiro,0
2004,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Separações,0
2005,Grande Prêmio do Cinema Brasileiro,Best Feature,,Cazuza - O Tempo Não Para,1
2005,Grande Prêmio do Cinema Brasileiro,Best Feature,,Contra Todos,0
2005,Grande Prêmio do Cinema Brasileiro,Best Feature,,Narradores de Javé,0
2005,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,O Outro Lado da Rua,0
2005,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Redentor,0
2006,Grande Prêmio do Cinema Brasileiro,Best Title,,"Cinema, Aspirinas e Urubus",1
2006,Grande Prêmio do Cinema Brasileiro,Best Movie,,2 Filhos de Francisco,0
2006,Grande Prêmio do Cinema Brasileiro,Best Title,,Árido Movie,0
2006,Grande Prêmio do Cinema Brasileiro,Best Movie,,Bendito Fruto,0
2006,Grande Prêmio do Cinema Brasileiro,Best Feature,,Casa de Areia,0
2006,Grande Prêmio do Cinema Brasileiro,Best Title,,Cidade Baixa,0
2006,Grande Prêmio do Cinema Brasileiro,Best Feature,,Crime Delicado,0
2006,Grande Prêmio do Cinema Brasileiro,Best Movie,,Se Eu Fosse Você,0
2007,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,O Ano em que Meus Pais Saíram de Férias,1
2007,Grande Prêmio do Cinema Brasileiro,Best Feature,,Baixio das Bestas,0
2007,Grande Prêmio do Cinema Brasileiro,Best Title,,O Céu de Suely,0
2007,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,O Cheiro do Ralo,0
2007,Grande Prêmio do Cinema Brasileiro,Best Title,,Tropa de Elite,0
2009,Grande Prêmio do Cinema Brasileiro,Best Title,,Estômago,1
2009,Grande Prêmio do Cinema Brasileiro,Best Movie,,O Banheiro do Papa,0
2009,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Ensaio sobre a Cegueira,0
2009,Grande Prêmio do Cinema Brasileiro,Best Feature,,Linha de Passe,0
2009,Grande Prêmio do Cinema Brasileiro,Best Title,,Meu Nome Não é Johnny,0
2010,Grande Prêmio do Cinema Brasileiro,Best Title,,É Proibido Fumar,1
2010,Grande Prêmio do Cinema Brasileiro,Best Feature,,À Deriva,0
2010,Grande Prêmio do Cinema Brasileiro,Best Title,,Divã,0
2010,Grande Prêmio do Cinema Brasileiro,Best Title,,A Mulher Invisível,0
2010,Grande Prêmio do Cinema Brasileiro,Best Title,,Se Eu Fosse Você 2,0
2011,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Tropa de Elite 2: O Inimigo Agora É Outro,1
2011,Grande Prêmio do Cinema Brasileiro,Best Movie,,5x Favela - Agora por nós mesmos,0
2011,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Chico Xavier,0
2011,Grande Prêmio do Cinema Brasileiro,Best Movie,,As Melhores Coisas do Mundo,0
2011,Grande Prêmio do Cinema Brasileiro,Best Feature,,Olhos Azuis,0
2011,Grande Prêmio do Cinema Brasileiro,Best Movie,,"Viajo porque Preciso, Volto porque Te Amo",0
2012,Grande Prêmio do Cinema Brasileiro,Best Movie,,O Palhaço,1
2012,Grande Prêmio do Cinema Brasileiro,Best Feature,,Assalto ao Banco Central,0
2012,Grande Prêmio do Cinema Brasileiro,Best Movie,,Bróder,0
2012,Grande Prêmio do Cinema Brasileiro,Best Title,,Bruna Surfistinha,0
2012,Grande Prêmio do Cinema Brasileiro,Best Title,,O Homem do Futuro,0
2013,Grande Prêmio do Cinema Brasileiro,Best Movie,,Gonzaga - de Pai pra Filho,1
2013,Grande Prêmio do Cinema Brasileiro,Best Title,,Corações Sujos,0
2013,Grande Prêmio do Cinema Brasileiro,Best Feature,,Febre do Rato,0
2013,Grande Prêmio do Cinema Brasileiro,Best Title,,Heleno,0
2013,Grande Prêmio do Cinema Brasileiro,Best Title,,Xingu,0
2014,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Faroeste Caboclo,1
2014,Grande Prêmio do Cinema Brasileiro,Best Movie,,Cine Holliúdy,0
2014,Grande Prêmio do Cinema Brasileiro,Best Feature,,Flores Raras,0
2014,Grande Prêmio do Cinema Brasileiro,Best Title,,O Som ao Redor,0
2014,Grande Prêmio do Cinema Brasileiro,Best Motion picture,,Tatuagem,0
2015,Grande Prêmio do Cinema Brasileiro,Best Title,,O Lobo atrás da Porta,1
2015,Grande Prêmio do Cinema Brasileiro,Best Title,,Getúlio,0
2015,Grande Prêmio do Cinema Brasileiro,Best Title,,Hoje Eu Quero Voltar Sozinho,0
2015,Grande Prêmio do Cinema Brasileiro,Best Title,,Praia do Futuro,0
2015,Grande Prêmio do Cinema Brasileiro,Best Feature,,Tim Maia,0
2016,Grande Prêmio do Cinema Brasileiro,Best Movie,,Que Horas Ela Volta?,1
2016,Grande Prêmio do Cinema Brasileiro,Best Movie,,A História da Eternidade,0
2016,Grande Prêmio do Cinema Brasileiro,Best Feature,,Ausência,0
2016,Grande Prêmio do Cinema Brasileiro,Best Feature,,Califórnia,0
2016,Grande Prêmio do Cinema Brasileiro,Best Title,,Casa Grande,0
