year,ceremony,category,nominee,film,won
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Salvador Aguirre,De ida y vuelta,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Gerardo Tort,De la calle,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Juan Carlos Martín,Gabriel Orozco,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,"Marcela Arteaga & La pasión de María Elena, de Mercedes Moncada",Recuerdos,1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Fernando Eimbcke,Temporada de patos,1
2005,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Jaime Aparicio,El mago,1
2006,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Maryse Sistach,La niña en la piedra,1
2007,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Simón Bross,Malos hábitos,1
2008,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Rodrigo Plá,Desierto adentro,1
2009,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Gerardo Tort,Viaje redondo,1
2010,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Nicolás Pereda,Perpetuum mobile,1
2011,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Paula Markovitch,El premio,1
2012,Guadalajara IFF Awards,Premios Mayahuel - Mejor película,Tom Gustafson,El mariachi gringo,1
2000,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Benjamín Cann,Crónica de un desayuno,1
2001,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Laura Mañá,Sexo por compasión,1
2002,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Juan Carlos Martín,Gabriel Orozco,1
2003,Guadalajara IFF Awards,Premios Mayahuel - Mejor director,Julián Hernández,"Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor",1
2004,Guadalajara IFF Awards,Premios Mayahuel - Mejor filmmaker,Fernando Eimbcke,Temporada de patos,1
