Ceremony,Edition,Year,Category,Nominee/Winner,Film,Winner/Nominee Status,Note
Iran Cinema Celebration Awards,1,1997,Best Film,,The Mixture,Winner,
Iran Cinema Celebration Awards,2,1998,Best Film,,The Jar,Winner,
Iran Cinema Celebration Awards,3,1999,Best Film,,Daughter of the Sun,Winner,
Iran Cinema Celebration Awards,4,2000,Best Film,,Song of the Sparrows,Winner,
Iran Cinema Celebration Awards,5,2001,Best Film,,The Circle,Winner,
Iran Cinema Celebration Awards,6,2002,Best Film,,Crimson Gold,Winner,
Iran Cinema Celebration Awards,7,2003,Best Film,,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Film,,Marmoulak,Winner,
Iran Cinema Celebration Awards,9,2005,Best Film,,Boutique,Winner,
Iran Cinema Celebration Awards,10,2006,Best Film,,Deserted Station,Winner,
Iran Cinema Celebration Awards,11,2007,Best Film,,"Bashu, the Little Stranger",Winner,
Iran Cinema Celebration Awards,12,2008,Best Film,,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Film,,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Film,,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Film,,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Film,,The Past,Winner,
Iran Cinema Celebration Awards,17,2013,Best Film,,The Last Step,Winner,
Iran Cinema Celebration Awards,18,2014,Best Film,,About Elly,Winner,
Iran Cinema Celebration Awards,19,2015,Best Film,,Nahid,Winner,
Iran Cinema Celebration Awards,20,2016,Best Film,,Daughter,Winner,
Iran Cinema Celebration Awards,21,2017,Best Film,,"No Date, No Signature",Winner,
Iran Cinema Celebration Awards,22,2018,Best Film,,Pig,Winner,
Iran Cinema Celebration Awards,23,2019,Best Film,,Just 6.5,Winner,
Iran Cinema Celebration Awards,1,1997,Best Director,Dariush Mehrjui,The Mixture,Winner,
Iran Cinema Celebration Awards,2,1998,Best Director,Ebrahim Hatamikia,The Scout,Winner,
Iran Cinema Celebration Awards,3,1999,Best Director,Majid Majidi,The Color of Paradise,Winner,
Iran Cinema Celebration Awards,4,2000,Best Director,Mohsen Makhmalbaf,Kandahar,Winner,
Iran Cinema Celebration Awards,5,2001,Best Director,Jafar Panahi,The Circle,Winner,
Iran Cinema Celebration Awards,6,2002,Best Director,Jafar Panahi,Crimson Gold,Winner,
Iran Cinema Celebration Awards,7,2003,Best Director,Kamal Tabrizi,The Lizard,Winner,
Iran Cinema Celebration Awards,8,2004,Best Director,Majid Majidi,Baran,Winner,
Iran Cinema Celebration Awards,9,2005,Best Director,Rakhshan Bani-Etemad,Mainline,Winner,
Iran Cinema Celebration Awards,10,2006,Best Director,Samira Makhmalbaf,At Five in the Afternoon,Winner,
Iran Cinema Celebration Awards,11,2007,Best Director,Bahram Beyzai,"Bashu, the Little Stranger",Winner,
Iran Cinema Celebration Awards,12,2008,Best Director,Asghar Farhadi,A Separation,Winner,
Iran Cinema Celebration Awards,13,2009,Best Director,Masoud Kimiai,The Last Step,Winner,
Iran Cinema Celebration Awards,14,2010,Best Director,Rafi Pitts,The Hunter,Winner,
Iran Cinema Celebration Awards,15,2011,Best Director,Asghar Farhadi,A Separation,Winner,
Iran Cinema Celebration Awards,16,2012,Best Director,Asghar Farhadi,The Past,Winner,
