edition_year,edition_number,category_name,nominee_text,film_title,country,lang
2025,22,Étoile d'Or (Golden Star),,Promised Sky,Tunisia,Arabic
2025,22,Best Performance by an Actress,Debora Lobe Naney,The Promised Sky,Tunisia,Arabic
2025,22,Best Performance by an Actor,Ṣọpẹ́ Dìrísù,My Father’s Shadow,UK,English
2025,22,Best Directing Prize,Oscar Hudson,Straight Circle,UK,English
2024,21,Étoile d'Or (Golden Star),,Happy Holidays,Palestine,Arabic
2023,20,Étoile d'Or (Golden Star),,Mother of All Lies,Morocco,Arabic
2022,19,Étoile d'Or (Golden Star),,A Tale of Shemroon,Iran,Farsi
2019,18,Étoile d'Or (Golden Star),,Valley of Souls,Colombia,Spanish
2019,18,Best Performance by an Actor,Toby Wallace,Babyteeth,Australia,English
2019,18,Best Performance by an Actress,"Nichola Burley, Roxanne Scrimshaw",Lynn + Lucy,UK,English
2018,17,Étoile d'Or (Golden Star),,Joy,Austria,German
2016,16,Étoile d'Or (Golden Star),,The Donor,China,Mandarin
2016,16,Best Performance by an Actress,Fereshteh Hosseini,Parting,Iran,Farsi
2016,16,Best Directing Prize,Wang Xuebo,Knife In The Clear Water,China,Mandarin
2015,15,Étoile d'Or (Golden Star),,Very Big Shot,Lebanon,Arabic
2014,14,Étoile d'Or (Golden Star),,Corrections Class,Russia,Russian
2013,13,Étoile d'Or (Golden Star),,Han Gong-ju,South Korea,Korean
2012,12,Étoile d'Or (Golden Star),,The Attack,Lebanon,Arabic/French
2011,11,Étoile d'Or (Golden Star),,Out of Bounds,Denmark,Danish
2010,10,Étoile d'Or (Golden Star),,The Journals of Musan,South Korea,Korean
