award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
SIIMA Awards,2011 (1st),,Best Film,Indian Rupee,August Cinema,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2012 (2nd),,Best Film,Ustad Hotel,Magic Frames,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2012 (2nd),,Best Film,Ayalum Njanum Thammil,Prakash Movie Tone,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2012 (2nd),,Best Film,Spirit,Aashirvad Cinemas,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2012 (2nd),,Best Film,Ozhimuri,P N V Associates,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2012 (2nd),,Best Film,Diamond Necklace,"Anitha Productions, LJ Films",,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2013 (3rd),,Best Film,Drishyam,Aashirvad Cinemas,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2013 (3rd),,Best Film,Amen,White Sands Media House,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2013 (3rd),,Best Film,North 24 Kaatham,E4 Entertainment,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2013 (3rd),,Best Film,Annayum Rasoolum,D Cutz Film Company,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2013 (3rd),,Best Film,Shutter,Abra Films,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2014 (4th),,Best Film,Bangalore Days,"Anwar Rasheed Entertainments , Weekend Blockbusters",,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2014 (4th),,Best Film,Iyobinte Pusthakam,"Amal Neerad Productions , Fahadh Faasil and Friends Pvt Ltd",,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2014 (4th),,Best Film,Ohm Shanthi Oshaana,Ananya Films,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2014 (4th),,Best Film,How Old Are You?,Magic Frames,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2014 (4th),,Best Film,Munnariyippu,Gold Coin Motion Pictures,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2015 (5th),,Best Film,Premam,Anwar Rasheed Entertainments,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2015 (5th),,Best Film,Chandrettan Evideya,Handmade Films,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2015 (5th),,Best Film,Charlie,Finding Cinema,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2015 (5th),,Best Film,Ennu Ninte Moideen,Newton Movies,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2015 (5th),,Best Film,Pathemari,Allens Media,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2016 (6th),,Best Film,Kammatipaadam,Global United Media,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2016 (6th),,Best Film,Action Hero Biju,"Pauly Jr. Pictures, Full On Studios",,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2016 (6th),,Best Film,Maheshinte Prathikaaram,OPM Dream Mill Cinemas,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2016 (6th),,Best Film,Oppam,Aashirvad Cinemas,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2016 (6th),,Best Film,Pulimurugan,Mulakuppadam Films,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2017 (7th),,Best Film,Thondimuthalum Driksakshiyum,Urvashi Theatres,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2017 (7th),,Best Film,Angamaly Diaries,Friday Film House,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2017 (7th),,Best Film,Mayanadi,Dream Mill Cinemas and Entertainments,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2017 (7th),,Best Film,Parava,"Anwar Rasheed Entertainments , The Movie Club",,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2017 (7th),,Best Film,Take Off,Rajesh Pillai Films,,Nominee,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
SIIMA Awards,2018 (8th),,Best Film,Sudani from Nigeria,Happy Hours Entertainments,,Winner,Malayalam,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Malayalam
