award_show,year,category,reason
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
Vanitha Film Awards,,ALL,table found but parser could not extract rows - manual review needed
