year,ceremony,category,nominee,film,won
2025,Festival do Rio,Best Movie,Anne Pinheiro Guimarães,metragem de Ficção - Pequenas Criaturas,1
2025,Festival do Rio,Best Title,Susanna Lira,Metragem de Ficção: Voto Popular - #SalveRosa,1
2025,Festival do Rio,Best Title,Tainá Müller e Ísis Broken,Metragem Documentário - Apolo,1
2025,Festival do Rio,Best Movie,Natasha Neri e Gizele Martins,Metragem Documentário: Voto Popular - Cheiro de Diesel,1
2025,Festival do Rio,Best Motion picture,,"Metragem de Ficção - Rogério Nunes, por Coração das Trevas",1
2025,Festival do Rio,Best Actress,Klara Castanho,#SalveRosa,1
2025,Festival do Rio,Best Actor,Gabriel Faryas,Ato Noturno,1
2025,Festival do Rio,Best Helmer,Mini Kerti,Dona Onete - Meu Coração Neste Pedacinho Aqui,1
2025,Festival do Rio,Best Supporting Actress,Diva Menner,Ruas da Glória,1
2025,Festival do Rio,Best Supporting Actor,Alejandro Claveaux,Ruas da Glória,1
2025,Festival do Rio,Best Filmmaker,Claudia Andrade,Pequenas Criaturas,1
2024,Festival do Rio,Best Motion picture,"Marcelo Caetano; Malu, de Pedro Freire",Metragem Ficção (empate) - Baby,1
2024,Festival do Rio,Best Movie,Sérgio Machado,Metragem Documentário - 3 Obás de Xangô,1
2024,Festival do Rio,Best Title,,"Metragem Ficção - Luciano Vidigal, por Kasa Branca",1
2024,Festival do Rio,Best Feature,,"Metragem Documentário - Eryk Rocha e Gabriela Carneiro da Cunha, por A Queda do Céu",1
2024,Festival do Rio,Best Actress,Yara de Novaes,Malu,1
2024,Festival do Rio,Best Actor,João Pedro Mariano,Baby,1
2024,Festival do Rio,Best Supporting Actress,Carol Duarte e Juliana Carneiro da Cunha,Malu,1
2024,Festival do Rio,Best Supporting Actor,Diego Francisco,Kasa Branca,1
2024,Festival do Rio,Best Filmmaker,Thales Junqueira,Baby,1
2023,Festival do Rio,Best Title,Vera Egito,Metragem Ficção - A Batalha da Rua Maria Antônia,1
2023,Festival do Rio,Best Motion picture,Lucas H. Rossi dos Santos,"Metragem Documentário - Othelo, o Grande",1
2023,Festival do Rio,Best Title,,"Metragem Ficção - Lillah Halla, por Levante",1
2023,Festival do Rio,Best Movie,,"Metragem Documentário - Daniel Gonçalves, por Assexybilidade",1
2023,Festival do Rio,Best Actress,Maeve Jinkings,"Pedágio; Grace Passô, por O Dia que te conheci",1
2023,Festival do Rio,Best Actor,Kauã Alvarenga,Pedágio,1
2023,Festival do Rio,Best Supporting Actress,Aline Marta Maia,Pedágio,1
2023,Festival do Rio,Best Supporting Actor,Carlos Francisco,Estranho Caminho,1
2023,Festival do Rio,Best Helmer,Vicente Saldanha,Pedágio,1
2022,Festival do Rio,Best Movie,Marcelo Gomes,Metragem Ficção - Paloma,1
2022,Festival do Rio,Best Title,Thiago Zanato,Metragem Documentário - Exu e o Universo,1
2022,Festival do Rio,Best Feature,,"Metragem Ficção - Julia Murat, por Regra 34",1
2022,Festival do Rio,Best Feature,,"Metragem Documentário - Juliana Vicente, por Diálogos com Ruth de Souza",1
2022,Festival do Rio,Best Actress,Kika Sena,Paloma,1
2022,Festival do Rio,Best Actor,Dario Grandinetti,"Bem-vinda, Violeta!",1
2022,Festival do Rio,Best Supporting Actress,Aline Marta,Carvão,1
