award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Filmfare Awards South,2024,,Best Director,Prithvi Konanur,Hadinelentu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2023,,Best Director,Hemanth M. Rao,Sapta Saagaradaache Ello: Side A,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2022,,Best Director,Kiranraj K,777 Charlie,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2020–21,,Best Director,Raj B. Shetty,Garuda Gamana Vrishabha Vahana,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2018,,Best Director,Mansore,Nathicharami,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2017,,Best Director,Tarun Sudhir,Chowka,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2016,,Best Director,Rishab Shetty,Kirik Party,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2015,,Best Director,Anup Bhandari,RangiTaranga,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2014,,Best Director,Rakshit Shetty,Ulidavaru Kandanthe,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2013,,Best Director,Pawan Kumar,Lucia,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2012,,Best Director,Vijaya Prasad,Sidlingu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2011,,Best Director,Jayathirtha,Olave Mandhara,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2010,,Best Director,Girish Kasaravalli,Kanasemba Kudureyaneri,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2009,,Best Director,Guruprasad,Eddelu Manjunatha,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2008,,Best Director,Shashank,Moggina Manasu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2007,,Best Director,K. M. Chaitanya,Aa Dinagalu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2006,,Best Director,Indrajith Lankesh,Aishwarya,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2005,,Best Director,Ratnaja,Nenapirali,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2004,,Best Director,P. Vasu,Aaptamitra,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2003,,Best Director,P.A. Arun Prasad,Kiccha,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2002,,Best Director,Girish Kasaravalli,Dweepa,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2001,,Best Director,Nagathihalli Chandrashekhar,Nanna Preethiya Hudugi,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,2000,,Best Director,Sunil Kumar Desai,Sparsha,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1999,,Best Director,Upendra,Upendra,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1998,,Best Director,Girish Kasaravalli,Thaayi Saheba,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1997,,Best Director,T. S. Nagabharana,Nagamandala,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1996,,Best Director,T. S. Nagabharana,Janumada Jodi,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1995,,Best Director,Sunil Kumar Desai,Beladingala Baale,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1994,,Best Director,Rajendra Singh Babu,Mahakshathriya,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1993,,Best Director,Rajendra Singh Babu,Hoovu Hannu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1992,,Best Director,T. S. Nagabharana,Mysore mallige,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1991,,Best Director,Lokesh,Bhujangayyana Dashavathara,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1990,,Best Director,Suresh Heblikar,Prathama Ushakirana,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1989,,Best Director,Sunil Kumar Desai,Tarka,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1988,,Best Director,Dinesh Baboo,Suprabhatha,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1987,,Best Director,Singeetham Srinivasa Rao,Pushpaka Vimana,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1986,,Best Director,K. V. Jayaram,Hosa Neeru,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
Filmfare Awards South,1985,,Best Director,N. Lakshmi Narayan,Bettada Hoovu,,Winner,Kannada,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Kannada
