year,ceremony,category,nominee,film,won
2025,Premios Sur,Best Title,Dolores Fonzi,Belén,1
2025,Premios Sur,Best Feature,Iván Fund,El mensaje,0
2025,Premios Sur,Best Title,Cristian Tapia Marchiori,Gatillero,0
2025,Premios Sur,Best Movie,Benjamín Ávila,La mujer de la fila,0
2024,Premios Sur,Best Feature,Luis Ortega,El jockey,1
2024,Premios Sur,Best Feature,María Zanetti,Alemania,0
2024,Premios Sur,Best Motion picture,Hernán Rosselli,"Algo viejo, algo nuevo, algo prestado",0
2024,Premios Sur,Best Feature,Diego Lerman,El hombre que amaba los platos voladores,0
2023,Premios Sur,Best Movie,Demián Rugna,Cuando acecha la maldad,1
2023,Premios Sur,Best Feature,Dolores Fonzi,Blondi,0
2023,Premios Sur,Best Title,Rodrigo Moreno,Los delincuentes,0
2023,Premios Sur,Best Movie,María Alché y Benjamín Naishtat,Puan,0
2022,Premios Sur,Best Feature,Santiago Mitre,"Argentina, 1985",1
2022,Premios Sur,Best Motion picture,Diego Lerman,El suplente,0
2022,Premios Sur,Best Title,Mariano Biasin,Sublime,0
2022,Premios Sur,Best Movie,Lucas Combina,Un crimen argentino,0
2021,Premios Sur,Best Motion picture,Juan Pablo Félix,Karnawal,1
2021,Premios Sur,Best Motion picture,Valentín Javier Diment,El apego,0
2021,Premios Sur,Best Title,Ana Katz,El perro que no calla,0
2021,Premios Sur,Best Title,Natalia Meta,El prófugo,0
2020,Premios Sur,Best Movie,Paula Hernández,Las siamesas,1
2020,Premios Sur,Best Feature,Sebastián Schindel,Crímenes de familia,0
2020,Premios Sur,Best Motion picture,Ariel Winograd,El robo del siglo,0
2020,Premios Sur,Best Feature,Ezequiel Radusky,Planta permanente,0
2019,Premios Sur,Best Title,Paula Hernández,Los sonámbulos,1
2019,Premios Sur,Best Movie,Ana García Blaya,Las buenas intenciones,0
2019,Premios Sur,Best Motion picture,Sebastián Borensztein,La odisea de los giles,0
2019,Premios Sur,Best Motion picture,Juan José Campanella,El cuento de las comadrejas,0
2018,Premios Sur,Best Feature,Benjamín Naishtat,Rojo,1
2018,Premios Sur,Best Movie,Luis Ortega,El Ángel,0
2018,Premios Sur,Best Feature,Carlos Sorín,Joel,0
2018,Premios Sur,Best Movie,Álvaro Brechner,La noche de 12 años,0
2017,Premios Sur,Best Motion picture,Lucrecia Martel,Zama,1
2017,Premios Sur,Best Feature,Emiliano Torres,El invierno,0
2017,Premios Sur,Best Motion picture,Santiago Mitre,La cordillera,0
2017,Premios Sur,Best Movie,Diego Lerman,Una especie de familia,0
2016,Premios Sur,Best Title,Ariel Rotter,La luz incidente,1
2016,Premios Sur,Best Motion picture,Mariano Cohn y Gastón Duprat,El ciudadano ilustre,0
2016,Premios Sur,Best Motion picture,Lorena Muñoz,"Gilda, no me arrepiento de este amor",0
2016,Premios Sur,Best Motion picture,Francisco Márquez y Andrea Testa,La larga noche de Francisco Sanctis,0
2015,Premios Sur,Best Motion picture,Diego Lerman,Refugiado,1
2015,Premios Sur,Best Title,Pablo Trapero,El clan,0
2015,Premios Sur,Best Motion picture,Sebastián Schindel,El patrón: radiografía de un crimen,0
2015,Premios Sur,Best Feature,Santiago Mitre,La patota,0
2014,Premios Sur,Best Feature,Damián Szifron,Relatos salvajes,1
2014,Premios Sur,Best Movie,Miguel Cohan,Betibú,0
2014,Premios Sur,Best Movie,Pablo Fendrik,El ardor,0
2014,Premios Sur,Best Movie,Juan Pablo Buscarini,El inventor de juegos,0
2013,Premios Sur,Best Feature,Lucía Puenzo,Wakolda,1
2013,Premios Sur,Best Movie,Juan Taratuto,La reconstrucción,0
2013,Premios Sur,Best Motion picture,Juan José Campanella,Metegol,0
2013,Premios Sur,Best Feature,Hernán Goldfrid,Tesis sobre un homicidio,0
2012,Premios Sur,Best Title,Benjamín Ávila,Infancia clandestina,1
2012,Premios Sur,Best Movie,Armando Bó,El último Elvis,0
2012,Premios Sur,Best Motion picture,Pablo Trapero,Elefante blanco,0
2012,Premios Sur,Best Feature,Pablo Giorgelli,Las acacias,0
2011,Premios Sur,Best Feature,Sebastián Borensztein,Un cuento chino,1
2011,Premios Sur,Best Movie,Fernando Spiner,"Aballay, el hombre sin miedo",0
2011,Premios Sur,Best Motion picture,Santiago Mitre,El estudiante,0
2011,Premios Sur,Best Feature,Paula de Luque,Juan y Eva,0
2010,Premios Sur,Best Movie,Mariano Cohn y Gastón Duprat,El hombre de al lado,1
2010,Premios Sur,Best Movie,Pablo Trapero,Carancho,0
2010,Premios Sur,Best Feature,Rodrigo Grande,Cuestión de principios,0
2010,Premios Sur,Best Motion picture,Daniel Burman,Dos hermanos,0
2009,Premios Sur,Best Title,Juan José Campanella,El secreto de sus ojos,1
2009,Premios Sur,Best Movie,Lucía Puenzo,El niño pez,0
2009,Premios Sur,Best Movie,Marcelo Piñeyro,Historias extraordinarias,0
2009,Premios Sur,Best Title,Pablo Fendrik,La sangre brota,0
2009,Premios Sur,Best Movie,Marcelo Piñeyro,Las viudas de los jueves,0
2008,Premios Sur,Best Motion picture,Lucrecia Martel,La mujer sin cabeza,1
2008,Premios Sur,Best Motion picture,Daniel Burman,El nido vacío,0
2008,Premios Sur,Best Title,Pablo Trapero,Leonera,0
2007,Premios Sur,Best Title,Lucía Puenzo,XXY,1
2007,Premios Sur,Best Motion picture,Esteban Sapir,La antena,0
2007,Premios Sur,Best Title,Ricardo Darín y Martín Hodara,La señal,0
2007,Premios Sur,Best Movie,Juan Taratuto,¿Quién dice que es fácil?,0
2006,Premios Sur,Best Title,Alejandro Doria,Las manos,1
2006,Premios Sur,Best Motion picture,Israel Adrián Caetano,Crónica de una fuga,0
2006,Premios Sur,Best Movie,Daniel Burman,Derecho de familia,0
2006,Premios Sur,Best Title,Marcelo Piñeyro,El método,0
2025,Premios Sur,Best Director,Cristian Tapia Marchiori,Gatillero,1
2025,Premios Sur,Best Director,Benjamín Ávila,La mujer de la fila,0
2025,Premios Sur,Best Filmmaker,Dolores Fonzi,Belén,0
2025,Premios Sur,Best Director,Iván Fund,El mensaje,0
2024,Premios Sur,Best Director,Luis Ortega,El jockey,1
2024,Premios Sur,Best Director,Diego Lerman,El hombre que amaba los platos voladores,0
2024,Premios Sur,Best Director,Hernán Rosselli,"Algo viejo, algo nuevo, algo prestado",0
2024,Premios Sur,Best Filmmaker,María Zanetti,Alemania,0
2023,Premios Sur,Best Director,Demián Rugna,Cuando acecha la maldad,1
2023,Premios Sur,Best Helmer,Dolores Fonzi,Blondi,0
2023,Premios Sur,Best Director,María Alché y Benjamín Naishtat,Puan,0
2023,Premios Sur,Best Director,Rodrigo Moreno,Los delincuentes,0
2022,Premios Sur,Best Helmer,Santiago Mitre,"Argentina, 1985",1
2022,Premios Sur,Best Filmmaker,Ariel Winograd,El gerente,0
2022,Premios Sur,Best Director,Diego Lerman,El suplente,0
2022,Premios Sur,Best Director,Lucas Combina,Un crimen argentino,0
2021,Premios Sur,Best Filmmaker,Juan Pablo Félix,Karnawal,1
2021,Premios Sur,Best Helmer,Ana Katz,El perro que no calla,0
2021,Premios Sur,Best Helmer,Leonardo Brzezicki,Errante corazón,0
2021,Premios Sur,Best Filmmaker,Valentín Javier Diment,El apego,0
2020,Premios Sur,Best Helmer,Paula Hernández,Las siamesas,1
2020,Premios Sur,Best Director,Ariel Winograd,El robo del siglo,0
2020,Premios Sur,Best Filmmaker,Juan Sasiaín y Ezequiel Tronconi,El encanto,0
2020,Premios Sur,Best Filmmaker,Julián Dabien y Cristina Tamagnini,El maestro,0
2019,Premios Sur,Best Helmer,Paula Hernández,Los sonámbulos,1
2019,Premios Sur,Best Director,Ana García Blaya,Las buenas intenciones,0
2019,Premios Sur,Best Helmer,Juan José Campanella,El cuento de las comadrejas,0
2019,Premios Sur,Best Director,Sebastián Borensztein,La odisea de los giles,0
2018,Premios Sur,Best Helmer,Benjamín Naishtat,Rojo,1
2018,Premios Sur,Best Helmer,Agustín Toscano,El motoarrebatador,0
2018,Premios Sur,Best Filmmaker,Álvaro Brechner,La noche de 12 años,0
2018,Premios Sur,Best Filmmaker,Luis Ortega,El Ángel,0
2017,Premios Sur,Best Filmmaker,Lucrecia Martel,Zama,1
2017,Premios Sur,Best Filmmaker,Anahí Berneri,Alanis,0
2017,Premios Sur,Best Helmer,Diego Lerman,Una especie de familia,0
2017,Premios Sur,Best Helmer,Santiago Mitre,La cordillera,0
2016,Premios Sur,Best Helmer,Ariel Rotter,La luz incidente,1
2016,Premios Sur,Best Helmer,Francisco Márquez y Andrea Testa,La larga noche de Francisco Sanctis,0
2016,Premios Sur,Best Filmmaker,Lorena Muñoz,"Gilda, no me arrepiento de este amor",0
2016,Premios Sur,Best Director,Mariano Cohn y Gastón Duprat,El ciudadano ilustre,0
2015,Premios Sur,Best Director,Diego Lerman,Refugiado,1
2015,Premios Sur,Best Filmmaker,Santiago Mitre,La patota,0
2015,Premios Sur,Best Director,Sebastián Schindel,El patrón: radiografía de un crimen,0
2015,Premios Sur,Best Director,Pablo Trapero,El clan,0
2014,Premios Sur,Best Director,Damián Szifron,Relatos salvajes,1
2014,Premios Sur,Best Director,Juan Pablo Buscarini,El inventor de juegos,0
2014,Premios Sur,Best Helmer,Miguel Cohan,Betibú,0
2014,Premios Sur,Best Director,Pablo Fendrik,El ardor,0
2013,Premios Sur,Best Filmmaker,Lucía Puenzo,Wakolda,1
2013,Premios Sur,Best Filmmaker,Juan José Campanella,Metegol,0
2013,Premios Sur,Best Director,Juan Taratuto,La reconstrucción,0
2013,Premios Sur,Best Director,Hernán Goldfrid,Tesis sobre un homicidio,0
2012,Premios Sur,Best Filmmaker,Benjamín Ávila,Infancia clandestina,1
2012,Premios Sur,Best Director,Armando Bó,El último Elvis,0
2012,Premios Sur,Best Filmmaker,Pablo Giorgelli,Las acacias,0
2012,Premios Sur,Best Director,Pablo Trapero,Elefante blanco,0
2011,Premios Sur,Best Filmmaker,Fernando Spiner,"Aballay, el hombre sin miedo",1
2011,Premios Sur,Best Helmer,Carlos Sorín,El gato desaparece,0
2011,Premios Sur,Best Director,Santiago Mitre,El estudiante,0
2011,Premios Sur,Best Helmer,Sebastián Borensztein,Un cuento chino,0
2010,Premios Sur,Best Filmmaker,Mariano Cohn y Gastón Duprat,El hombre de al lado,1
2010,Premios Sur,Best Director,Anahí Berneri,Por tu culpa,0
2010,Premios Sur,Best Filmmaker,Pablo Trapero,Carancho,0
2009,Premios Sur,Best Helmer,Juan José Campanella,El secreto de sus ojos,1
2009,Premios Sur,Best Director,Lucía Puenzo,El niño pez,0
2009,Premios Sur,Best Filmmaker,Marcelo Piñeyro,Historias extraordinarias,0
2009,Premios Sur,Best Helmer,Pablo Fendrik,La sangre brota,0
2008,Premios Sur,Best Director,Lucrecia Martel,La mujer sin cabeza,1
2008,Premios Sur,Best Director,Daniel Burman,El nido vacío,0
2008,Premios Sur,Best Director,Pablo Trapero,Leonera,0
2007,Premios Sur,Best Helmer,Lucía Puenzo,XXY,1
2007,Premios Sur,Best Director,Esteban Sapir,La antena,0
2007,Premios Sur,Best Helmer,Juan Taratuto,¿Quién dice que es fácil?,0
2006,Premios Sur,Best Helmer,Alejandro Doria,Las manos,1
2006,Premios Sur,Best Director,Daniel Burman,Derecho de familia,0
2006,Premios Sur,Best Filmmaker,Israel Adrián Caetano,Crónica de una fuga,0
2006,Premios Sur,Best Filmmaker,Rodrigo Moreno,El custodio,0
2025,Premios Sur,Best Actor,Marcelo Subiotto,El mensaje,1
2025,Premios Sur,Best Actor,Alberto Ammann,La mujer de la fila,0
2025,Premios Sur,Best Actor,Daniel Hendler,27 noches,0
2025,Premios Sur,Best Actor,Sergio Podeley,Gatillero,0
2024,Premios Sur,Best Actor,Nahuel Pérez Biscayart,El jockey,1
2024,Premios Sur,Best Actor,Alfredo Castro,El viento que arrasa,0
2024,Premios Sur,Best Actor,Leonardo Sbaraglia,El hombre que amaba los platos voladores,0
2024,Premios Sur,Best Actor,Lorenzo Ferro,Simón de la montaña,0
2023,Premios Sur,Best Actor,Marcelo Subiotto,Puan,1
2023,Premios Sur,Best Actor,Ezequiel Rodríguez,Cuando acecha la maldad,0
2023,Premios Sur,Best Actor,Rodrigo de la Serna,El rapto,0
2023,Premios Sur,Best Actor,Toto Rovito,Blondi,0
2022,Premios Sur,Best Actor,Ricardo Darín,"Argentina, 1985",1
2022,Premios Sur,Best Actor,Juan Minujín,El suplente,0
2022,Premios Sur,Best Actor,Leonardo Sbaraglia,El gerente,0
2022,Premios Sur,Best Actor,Peter Lanzani,"Argentina, 1985",0
2021,Premios Sur,Best Actor,Leonardo Sbaraglia,Errante corazón,1
2021,Premios Sur,Best Actor,Germán de Silva,El apego,0
2021,Premios Sur,Best Actor,Martín López Lacci,Karnawal,0
2021,Premios Sur,Best Actor,Nahuel Pérez Biscayart,El prófugo,0
2020,Premios Sur,Best Actor,Diego Velázquez,El maestro,1
2020,Premios Sur,Best Actor,Diego Peretti,El robo del siglo,0
2020,Premios Sur,Best Actor,Ezequiel Tronconi,El encanto,0
