award_show,year,category,reason
Santosham Film Awards,2023,22nd Santosham Film Awards - Table 1,Table could not be parsed or did not contain awards
Santosham Film Awards,2023,22nd Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
Santosham Film Awards,2022,21st Santosham Film Awards - Table 1,Table could not be parsed or did not contain awards
Santosham Film Awards,2022,21st Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
Santosham Film Awards,2021,20th Santosham Film Awards - Table 4,Table could not be parsed or did not contain awards
Santosham Film Awards,2021,20th Santosham Film Awards - Table 5,Table could not be parsed or did not contain awards
Santosham Film Awards,2021,20th Santosham Film Awards - Table 6,Table could not be parsed or did not contain awards
Santosham Film Awards,2019,17th Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
Santosham Film Awards,2018,16th Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
Santosham Film Awards,2017,15th Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
Santosham Film Awards,2016,14th Santosham Film Awards - Table 2,Table could not be parsed or did not contain awards
